Row Label,PrecinctCode,County,Registered Voters,Denny Heck,Joyce McDonald
Tumwater 28,428,TH,NULL,261,214
Tumwater 29,429,TH,NULL,0,0
Tenino 01,501,TH,NULL,127,76
Tenino 02,502,TH,NULL,117,115
Rainier 01,601,TH,NULL,116,160
Rainier 02,602,TH,NULL,109,97
Yelm 1,701,TH,NULL,158,140
Yelm 2,702,TH,NULL,126,178
Yelm 3,703,TH,NULL,148,193
Yelm 4,704,TH,NULL,168,196
