Row Label,PrecinctCode,County,Registered Voters,Phil Cook,Paul Andrews
WATERMAN 295,100295,KP,NULL,200,126
BREMERTON 296,100296,KP,NULL,0,0
HEINS CREEK 297,100297,KP,NULL,0,0
BLUE HERON 301,100301,KP,NULL,171,553
AZALEA 302,100302,KP,NULL,143,446
WINSLOW 304,100304,KP,NULL,225,612
WING POINT 305,100305,KP,NULL,154,259
BLAKELY 310,100310,KP,NULL,131,324
CRYSTAL SPRINGS 312,100312,KP,NULL,209,481
FINCH 314,100314,KP,NULL,118,270
FERNCLIFF 315,100315,KP,NULL,206,486
EAGLE HARBOR 317,100317,KP,NULL,96,281
FORT WARD 318,100318,KP,NULL,164,358
ISLAND CENTER 320,100320,KP,NULL,146,309
MEADOWMEER 321,100321,KP,NULL,69,160
NEW BROOKLYN 322,100322,KP,NULL,94,232
LIBERTY 325,100325,KP,NULL,137,308
SKIFF POINT 328,100328,KP,NULL,121,308
ROLLING BAY 330,100330,KP,NULL,169,344
LOVGREN 332,100332,KP,NULL,100,206
TOLO 333,100333,KP,NULL,148,298
SEABOLD 335,100335,KP,NULL,212,386
MANZANITA 336,100336,KP,NULL,108,254
PORT MADISON 340,100340,KP,NULL,146,247
TORVANGER 345,100345,KP,NULL,200,420
POULSBO 401,100401,KP,NULL,344,275
POULSBO 403,100403,KP,NULL,220,222
POULSBO 404,100404,KP,NULL,287,257
POULSBO 405,100405,KP,NULL,218,291
POULSBO 406,100406,KP,NULL,305,310
POULSBO 407,100407,KP,NULL,205,213
BREIDABLIK 410,100410,KP,NULL,250,246
VINLAND 412,100412,KP,NULL,334,244
BELLA VISTA 413,100413,KP,NULL,232,181
HANSVILLE 415,100415,KP,NULL,197,153
POINT NO POINT 416,100416,KP,NULL,357,412
TWIN SPITS 417,100417,KP,NULL,282,313
S&#39;KLALLAM 418,100418,KP,NULL,2,41
POINT JEFFERSON 419,100419,KP,NULL,199,217
INDIANOLA 420,100420,KP,NULL,219,426
ORCA 421,100421,KP,NULL,162,193
APPLE TREE 422,100422,KP,NULL,255,294
HIGHLAND 423,100423,KP,NULL,163,140
KEYPORT 425,100425,KP,NULL,366,227
EVERGREEN RIDGE 426,100426,KP,NULL,119,75
ISLAND LAKE 427,100427,KP,NULL,267,183
KINGSTON 430,100430,KP,NULL,343,381
LEMOLO 435,100435,KP,NULL,223,198
LINCOLN 440,100440,KP,NULL,264,177
BIG VALLEY 441,100441,KP,NULL,217,159
LOFALL 442,100442,KP,NULL,391,300
PEARSON 445,100445,KP,NULL,406,263
PORT GAMBLE 450,100450,KP,NULL,261,226
STRIEBEL 453,100453,KP,NULL,269,248
GAMBLEWOOD 454,100454,KP,NULL,180,155
SCANDIA 455,100455,KP,NULL,316,194
MILLER BAY 458,100458,KP,NULL,306,307
SUQUAMISH 460,100460,KP,NULL,112,263
AUGUSTA 461,100461,KP,NULL,99,191
TOTTEN 463,100463,KP,NULL,152,252
SANDY HOOK 464,100464,KP,NULL,161,196
