Row Label,PrecinctCode,County,Registered Voters,Lisa Worswick
25-281,25281,PI,NULL,269
25-282,25282,PI,NULL,389
25-283,25283,PI,NULL,217
25-284,25284,PI,NULL,196
25-285,25285,PI,NULL,502
25-286,25286,PI,NULL,359
25-287,25287,PI,NULL,4
25-288,25288,PI,NULL,396
25-289,25289,PI,NULL,0
25-290,25290,PI,NULL,30
25-291,25291,PI,NULL,86
25-292,25292,PI,NULL,394
25-293,25293,PI,NULL,356
26-301,26301,PI,NULL,144
26-302,26302,PI,NULL,546
26-303,26303,PI,NULL,479
26-304,26304,PI,NULL,559
26-305,26305,PI,NULL,506
26-315,26315,PI,NULL,432
26-316,26316,PI,NULL,474
26-317,26317,PI,NULL,422
26-318,26318,PI,NULL,353
26-319,26319,PI,NULL,361
26-320,26320,PI,NULL,393
26-321,26321,PI,NULL,507
26-322,26322,PI,NULL,463
26-323,26323,PI,NULL,436
26-324,26324,PI,NULL,436
26-325,26325,PI,NULL,372
26-326,26326,PI,NULL,449
26-327,26327,PI,NULL,421
26-328,26328,PI,NULL,329
26-329,26329,PI,NULL,414
26-330,26330,PI,NULL,276
26-331,26331,PI,NULL,112
26-332,26332,PI,NULL,344
26-333,26333,PI,NULL,398
26-334,26334,PI,NULL,364
26-335,26335,PI,NULL,337
26-336,26336,PI,NULL,456
26-337,26337,PI,NULL,424
26-338,26338,PI,NULL,318
26-339,26339,PI,NULL,64
26-340,26340,PI,NULL,443
26-341,26341,PI,NULL,371
26-342,26342,PI,NULL,450
26-343,26343,PI,NULL,362
26-344,26344,PI,NULL,52
26-345,26345,PI,NULL,371
26-346,26346,PI,NULL,326
26-347,26347,PI,NULL,337
26-348,26348,PI,NULL,402
26-349,26349,PI,NULL,386
26-350,26350,PI,NULL,389
26-351,26351,PI,NULL,383
26-352,26352,PI,NULL,379
27-401,27401,PI,NULL,205
27-404,27404,PI,NULL,132
27-405,27405,PI,NULL,408
27-406,27406,PI,NULL,513
27-407,27407,PI,NULL,394
27-408,27408,PI,NULL,428
27-409,27409,PI,NULL,410
27-410,27410,PI,NULL,416
27-411,27411,PI,NULL,457
27-412,27412,PI,NULL,381
27-413,27413,PI,NULL,400
27-414,27414,PI,NULL,421
27-415,27415,PI,NULL,446
27-416,27416,PI,NULL,410
27-417,27417,PI,NULL,413
27-418,27418,PI,NULL,372
27-419,27419,PI,NULL,388
27-420,27420,PI,NULL,453
27-421,27421,PI,NULL,339
27-422,27422,PI,NULL,506
27-423,27423,PI,NULL,428
27-424,27424,PI,NULL,372
27-425,27425,PI,NULL,348
27-426,27426,PI,NULL,365
27-427,27427,PI,NULL,359
27-428,27428,PI,NULL,352
27-429,27429,PI,NULL,367
27-430,27430,PI,NULL,375
27-431,27431,PI,NULL,160
27-432,27432,PI,NULL,366
27-433,27433,PI,NULL,359
27-434,27434,PI,NULL,359
27-435,27435,PI,NULL,384
27-436,27436,PI,NULL,353
27-437,27437,PI,NULL,330
27-438,27438,PI,NULL,319
27-439,27439,PI,NULL,315
27-440,27440,PI,NULL,363
27-441,27441,PI,NULL,306
27-442,27442,PI,NULL,246
27-443,27443,PI,NULL,263
27-444,27444,PI,NULL,310
27-445,27445,PI,NULL,298
27-446,27446,PI,NULL,309
27-447,27447,PI,NULL,334
27-448,27448,PI,NULL,11
27-449,27449,PI,NULL,360
27-450,27450,PI,NULL,390
27-451,27451,PI,NULL,283
27-452,27452,PI,NULL,322
27-453,27453,PI,NULL,245
27-454,27454,PI,NULL,343
27-455,27455,PI,NULL,295
27-456,27456,PI,NULL,258
27-457,27457,PI,NULL,319
27-458,27458,PI,NULL,231
27-459,27459,PI,NULL,215
27-460,27460,PI,NULL,362
27-461,27461,PI,NULL,420
27-462,27462,PI,NULL,388
27-463,27463,PI,NULL,289
27-464,27464,PI,NULL,331
27-465,27465,PI,NULL,286
27-466,27466,PI,NULL,336
27-467,27467,PI,NULL,315
27-468,27468,PI,NULL,301
27-471,27471,PI,NULL,14
27-475,27475,PI,NULL,310
27-476,27476,PI,NULL,252
27-477,27477,PI,NULL,340
28-501,28501,PI,NULL,424
28-502,28502,PI,NULL,454
28-503,28503,PI,NULL,469
28-504,28504,PI,NULL,417
28-505,28505,PI,NULL,446
28-506,28506,PI,NULL,450
28-507,28507,PI,NULL,372
28-508,28508,PI,NULL,208
28-509,28509,PI,NULL,0
28-515,28515,PI,NULL,427
28-516,28516,PI,NULL,422
28-517,28517,PI,NULL,463
28-518,28518,PI,NULL,438
28-519,28519,PI,NULL,429
28-520,28520,PI,NULL,441
28-521,28521,PI,NULL,465
28-522,28522,PI,NULL,450
28-523,28523,PI,NULL,450
28-524,28524,PI,NULL,483
28-525,28525,PI,NULL,505
28-526,28526,PI,NULL,327
28-527,28527,PI,NULL,536
28-528,28528,PI,NULL,447
28-529,28529,PI,NULL,348
28-530,28530,PI,NULL,200
28-531,28531,PI,NULL,392
28-535,28535,PI,NULL,463
28-536,28536,PI,NULL,427
28-537,28537,PI,NULL,452
28-538,28538,PI,NULL,378
28-540,28540,PI,NULL,532
28-541,28541,PI,NULL,390
28-542,28542,PI,NULL,385
28-543,28543,PI,NULL,356
28-545,28545,PI,NULL,424
28-546,28546,PI,NULL,394
28-547,28547,PI,NULL,518
28-548,28548,PI,NULL,342
28-549,28549,PI,NULL,380
28-550,28550,PI,NULL,302
28-551,28551,PI,NULL,509
28-552,28552,PI,NULL,456
28-553,28553,PI,NULL,433
28-554,28554,PI,NULL,404
28-555,28555,PI,NULL,475
28-556,28556,PI,NULL,336
28-557,28557,PI,NULL,335
28-558,28558,PI,NULL,331
28-559,28559,PI,NULL,345
28-560,28560,PI,NULL,465
28-561,28561,PI,NULL,268
28-562,28562,PI,NULL,227
28-563,28563,PI,NULL,124
28-565,28565,PI,NULL,330
28-566,28566,PI,NULL,347
28-567,28567,PI,NULL,380
28-568,28568,PI,NULL,381
28-570,28570,PI,NULL,5
28-571,28571,PI,NULL,6
28-572,28572,PI,NULL,354
28-573,28573,PI,NULL,237
28-574,28574,PI,NULL,80
28-575,28575,PI,NULL,2
28-576,28576,PI,NULL,363
28-577,28577,PI,NULL,12
28-578,28578,PI,NULL,76
28-579,28579,PI,NULL,64
28-580,28580,PI,NULL,57
28-581,28581,PI,NULL,216
28-582,28582,PI,NULL,148
28-583,28583,PI,NULL,217
28-584,28584,PI,NULL,251
28-585,28585,PI,NULL,400
28-586,28586,PI,NULL,342
28-587,28587,PI,NULL,248
28-588,28588,PI,NULL,353
28-589,28589,PI,NULL,368
28-590,28590,PI,NULL,13
29-600,29600,PI,NULL,0
29-601,29601,PI,NULL,274
29-602,29602,PI,NULL,233
29-603,29603,PI,NULL,309
29-604,29604,PI,NULL,310
29-605,29605,PI,NULL,253
29-606,29606,PI,NULL,329
29-607,29607,PI,NULL,387
29-608,29608,PI,NULL,269
29-609,29609,PI,NULL,222
29-610,29610,PI,NULL,308
29-611,29611,PI,NULL,64
29-612,29612,PI,NULL,162
29-613,29613,PI,NULL,325
29-614,29614,PI,NULL,346
29-615,29615,PI,NULL,357
29-616,29616,PI,NULL,302
29-617,29617,PI,NULL,307
29-618,29618,PI,NULL,260
29-619,29619,PI,NULL,295
29-620,29620,PI,NULL,177
29-621,29621,PI,NULL,1
29-622,29622,PI,NULL,254
29-623,29623,PI,NULL,71
29-624,29624,PI,NULL,0
29-625,29625,PI,NULL,4
29-626,29626,PI,NULL,8
29-627,29627,PI,NULL,0
29-633,29633,PI,NULL,31
29-635,29635,PI,NULL,89
29-636,29636,PI,NULL,385
29-637,29637,PI,NULL,290
29-638,29638,PI,NULL,169
29-639,29639,PI,NULL,294
29-640,29640,PI,NULL,313
29-641,29641,PI,NULL,325
29-642,29642,PI,NULL,331
29-643,29643,PI,NULL,27
29-648,29648,PI,NULL,7
29-649,29649,PI,NULL,98
29-650,29650,PI,NULL,316
29-651,29651,PI,NULL,373
29-652,29652,PI,NULL,35
29-653,29653,PI,NULL,306
29-654,29654,PI,NULL,358
29-655,29655,PI,NULL,136
29-656,29656,PI,NULL,299
29-657,29657,PI,NULL,6
29-658,29658,PI,NULL,301
29-659,29659,PI,NULL,188
29-660,29660,PI,NULL,382
29-661,29661,PI,NULL,272
29-662,29662,PI,NULL,0
29-663,29663,PI,NULL,304
29-664,29664,PI,NULL,318
29-667,29667,PI,NULL,351
29-668,29668,PI,NULL,247
29-669,29669,PI,NULL,341
29-670,29670,PI,NULL,349
29-671,29671,PI,NULL,283
29-672,29672,PI,NULL,200
29-673,29673,PI,NULL,357
29-674,29674,PI,NULL,111
29-675,29675,PI,NULL,350
29-676,29676,PI,NULL,323
29-677,29677,PI,NULL,327
29-678,29678,PI,NULL,259
29-679,29679,PI,NULL,267
29-680,29680,PI,NULL,265
29-682,29682,PI,NULL,318
29-683,29683,PI,NULL,335
30-701,30701,PI,NULL,13
30-705,30705,PI,NULL,178
30-706,30706,PI,NULL,260
30-707,30707,PI,NULL,158
30-708,30708,PI,NULL,243
30-709,30709,PI,NULL,264
30-713,30713,PI,NULL,4
31-801,31801,PI,NULL,194
31-802,31802,PI,NULL,275
31-803,31803,PI,NULL,313
31-804,31804,PI,NULL,278
31-805,31805,PI,NULL,302
31-806,31806,PI,NULL,340
31-807,31807,PI,NULL,2
31-808,31808,PI,NULL,267
31-809,31809,PI,NULL,277
31-810,31810,PI,NULL,165
31-813,31813,PI,NULL,154
31-814,31814,PI,NULL,40
31-815,31815,PI,NULL,224
31-816,31816,PI,NULL,270
31-817,31817,PI,NULL,334
31-818,31818,PI,NULL,82
31-819,31819,PI,NULL,138
31-822,31822,PI,NULL,234
31-823,31823,PI,NULL,201
31-824,31824,PI,NULL,0
31-825,31825,PI,NULL,258
31-826,31826,PI,NULL,317
31-827,31827,PI,NULL,78
31-828,31828,PI,NULL,279
31-829,31829,PI,NULL,267
31-830,31830,PI,NULL,123
31-833,31833,PI,NULL,278
31-834,31834,PI,NULL,222
31-835,31835,PI,NULL,436
31-836,31836,PI,NULL,264
31-837,31837,PI,NULL,234
31-838,31838,PI,NULL,208
31-839,31839,PI,NULL,24
31-840,31840,PI,NULL,124
31-841,31841,PI,NULL,139
31-842,31842,PI,NULL,240
31-843,31843,PI,NULL,190
31-844,31844,PI,NULL,181
31-845,31845,PI,NULL,242
31-846,31846,PI,NULL,117
31-847,31847,PI,NULL,137
31-848,31848,PI,NULL,42
31-849,31849,PI,NULL,104
31-853,31853,PI,NULL,53
31-854,31854,PI,NULL,149
31-855,31855,PI,NULL,184
31-856,31856,PI,NULL,227
31-857,31857,PI,NULL,147
31-861,31861,PI,NULL,80
31-865,31865,PI,NULL,83
31-869,31869,PI,NULL,141
31-873,31873,PI,NULL,63
31-874,31874,PI,NULL,0
31-875,31875,PI,NULL,337
31-876,31876,PI,NULL,22
31-877,31877,PI,NULL,136
31-879,31879,PI,NULL,71
31-880,31880,PI,NULL,111
31-881,31881,PI,NULL,175
31-882,31882,PI,NULL,262
31-883,31883,PI,NULL,348
31-884,31884,PI,NULL,312
31-885,31885,PI,NULL,117
31-886,31886,PI,NULL,262
31-887,31887,PI,NULL,226
31-888,31888,PI,NULL,236
31-890,31890,PI,NULL,170
31-891,31891,PI,NULL,95
31-892,31892,PI,NULL,193
31-893,31893,PI,NULL,0
31-894,31894,PI,NULL,41
31-895,31895,PI,NULL,228
31-896,31896,PI,NULL,4
31-897,31897,PI,NULL,136
31-898,31898,PI,NULL,297
31-899,31899,PI,NULL,176
31-900,31900,PI,NULL,206
31-901,31901,PI,NULL,38
31-902,31902,PI,NULL,418
31-903,31903,PI,NULL,3
31-904,31904,PI,NULL,53
31-905,31905,PI,NULL,269
31-906,31906,PI,NULL,165
31-907,31907,PI,NULL,252
31-908,31908,PI,NULL,212
31-909,31909,PI,NULL,241
31-910,31910,PI,NULL,240
31-911,31911,PI,NULL,158
31-912,31912,PI,NULL,207
31-913,31913,PI,NULL,109
31-914,31914,PI,NULL,207
31-915,31915,PI,NULL,52
31-916,31916,PI,NULL,248
31-917,31917,PI,NULL,371
31-919,31919,PI,NULL,263
31-920,31920,PI,NULL,214
31-921,31921,PI,NULL,225
31-923,31923,PI,NULL,178
31-924,31924,PI,NULL,166
31-925,31925,PI,NULL,86
31-926,31926,PI,NULL,8
31-927,31927,PI,NULL,233
