Row Label,PrecinctCode,County,Registered Voters,Jon Tunheim
Tumwater 29,429,TH,NULL,0
Tenino 01,501,TH,NULL,136
Tenino 02,502,TH,NULL,149
Rainier 01,601,TH,NULL,157
Rainier 02,602,TH,NULL,125
Yelm 1,701,TH,NULL,202
Yelm 2,702,TH,NULL,211
Yelm 3,703,TH,NULL,244
Yelm 4,704,TH,NULL,233
Bucoda,801,TH,NULL,101
