Row Label,PrecinctCode,County,Registered Voters,Stephen J. Holman
FOREST RIDGE 126,100126,KP,NULL,206
WOODMERE 127,100127,KP,NULL,399
CENTRAL VALLEY 128,100128,KP,NULL,378
WINSTON 129,100129,KP,NULL,147
ERLANDS POINT 130,100130,KP,NULL,234
REGAL 131,100131,KP,NULL,91
FAIRVIEW 135,100135,KP,NULL,193
FIRGLADE 137,100137,KP,NULL,215
TIBARDIS 139,100139,KP,NULL,158
GILBERTON 140,100140,KP,NULL,269
RIDGEPOINT 141,100141,KP,NULL,245
UNIVERSITY POINT 142,100142,KP,NULL,229
KARIOTIS 143,100143,KP,NULL,352
CAMBRIDGE 144,100144,KP,NULL,222
SPINNAKER 146,100146,KP,NULL,239
BARKER CREEK 147,100147,KP,NULL,375
SANTA FE 148,100148,KP,NULL,299
RIDGETOP 149,100149,KP,NULL,258
MEADOWDALE 150,100150,KP,NULL,238
SYMINGTON 151,100151,KP,NULL,168
PIONEER 152,100152,KP,NULL,379
LARSON 153,100153,KP,NULL,392
SEABECK 155,100155,KP,NULL,421
LOST HIGHWAY 157,100157,KP,NULL,344
HOLLY 158,100158,KP,NULL,99
BREMERTON 159,100159,KP,NULL,180
SILVERDALE 160,100160,KP,NULL,337
MORKEN 161,100161,KP,NULL,435
APEX 162,100162,KP,NULL,358
ANDERSON CREEK 163,100163,KP,NULL,263
EAGLE CREST 164,100164,KP,NULL,382
SUTTON 165,100165,KP,NULL,225
TRACYTON 170,100170,KP,NULL,227
VENA 173,100173,KP,NULL,295
FUSON 175,100175,KP,NULL,319
PORT ORCHARD 200,100200,KP,NULL,168
PORT ORCHARD 201,100201,KP,NULL,267
PORT ORCHARD 202,100202,KP,NULL,377
PORT ORCHARD 203,100203,KP,NULL,176
PORT ORCHARD 204,100204,KP,NULL,262
PORT ORCHARD 205,100205,KP,NULL,667
PORT ORCHARD 206,100206,KP,NULL,0
PORT ORCHARD 207,100207,KP,NULL,313
PORT ORCHARD 208,100208,KP,NULL,0
PORT ORCHARD 209,100209,KP,NULL,0
PORT ORCHARD 210,100210,KP,NULL,230
CEDAR 211,100211,KP,NULL,295
ANNAPOLIS 212,100212,KP,NULL,410
BRASCH 213,100213,KP,NULL,350
LAKE HELENA 214,100214,KP,NULL,285
PORT ORCHARD 215,100215,KP,NULL,0
MINTERBROOK 216,100216,KP,NULL,159
SPRING CREEK 217,100217,KP,NULL,230
BURLEY 218,100218,KP,NULL,312
HUNTER 219,100219,KP,NULL,244
ALASKA 221,100221,KP,NULL,386
WOODRIDGE 222,100222,KP,NULL,187
NEBRASKA 223,100223,KP,NULL,325
WHISPERING PINES 227,100227,KP,NULL,337
FERNWOOD 230,100230,KP,NULL,363
GLENWOOD 232,100232,KP,NULL,409
HARPER 240,100240,KP,NULL,280
YUKON 241,100241,KP,NULL,229
WILSON CREEK 242,100242,KP,NULL,267
LONG LAKE 245,100245,KP,NULL,203
LOCKER 246,100246,KP,NULL,391
EBBERT 247,100247,KP,NULL,340
LUNDBERG 250,100250,KP,NULL,361
CONVERSE 252,100252,KP,NULL,301
MANCHESTER 255,100255,KP,NULL,256
EVERGREEN 257,100257,KP,NULL,456
WILLOCK 258,100258,KP,NULL,263
FRAGARIA 259,100259,KP,NULL,253
MULLENIX 260,100260,KP,NULL,385
BANDIX 263,100263,KP,NULL,314
OLALLA 265,100265,KP,NULL,229
CRESCENT VALLEY 266,100266,KP,NULL,308
OVERLOOK 267,100267,KP,NULL,288
MADRONA 269,100269,KP,NULL,272
PARKWOOD 270,100270,KP,NULL,386
CONIFER 271,100271,KP,NULL,192
SEDGWICK 272,100272,KP,NULL,388
SINCLAIR 275,100275,KP,NULL,164
SHERMAN HEIGHTS 278,100278,KP,NULL,8
BERRY LAKE 279,100279,KP,NULL,200
BELFAIR VALLEY 280,100280,KP,NULL,102
SUNNYSLOPE 281,100281,KP,NULL,257
DICKENSON 282,100282,KP,NULL,324
DRIVE-IN 283,100283,KP,NULL,7
TWIN LAKES 285,100285,KP,NULL,90
LIGHTHOUSE POINT 292,100292,KP,NULL,344
BREMERTON 293,100293,KP,NULL,2
BREMERTON 294,100294,KP,NULL,0
WATERMAN 295,100295,KP,NULL,200
BREMERTON 296,100296,KP,NULL,0
HEINS CREEK 297,100297,KP,NULL,0
BLUE HERON 301,100301,KP,NULL,463
AZALEA 302,100302,KP,NULL,380
WINSLOW 304,100304,KP,NULL,526
WING POINT 305,100305,KP,NULL,254
BLAKELY 310,100310,KP,NULL,266
CRYSTAL SPRINGS 312,100312,KP,NULL,420
FINCH 314,100314,KP,NULL,227
FERNCLIFF 315,100315,KP,NULL,465
EAGLE HARBOR 317,100317,KP,NULL,236
FORT WARD 318,100318,KP,NULL,339
ISLAND CENTER 320,100320,KP,NULL,304
MEADOWMEER 321,100321,KP,NULL,149
NEW BROOKLYN 322,100322,KP,NULL,203
LIBERTY 325,100325,KP,NULL,299
SKIFF POINT 328,100328,KP,NULL,281
ROLLING BAY 330,100330,KP,NULL,298
LOVGREN 332,100332,KP,NULL,186
TOLO 333,100333,KP,NULL,284
SEABOLD 335,100335,KP,NULL,376
MANZANITA 336,100336,KP,NULL,216
PORT MADISON 340,100340,KP,NULL,264
TORVANGER 345,100345,KP,NULL,359
POULSBO 401,100401,KP,NULL,445
POULSBO 403,100403,KP,NULL,306
POULSBO 404,100404,KP,NULL,373
POULSBO 405,100405,KP,NULL,347
POULSBO 406,100406,KP,NULL,405
POULSBO 407,100407,KP,NULL,266
BREIDABLIK 410,100410,KP,NULL,346
VINLAND 412,100412,KP,NULL,371
BELLA VISTA 413,100413,KP,NULL,248
HANSVILLE 415,100415,KP,NULL,192
POINT NO POINT 416,100416,KP,NULL,466
TWIN SPITS 417,100417,KP,NULL,353
S&#39;KLALLAM 418,100418,KP,NULL,33
POINT JEFFERSON 419,100419,KP,NULL,239
INDIANOLA 420,100420,KP,NULL,404
ORCA 421,100421,KP,NULL,242
APPLE TREE 422,100422,KP,NULL,359
HIGHLAND 423,100423,KP,NULL,177
KEYPORT 425,100425,KP,NULL,396
EVERGREEN RIDGE 426,100426,KP,NULL,130
ISLAND LAKE 427,100427,KP,NULL,317
KINGSTON 430,100430,KP,NULL,468
LEMOLO 435,100435,KP,NULL,271
LINCOLN 440,100440,KP,NULL,253
BIG VALLEY 441,100441,KP,NULL,217
LOFALL 442,100442,KP,NULL,449
PEARSON 445,100445,KP,NULL,423
PORT GAMBLE 450,100450,KP,NULL,320
STRIEBEL 453,100453,KP,NULL,278
GAMBLEWOOD 454,100454,KP,NULL,212
SCANDIA 455,100455,KP,NULL,311
MILLER BAY 458,100458,KP,NULL,373
SUQUAMISH 460,100460,KP,NULL,263
AUGUSTA 461,100461,KP,NULL,205
TOTTEN 463,100463,KP,NULL,278
SANDY HOOK 464,100464,KP,NULL,229
