Row Label,PrecinctCode,County,Registered Voters,James Heller
31-802,31802,PI,NULL,258
31-803,31803,PI,NULL,289
31-804,31804,PI,NULL,267
31-805,31805,PI,NULL,279
31-806,31806,PI,NULL,315
31-807,31807,PI,NULL,3
31-808,31808,PI,NULL,244
31-809,31809,PI,NULL,260
31-810,31810,PI,NULL,156
31-813,31813,PI,NULL,137
31-814,31814,PI,NULL,39
31-815,31815,PI,NULL,212
31-816,31816,PI,NULL,247
31-817,31817,PI,NULL,308
31-818,31818,PI,NULL,78
31-819,31819,PI,NULL,125
31-822,31822,PI,NULL,219
31-823,31823,PI,NULL,191
31-824,31824,PI,NULL,0
31-825,31825,PI,NULL,253
31-826,31826,PI,NULL,299
31-827,31827,PI,NULL,74
31-828,31828,PI,NULL,260
31-829,31829,PI,NULL,245
31-830,31830,PI,NULL,115
31-833,31833,PI,NULL,270
31-834,31834,PI,NULL,212
31-835,31835,PI,NULL,423
31-836,31836,PI,NULL,250
31-837,31837,PI,NULL,223
31-838,31838,PI,NULL,201
31-839,31839,PI,NULL,22
31-840,31840,PI,NULL,122
31-841,31841,PI,NULL,138
31-842,31842,PI,NULL,226
31-843,31843,PI,NULL,180
31-844,31844,PI,NULL,173
31-845,31845,PI,NULL,232
31-846,31846,PI,NULL,109
31-847,31847,PI,NULL,136
31-848,31848,PI,NULL,40
31-849,31849,PI,NULL,99
31-853,31853,PI,NULL,50
31-854,31854,PI,NULL,138
31-855,31855,PI,NULL,181
31-856,31856,PI,NULL,218
31-857,31857,PI,NULL,136
31-861,31861,PI,NULL,83
31-865,31865,PI,NULL,86
31-869,31869,PI,NULL,134
31-873,31873,PI,NULL,60
31-874,31874,PI,NULL,0
31-875,31875,PI,NULL,317
31-876,31876,PI,NULL,22
31-877,31877,PI,NULL,124
31-879,31879,PI,NULL,69
31-880,31880,PI,NULL,114
31-881,31881,PI,NULL,160
31-882,31882,PI,NULL,243
31-883,31883,PI,NULL,328
31-884,31884,PI,NULL,278
31-885,31885,PI,NULL,108
31-886,31886,PI,NULL,245
31-887,31887,PI,NULL,212
31-888,31888,PI,NULL,229
31-890,31890,PI,NULL,163
31-891,31891,PI,NULL,96
31-892,31892,PI,NULL,179
31-893,31893,PI,NULL,0
31-894,31894,PI,NULL,39
31-895,31895,PI,NULL,217
31-896,31896,PI,NULL,4
31-897,31897,PI,NULL,126
31-898,31898,PI,NULL,285
31-899,31899,PI,NULL,158
31-900,31900,PI,NULL,191
31-901,31901,PI,NULL,37
31-902,31902,PI,NULL,394
31-903,31903,PI,NULL,3
31-904,31904,PI,NULL,51
31-905,31905,PI,NULL,258
31-906,31906,PI,NULL,160
31-907,31907,PI,NULL,242
31-908,31908,PI,NULL,203
31-909,31909,PI,NULL,234
31-910,31910,PI,NULL,235
31-911,31911,PI,NULL,153
31-912,31912,PI,NULL,200
31-913,31913,PI,NULL,102
31-914,31914,PI,NULL,203
31-915,31915,PI,NULL,51
31-916,31916,PI,NULL,241
31-917,31917,PI,NULL,348
31-919,31919,PI,NULL,260
31-920,31920,PI,NULL,206
31-921,31921,PI,NULL,212
31-923,31923,PI,NULL,170
31-924,31924,PI,NULL,161
31-925,31925,PI,NULL,72
31-926,31926,PI,NULL,7
31-927,31927,PI,NULL,223
