Row Label,PrecinctCode,County,Registered Voters,Jeanette A. Lineberry,Karl L. Williams
28-550,28550,PI,NULL,191,144
28-551,28551,PI,NULL,325,252
28-552,28552,PI,NULL,312,221
28-553,28553,PI,NULL,299,206
28-554,28554,PI,NULL,274,214
28-555,28555,PI,NULL,355,214
28-556,28556,PI,NULL,249,151
28-557,28557,PI,NULL,219,144
28-558,28558,PI,NULL,213,162
28-559,28559,PI,NULL,250,164
28-560,28560,PI,NULL,312,241
28-561,28561,PI,NULL,185,117
28-562,28562,PI,NULL,152,111
28-563,28563,PI,NULL,85,60
28-565,28565,PI,NULL,249,124
28-566,28566,PI,NULL,244,139
28-567,28567,PI,NULL,259,175
28-568,28568,PI,NULL,286,166
28-570(*),28570,PI,NULL,0,0
28-571(*),28571,PI,NULL,0,0
28-572,28572,PI,NULL,249,158
28-573,28573,PI,NULL,150,114
28-574,28574,PI,NULL,51,37
28-575(*),28575,PI,NULL,0,0
28-576,28576,PI,NULL,294,137
28-577,28577,PI,NULL,6,7
28-578,28578,PI,NULL,44,41
28-579,28579,PI,NULL,40,22
28-580,28580,PI,NULL,46,19
28-581,28581,PI,NULL,147,94
28-582,28582,PI,NULL,101,68
28-583,28583,PI,NULL,136,114
28-584,28584,PI,NULL,149,135
28-585,28585,PI,NULL,270,178
28-586,28586,PI,NULL,211,163
28-587,28587,PI,NULL,154,127
28-588,28588,PI,NULL,204,186
28-589,28589,PI,NULL,256,162
28-590,28590,PI,NULL,13,3
29-600,29600,PI,NULL,0,0
29-601,29601,PI,NULL,175,133
29-602,29602,PI,NULL,157,115
29-603,29603,PI,NULL,182,146
29-604,29604,PI,NULL,171,154
29-605,29605,PI,NULL,162,129
29-606,29606,PI,NULL,182,199
29-607,29607,PI,NULL,218,207
29-608,29608,PI,NULL,165,134
29-609,29609,PI,NULL,133,108
29-610,29610,PI,NULL,193,139
29-611,29611,PI,NULL,41,36
29-612,29612,PI,NULL,106,77
29-613,29613,PI,NULL,207,156
29-614,29614,PI,NULL,201,182
29-615,29615,PI,NULL,223,182
29-616,29616,PI,NULL,197,143
29-617,29617,PI,NULL,180,144
29-618,29618,PI,NULL,170,127
29-619,29619,PI,NULL,206,130
29-620,29620,PI,NULL,124,75
29-621(*),29621,PI,NULL,0,0
29-622,29622,PI,NULL,141,127
29-623,29623,PI,NULL,41,30
29-624,29624,PI,NULL,0,0
29-625,29625,PI,NULL,4,2
29-626,29626,PI,NULL,4,2
29-627,29627,PI,NULL,0,0
29-633,29633,PI,NULL,17,11
29-635,29635,PI,NULL,62,33
29-636,29636,PI,NULL,266,169
29-637,29637,PI,NULL,199,131
29-638,29638,PI,NULL,109,72
29-639,29639,PI,NULL,185,156
29-640,29640,PI,NULL,203,134
29-641,29641,PI,NULL,206,136
29-642,29642,PI,NULL,218,162
29-643,29643,PI,NULL,17,17
29-648,29648,PI,NULL,5,2
29-649,29649,PI,NULL,52,47
29-650,29650,PI,NULL,198,141
29-651,29651,PI,NULL,235,173
29-652,29652,PI,NULL,22,15
29-653,29653,PI,NULL,198,146
29-654,29654,PI,NULL,243,151
29-655,29655,PI,NULL,86,67
29-656,29656,PI,NULL,163,163
29-657(*),29657,PI,NULL,0,0
29-658,29658,PI,NULL,207,147
29-659,29659,PI,NULL,129,88
29-660,29660,PI,NULL,262,180
29-661,29661,PI,NULL,194,113
29-662,29662,PI,NULL,0,0
29-663,29663,PI,NULL,195,131
29-664,29664,PI,NULL,229,126
29-667,29667,PI,NULL,224,153
29-668,29668,PI,NULL,174,108
29-669,29669,PI,NULL,198,158
29-670,29670,PI,NULL,238,186
29-671,29671,PI,NULL,199,135
29-672,29672,PI,NULL,128,89
29-673,29673,PI,NULL,231,157
29-674,29674,PI,NULL,71,48
29-675,29675,PI,NULL,211,170
29-676,29676,PI,NULL,210,145
29-677,29677,PI,NULL,232,125
29-678,29678,PI,NULL,165,109
29-679,29679,PI,NULL,187,102
29-680,29680,PI,NULL,170,138
29-682,29682,PI,NULL,214,142
29-683,29683,PI,NULL,225,135
30-701,30701,PI,NULL,6,9
30-705,30705,PI,NULL,95,104
30-706,30706,PI,NULL,167,123
30-707,30707,PI,NULL,94,85
30-708,30708,PI,NULL,168,120
30-709,30709,PI,NULL,184,107
30-713(*),30713,PI,NULL,0,0
31-801,31801,PI,NULL,113,90
31-802,31802,PI,NULL,181,139
31-803,31803,PI,NULL,174,146
31-804,31804,PI,NULL,191,129
31-805,31805,PI,NULL,190,138
31-806,31806,PI,NULL,221,180
31-807(*),31807,PI,NULL,0,0
31-808,31808,PI,NULL,168,140
31-809,31809,PI,NULL,193,139
31-810,31810,PI,NULL,118,77
31-813,31813,PI,NULL,103,61
31-814,31814,PI,NULL,27,19
31-815,31815,PI,NULL,151,86
31-816,31816,PI,NULL,194,111
31-817,31817,PI,NULL,201,134
31-818,31818,PI,NULL,55,27
31-819,31819,PI,NULL,106,45
31-822,31822,PI,NULL,168,90
31-823,31823,PI,NULL,118,100
31-824(*),31824,PI,NULL,0,0
31-825,31825,PI,NULL,165,134
31-826,31826,PI,NULL,193,159
31-827,31827,PI,NULL,56,34
31-828,31828,PI,NULL,177,124
31-829,31829,PI,NULL,180,99
31-830,31830,PI,NULL,78,58
31-833,31833,PI,NULL,171,140
31-834,31834,PI,NULL,158,106
31-835,31835,PI,NULL,265,207
31-836,31836,PI,NULL,187,116
31-837,31837,PI,NULL,136,121
31-838,31838,PI,NULL,136,99
31-839,31839,PI,NULL,19,10
31-840,31840,PI,NULL,89,48
31-841,31841,PI,NULL,90,82
31-842,31842,PI,NULL,151,118
31-843,31843,PI,NULL,125,85
31-844,31844,PI,NULL,115,79
31-845,31845,PI,NULL,155,115
31-846,31846,PI,NULL,74,40
31-847,31847,PI,NULL,88,64
31-848,31848,PI,NULL,38,16
31-849,31849,PI,NULL,73,42
31-853,31853,PI,NULL,36,22
31-854,31854,PI,NULL,103,60
31-855,31855,PI,NULL,120,90
31-856,31856,PI,NULL,175,96
31-857,31857,PI,NULL,103,64
31-861,31861,PI,NULL,54,34
31-865,31865,PI,NULL,65,37
31-869,31869,PI,NULL,78,81
31-873,31873,PI,NULL,41,34
31-874,31874,PI,NULL,0,0
31-875,31875,PI,NULL,222,153
31-876,31876,PI,NULL,15,9
31-877,31877,PI,NULL,94,51
31-879,31879,PI,NULL,32,38
31-880,31880,PI,NULL,75,49
31-881,31881,PI,NULL,126,89
31-882,31882,PI,NULL,167,112
31-883,31883,PI,NULL,231,144
31-884,31884,PI,NULL,202,140
31-885,31885,PI,NULL,86,49
31-886,31886,PI,NULL,169,143
31-887,31887,PI,NULL,134,109
31-888,31888,PI,NULL,148,107
31-890,31890,PI,NULL,122,67
31-891,31891,PI,NULL,60,47
31-892,31892,PI,NULL,136,94
31-893(*),31893,PI,NULL,0,0
31-894,31894,PI,NULL,32,16
31-895,31895,PI,NULL,133,111
31-896(*),31896,PI,NULL,0,0
31-897,31897,PI,NULL,79,62
31-898,31898,PI,NULL,216,141
31-899,31899,PI,NULL,113,79
31-900,31900,PI,NULL,148,78
31-901,31901,PI,NULL,29,14
31-902,31902,PI,NULL,272,164
31-903,31903,PI,NULL,2,3
31-904,31904,PI,NULL,39,21
31-905,31905,PI,NULL,189,112
31-906,31906,PI,NULL,101,82
31-907,31907,PI,NULL,144,132
31-908,31908,PI,NULL,130,85
31-909,31909,PI,NULL,142,114
31-910,31910,PI,NULL,157,115
31-911,31911,PI,NULL,111,61
31-912,31912,PI,NULL,114,103
31-913,31913,PI,NULL,63,57
31-914,31914,PI,NULL,146,84
31-915,31915,PI,NULL,34,24
31-916,31916,PI,NULL,144,140
31-917,31917,PI,NULL,232,180
31-919,31919,PI,NULL,168,120
31-920,31920,PI,NULL,135,100
31-921,31921,PI,NULL,147,123
31-923,31923,PI,NULL,129,77
31-924,31924,PI,NULL,91,92
31-925,31925,PI,NULL,52,34
31-926,31926,PI,NULL,4,3
31-927,31927,PI,NULL,168,104
