Row Label,PrecinctCode,County,Registered Voters,Mary Yu
29-662,29662,PI,NULL,0
29-663,29663,PI,NULL,315
29-664,29664,PI,NULL,329
29-667,29667,PI,NULL,348
29-668,29668,PI,NULL,250
29-669,29669,PI,NULL,335
29-670,29670,PI,NULL,357
29-671,29671,PI,NULL,294
29-672,29672,PI,NULL,202
29-673,29673,PI,NULL,358
29-674,29674,PI,NULL,112
29-675,29675,PI,NULL,346
29-676,29676,PI,NULL,324
29-677,29677,PI,NULL,326
29-678,29678,PI,NULL,262
29-679,29679,PI,NULL,262
29-680,29680,PI,NULL,273
29-682,29682,PI,NULL,320
29-683,29683,PI,NULL,331
30-701,30701,PI,NULL,14
30-705,30705,PI,NULL,179
30-706,30706,PI,NULL,270
30-707,30707,PI,NULL,161
30-708,30708,PI,NULL,248
30-709,30709,PI,NULL,272
30-713,30713,PI,NULL,4
31-801,31801,PI,NULL,194
31-802,31802,PI,NULL,283
31-803,31803,PI,NULL,322
31-804,31804,PI,NULL,289
31-805,31805,PI,NULL,311
31-806,31806,PI,NULL,343
31-807,31807,PI,NULL,3
31-808,31808,PI,NULL,281
31-809,31809,PI,NULL,281
31-810,31810,PI,NULL,175
31-813,31813,PI,NULL,154
31-814,31814,PI,NULL,40
31-815,31815,PI,NULL,232
31-816,31816,PI,NULL,272
31-817,31817,PI,NULL,347
31-818,31818,PI,NULL,87
31-819,31819,PI,NULL,139
31-822,31822,PI,NULL,247
31-823,31823,PI,NULL,206
31-824,31824,PI,NULL,0
31-825,31825,PI,NULL,260
31-826,31826,PI,NULL,320
31-827,31827,PI,NULL,80
31-828,31828,PI,NULL,287
31-829,31829,PI,NULL,264
31-830,31830,PI,NULL,122
31-833,31833,PI,NULL,300
31-834,31834,PI,NULL,233
31-835,31835,PI,NULL,448
31-836,31836,PI,NULL,285
31-837,31837,PI,NULL,240
31-838,31838,PI,NULL,217
31-839,31839,PI,NULL,25
31-840,31840,PI,NULL,129
31-841,31841,PI,NULL,150
31-842,31842,PI,NULL,252
31-843,31843,PI,NULL,200
31-844,31844,PI,NULL,188
31-845,31845,PI,NULL,248
31-846,31846,PI,NULL,118
31-847,31847,PI,NULL,138
31-848,31848,PI,NULL,44
31-849,31849,PI,NULL,109
31-853,31853,PI,NULL,56
31-854,31854,PI,NULL,147
31-855,31855,PI,NULL,192
31-856,31856,PI,NULL,238
31-857,31857,PI,NULL,152
31-861,31861,PI,NULL,81
31-865,31865,PI,NULL,89
31-869,31869,PI,NULL,149
31-873,31873,PI,NULL,65
31-874,31874,PI,NULL,0
31-875,31875,PI,NULL,353
31-876,31876,PI,NULL,22
31-877,31877,PI,NULL,145
31-879,31879,PI,NULL,75
31-880,31880,PI,NULL,115
31-881,31881,PI,NULL,182
31-882,31882,PI,NULL,278
31-883,31883,PI,NULL,367
31-884,31884,PI,NULL,326
31-885,31885,PI,NULL,120
31-886,31886,PI,NULL,274
31-887,31887,PI,NULL,238
31-888,31888,PI,NULL,242
31-890,31890,PI,NULL,170
31-891,31891,PI,NULL,96
31-892,31892,PI,NULL,198
31-893,31893,PI,NULL,0
31-894,31894,PI,NULL,45
31-895,31895,PI,NULL,233
31-896,31896,PI,NULL,4
31-897,31897,PI,NULL,139
31-898,31898,PI,NULL,312
31-899,31899,PI,NULL,180
31-900,31900,PI,NULL,209
31-901,31901,PI,NULL,40
