Row Label,PrecinctCode,County,Registered Voters,Kelli E. Osler
930,930,CR,NULL,355
935,935,CR,NULL,373
940,940,CR,NULL,331
947,947,CR,NULL,314
950,950,CR,NULL,380
951,951,CR,NULL,327
953,953,CR,NULL,176
957,957,CR,NULL,74
958,958,CR,NULL,70
959,959,CR,NULL,17
960,960,CR,NULL,434
961,961,CR,NULL,76
962,962,CR,NULL,271
963,963,CR,NULL,299
964,964,CR,NULL,394
965,965,CR,NULL,343
966,966,CR,NULL,232
967,967,CR,NULL,220
968,968,CR,NULL,337
969,969,CR,NULL,223
985,985,CR,NULL,315
