Row Label,PrecinctCode,County,Registered Voters,Suzan DelBene,Pedro Celis
JORDAN BRIDGE,13914583,SN,NULL,42,42
MC FARLAND,13914681,SN,NULL,171,198
STAR CREEK,13914683,SN,NULL,86,101
INDEX,13951039,SN,NULL,51,14
MONROE  1,13951054,SN,NULL,227,161
MONROE  2,13951055,SN,NULL,176,156
SULTAN 1,13951070,SN,NULL,161,157
SULTAN 2,13951071,SN,NULL,149,132
MONROE  4,13951187,SN,NULL,206,143
MONROE  5,13951188,SN,NULL,188,208
SULTAN 3,13951322,SN,NULL,121,139
MONROE  3,13951431,SN,NULL,185,140
MONROE  6,13951506,SN,NULL,157,114
MONROE  7,13951548,SN,NULL,145,164
GOLD BAR 1,13951566,SN,NULL,152,104
GOLD BAR 2,13951567,SN,NULL,114,104
MONROE  8,13951568,SN,NULL,93,124
MONROE 10,13951586,SN,NULL,150,201
MONROE 11,13951587,SN,NULL,55,66
MONROE  9,13951653,SN,NULL,169,195
MONROE 12,13951654,SN,NULL,99,95
SULTAN 4,13951713,SN,NULL,119,105
PARK PLACE,13954003,SN,NULL,56,88
SULTAN RIVER,13954005,SN,NULL,171,142
TUALCO,13954007,SN,NULL,138,117
WALLACE,13954008,SN,NULL,112,110
LAKE,13954010,SN,NULL,211,179
SHORTS,13954013,SN,NULL,228,198
THREE LAKES,13954031,SN,NULL,113,160
ROOSEVELT,13954036,SN,NULL,88,88
SKYKOMISH,13954041,SN,NULL,73,37
OLNEY,13954043,SN,NULL,175,164
WINTER LAKE,13954058,SN,NULL,79,109
HIGHLAND,13954064,SN,NULL,123,125
TROMBLEY,13954272,SN,NULL,165,147
HIGH BRIDGE,13954292,SN,NULL,232,253
OWEN,13954309,SN,NULL,130,145
BLUFF,13954340,SN,NULL,122,199
CHAIN LAKE,13954371,SN,NULL,199,205
BROCKLIN,13954388,SN,NULL,157,165
HIGH ROCK,13954417,SN,NULL,122,168
MANN,13954425,SN,NULL,152,128
WAGNER,13954442,SN,NULL,177,191
WOODS CREEK,13954443,SN,NULL,125,145
FAIRVIEW,13954454,SN,NULL,137,120
MAY CREEK,13954469,SN,NULL,178,140
MILL,13954471,SN,NULL,162,186
STORM LAKE,13954487,SN,NULL,190,242
PIPELINE,13954507,SN,NULL,148,154
FERN,13954526,SN,NULL,44,68
IVERSON,13954534,SN,NULL,104,97
LUPINE,13954537,SN,NULL,125,137
ROBINHOOD,13954553,SN,NULL,137,113
SOFIE,13954710,SN,NULL,93,90
WEST FORK,13954750,SN,NULL,35,69
PILCHUCK RIVER,13954753,SN,NULL,14,8
RICHLAND,13954754,SN,NULL,53,61
SUNNYSIDE,14414044,SN,NULL,35,69
RAILROAD,14414318,SN,NULL,96,124
CASSIDY,14414522,SN,NULL,133,163
MILL CREEK  1,14441301,SN,NULL,222,176
MILL CREEK  2,14441302,SN,NULL,145,135
MILL CREEK  3,14441303,SN,NULL,117,100
MILL CREEK  4,14441304,SN,NULL,147,111
MILL CREEK  5,14441353,SN,NULL,236,200
MILL CREEK  6,14441354,SN,NULL,181,232
MILL CREEK  7,14441367,SN,NULL,15,11
MILL CREEK  8,14441376,SN,NULL,235,169
MILL CREEK  9,14441377,SN,NULL,217,121
MILL CREEK 10,14441472,SN,NULL,147,99
MILL CREEK 11,14441473,SN,NULL,126,120
MILL CREEK 12,14441495,SN,NULL,137,151
MILL CREEK 13,14441505,SN,NULL,152,126
MILL CREEK 14,14441629,SN,NULL,7,4
MILL CREEK 15,14441640,SN,NULL,183,153
MILL CREEK 16,14441652,SN,NULL,110,105
MILL CREEK 17,14441665,SN,NULL,193,138
MILL CREEK 18,14441666,SN,NULL,168,112
MILL CREEK 19,14441667,SN,NULL,230,186
MILL CREEK 20,14441668,SN,NULL,139,122
MILL CREEK 21,14441702,SN,NULL,108,60
MILL CREEK 22,14441703,SN,NULL,128,74
FERNWOOD,14444006,SN,NULL,167,121
BROOK,14444278,SN,NULL,251,139
HILL,14444293,SN,NULL,150,113
LARIMER,14444298,SN,NULL,126,156
MISTY,14444305,SN,NULL,178,150
OAKS,14444308,SN,NULL,185,171
PUGET PARK,14444317,SN,NULL,169,102
KENWOOD,14444348,SN,NULL,171,112
OLYMPUS,14444357,SN,NULL,140,118
SEATTLE HILL,14444361,SN,NULL,141,127
MERWIN,14444547,SN,NULL,87,134
CREEKSIDE,14444575,SN,NULL,136,102
DOUGLAS FIRS,14444576,SN,NULL,142,113
GRAND FIRS,14444582,SN,NULL,224,192
KATTENHORN,14444584,SN,NULL,255,193
SILVER FIRS,14444590,SN,NULL,232,148
TUCKER,14444595,SN,NULL,189,139
SPRUCE,14444658,SN,NULL,83,106
THOMAS CREEK,14444659,SN,NULL,149,135
WINDROSE,14444660,SN,NULL,248,153
STRAWBERRY,14444684,SN,NULL,188,133
DOGWOOD,14444693,SN,NULL,149,111
SNOHOMISH  1,14451014,SN,NULL,188,167
SNOHOMISH  3,14451038,SN,NULL,193,106
SNOHOMISH  5,14451056,SN,NULL,263,165
LAKE STEVENS  1,14451134,SN,NULL,205,200
LAKE STEVENS  2,14451135,SN,NULL,164,137
SNOHOMISH  7,14451144,SN,NULL,197,120
SNOHOMISH  8,14451145,SN,NULL,236,182
LAKE STEVENS  3,14451349,SN,NULL,227,165
LAKE STEVENS  4,14451418,SN,NULL,149,124
SNOHOMISH  2,14451436,SN,NULL,135,110
SNOHOMISH  4,14451437,SN,NULL,170,124
SNOHOMISH  6,14451438,SN,NULL,119,118
LAKE STEVENS  6,14451503,SN,NULL,163,155
SNOHOMISH  9,14451508,SN,NULL,103,95
LAKE STEVENS  7,14451536,SN,NULL,181,177
LAKE STEVENS  5,14451625,SN,NULL,138,115
LAKE STEVENS  8,14451649,SN,NULL,138,157
LAKE STEVENS  9,14451663,SN,NULL,126,120
LAKE STEVENS 10,14451664,SN,NULL,146,158
LAKE STEVENS 11,14451671,SN,NULL,107,87
LAKE STEVENS 12,14451672,SN,NULL,139,103
LAKE STEVENS 13,14451673,SN,NULL,158,117
LAKE STEVENS 14,14451674,SN,NULL,144,132
LAKE STEVENS 15,14451675,SN,NULL,210,171
SNOHOMISH 10,14451709,SN,NULL,64,78
LAKE STEVENS 16,14451716,SN,NULL,118,106
LAKE STEVENS 17,14451717,SN,NULL,153,155
LAKE STEVENS 18,14451718,SN,NULL,130,134
LAKE STEVENS 19,14451719,SN,NULL,151,178
LAKE STEVENS 20,14451720,SN,NULL,147,145
LAKE STEVENS 21,14451721,SN,NULL,216,164
LAKE STEVENS 22,14451722,SN,NULL,161,87
LAKE STEVENS 23,14451723,SN,NULL,89,133
LAKE STEVENS 24,14451724,SN,NULL,144,85
LAKE STEVENS 25,14451725,SN,NULL,38,61
LAKE STEVENS 26,14451726,SN,NULL,94,67
LAKE STEVENS 27,14451727,SN,NULL,88,66
LAKE STEVENS 28,14451757,SN,NULL,152,133
MARSH,14454012,SN,NULL,161,210
SOUTH SNOHOMISH,14454017,SN,NULL,125,132
WELANGDON,14454018,SN,NULL,8,11
LUDWIG,14454024,SN,NULL,147,142
SEXTON,14454029,SN,NULL,205,193
MACHIAS,14454045,SN,NULL,217,249
MARION,14454046,SN,NULL,129,134
RIVERVIEW,14454052,SN,NULL,190,143
SOUTH LAKE STEVENS,14454059,SN,NULL,153,171
FIR,14454066,SN,NULL,161,131
GLENWOOD,14454067,SN,NULL,115,98
TRAIL,14454072,SN,NULL,86,71
BERKSHIRE,14454075,SN,NULL,241,177
HAINES,14454291,SN,NULL,178,168
MEADOW,14454300,SN,NULL,135,136
PEAK,14454311,SN,NULL,6,8
PENNANT,14454312,SN,NULL,215,189
PETERSON,14454313,SN,NULL,225,165
PINEWOOD,14454315,SN,NULL,168,122
WINDSONG,14454336,SN,NULL,154,118
WOODRIDGE,14454339,SN,NULL,222,176
DUBUQUE,14454345,SN,NULL,140,163
POINTE,14454358,SN,NULL,28,21
SUNRISE,14454364,SN,NULL,193,85
VALMONT,14454366,SN,NULL,92,82
HEARTHSTONE,14454458,SN,NULL,129,104
MARKS,14454464,SN,NULL,163,159
OSBORN,14454477,SN,NULL,138,128
PANTHER CREEK,14454478,SN,NULL,176,133
PIONEER TRAILS,14454480,SN,NULL,162,144
RIDGEWAY,14454482,SN,NULL,105,94
STITCH,14454485,SN,NULL,59,38
CENTENNIAL,14454490,SN,NULL,229,209
FIRCREST,14454493,SN,NULL,110,93
GREENWOOD,14454530,SN,NULL,174,142
HAVEN,14454531,SN,NULL,198,154
HILLSIDE,14454532,SN,NULL,62,68
OHLDE,14454549,SN,NULL,143,180
RUGGS LAKE,14454554,SN,NULL,210,139
FOUR CORNERS,14454580,SN,NULL,198,116
KNOX,14454585,SN,NULL,12,6
MORNING RISE,14454588,SN,NULL,162,119
PELLERIN,14454634,SN,NULL,159,129
KENSINGTON,14454648,SN,NULL,86,79
OVERLOOK,14454706,SN,NULL,207,178
