Row Label,PrecinctCode,County,Registered Voters,Frank Dacca
29-641,29641,PI,NULL,293
29-642,29642,PI,NULL,315
29-643,29643,PI,NULL,26
29-648,29648,PI,NULL,6
29-649,29649,PI,NULL,90
29-650,29650,PI,NULL,310
29-651,29651,PI,NULL,350
29-652,29652,PI,NULL,30
29-653,29653,PI,NULL,293
29-654,29654,PI,NULL,328
29-655,29655,PI,NULL,129
29-656,29656,PI,NULL,285
29-657,29657,PI,NULL,4
29-658,29658,PI,NULL,279
29-659,29659,PI,NULL,171
29-660,29660,PI,NULL,373
29-661,29661,PI,NULL,266
29-662,29662,PI,NULL,0
29-663,29663,PI,NULL,288
29-664,29664,PI,NULL,296
29-667,29667,PI,NULL,314
29-668,29668,PI,NULL,243
29-669,29669,PI,NULL,313
29-670,29670,PI,NULL,333
29-671,29671,PI,NULL,273
29-672,29672,PI,NULL,192
29-673,29673,PI,NULL,336
29-674,29674,PI,NULL,105
29-675,29675,PI,NULL,331
29-676,29676,PI,NULL,295
29-677,29677,PI,NULL,305
29-678,29678,PI,NULL,244
29-679,29679,PI,NULL,258
29-680,29680,PI,NULL,253
29-682,29682,PI,NULL,293
29-683,29683,PI,NULL,317
30-701,30701,PI,NULL,12
30-705,30705,PI,NULL,176
30-706,30706,PI,NULL,253
30-707,30707,PI,NULL,156
30-708,30708,PI,NULL,236
30-709,30709,PI,NULL,250
30-713,30713,PI,NULL,4
31-801,31801,PI,NULL,182
31-802,31802,PI,NULL,259
31-803,31803,PI,NULL,295
31-804,31804,PI,NULL,269
31-805,31805,PI,NULL,285
31-806,31806,PI,NULL,325
31-807,31807,PI,NULL,3
31-808,31808,PI,NULL,245
31-809,31809,PI,NULL,267
31-810,31810,PI,NULL,154
31-813,31813,PI,NULL,139
31-814,31814,PI,NULL,40
31-815,31815,PI,NULL,214
31-816,31816,PI,NULL,244
31-817,31817,PI,NULL,309
31-818,31818,PI,NULL,78
31-819,31819,PI,NULL,125
31-822,31822,PI,NULL,219
31-823,31823,PI,NULL,191
31-824,31824,PI,NULL,0
31-825,31825,PI,NULL,251
31-826,31826,PI,NULL,299
31-827,31827,PI,NULL,73
31-828,31828,PI,NULL,258
31-829,31829,PI,NULL,245
31-830,31830,PI,NULL,116
31-833,31833,PI,NULL,274
31-834,31834,PI,NULL,213
31-835,31835,PI,NULL,425
31-836,31836,PI,NULL,248
31-837,31837,PI,NULL,226
31-838,31838,PI,NULL,201
31-839,31839,PI,NULL,22
31-840,31840,PI,NULL,121
31-841,31841,PI,NULL,135
31-842,31842,PI,NULL,225
31-843,31843,PI,NULL,177
31-844,31844,PI,NULL,172
31-845,31845,PI,NULL,234
31-846,31846,PI,NULL,109
31-847,31847,PI,NULL,136
31-848,31848,PI,NULL,41
31-849,31849,PI,NULL,100
31-853,31853,PI,NULL,49
31-854,31854,PI,NULL,138
31-855,31855,PI,NULL,179
31-856,31856,PI,NULL,219
31-857,31857,PI,NULL,137
