Row Label,PrecinctCode,County,Registered Voters,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
PCT 4024,4024,SP,NULL,245,138
PCT 4025,4025,SP,NULL,330,155
PCT 4026,4026,SP,NULL,338,105
PCT 4027,4027,SP,NULL,324,133
PCT 4028,4028,SP,NULL,420,264
PCT 4029,4029,SP,NULL,319,186
PCT 4030,4030,SP,NULL,217,152
PCT 4031,4031,SP,NULL,321,112
PCT 4032,4032,SP,NULL,212,113
PCT 4033,4033,SP,NULL,262,135
PCT 4034,4034,SP,NULL,284,112
PCT 4035,4035,SP,NULL,269,80
PCT 4200,4200,SP,NULL,218,176
PCT 4201,4201,SP,NULL,119,108
PCT 4300,4300,SP,NULL,321,108
PCT 4301,4301,SP,NULL,200,72
PCT 4302,4302,SP,NULL,330,191
PCT 4303,4303,SP,NULL,408,109
PCT 4304,4304,SP,NULL,214,146
PCT 4305,4305,SP,NULL,245,105
PCT 4306,4306,SP,NULL,379,160
PCT 4307,4307,SP,NULL,75,37
PCT 4400,4400,SP,NULL,279,208
PCT 4401,4401,SP,NULL,338,233
PCT 4402,4402,SP,NULL,267,210
PCT 4403,4403,SP,NULL,329,214
PCT 4404,4404,SP,NULL,347,212
PCT 4405,4405,SP,NULL,337,219
PCT 4406,4406,SP,NULL,253,225
PCT 4407,4407,SP,NULL,303,226
PCT 4408,4408,SP,NULL,470,201
PCT 4409,4409,SP,NULL,501,241
PCT 4410,4410,SP,NULL,371,221
PCT 4411,4411,SP,NULL,362,178
PCT 4412,4412,SP,NULL,241,153
PCT 4413,4413,SP,NULL,300,187
PCT 4414,4414,SP,NULL,380,208
PCT 4415,4415,SP,NULL,265,168
PCT 4416,4416,SP,NULL,291,194
PCT 4417,4417,SP,NULL,189,131
PCT 4418,4418,SP,NULL,324,173
PCT 4419,4419,SP,NULL,347,181
PCT 4420,4420,SP,NULL,134,92
PCT 4421,4421,SP,NULL,229,170
PCT 4422,4422,SP,NULL,327,190
PCT 4423,4423,SP,NULL,413,276
PCT 4424,4424,SP,NULL,316,174
PCT 4425,4425,SP,NULL,251,139
PCT 4426,4426,SP,NULL,190,113
PCT 4427,4427,SP,NULL,397,238
PCT 4428,4428,SP,NULL,235,131
PCT 4429,4429,SP,NULL,375,193
PCT 4430,4430,SP,NULL,341,207
PCT 4431,4431,SP,NULL,268,163
PCT 4432,4432,SP,NULL,339,203
PCT 4433,4433,SP,NULL,217,145
PCT 4434,4434,SP,NULL,495,251
PCT 4435,4435,SP,NULL,393,167
PCT 4436,4436,SP,NULL,536,194
PCT 4437,4437,SP,NULL,337,233
PCT 4438,4438,SP,NULL,461,218
PCT 4439,4439,SP,NULL,331,182
PCT 4440,4440,SP,NULL,371,181
PCT 4441,4441,SP,NULL,249,133
PCT 4442,4442,SP,NULL,214,144
PCT 4443,4443,SP,NULL,199,92
PCT 4444,4444,SP,NULL,373,185
PCT 4445,4445,SP,NULL,297,152
PCT 4446,4446,SP,NULL,164,128
PCT 4447,4447,SP,NULL,153,92
PCT 4448,4448,SP,NULL,240,158
PCT 4449,4449,SP,NULL,158,150
PCT 4450,4450,SP,NULL,153,103
PCT 4451,4451,SP,NULL,251,136
PCT 4452,4452,SP,NULL,258,143
PCT 4453,4453,SP,NULL,344,162
PCT 4454,4454,SP,NULL,194,162
PCT 4455,4455,SP,NULL,272,131
PCT 6000,6000,SP,NULL,262,118
PCT 6001,6001,SP,NULL,297,193
PCT 6002,6002,SP,NULL,87,52
PCT 6003,6003,SP,NULL,411,169
PCT 6004,6004,SP,NULL,229,139
PCT 6005,6005,SP,NULL,275,177
PCT 6006,6006,SP,NULL,303,187
PCT 6007,6007,SP,NULL,262,187
PCT 6008,6008,SP,NULL,244,156
PCT 6009,6009,SP,NULL,213,182
PCT 6010,6010,SP,NULL,47,18
PCT 6011,6011,SP,NULL,284,113
PCT 6012,6012,SP,NULL,209,98
PCT 6013,6013,SP,NULL,233,136
PCT 6014,6014,SP,NULL,175,104
PCT 6015,6015,SP,NULL,176,127
PCT 6016,6016,SP,NULL,220,108
PCT 6017,6017,SP,NULL,519,312
PCT 6018,6018,SP,NULL,408,281
PCT 6019,6019,SP,NULL,392,306
PCT 6020,6020,SP,NULL,404,360
PCT 6021,6021,SP,NULL,285,194
PCT 6022,6022,SP,NULL,317,212
PCT 6023,6023,SP,NULL,216,83
PCT 6024,6024,SP,NULL,197,121
PCT 6025,6025,SP,NULL,230,148
PCT 6026,6026,SP,NULL,461,271
PCT 6027,6027,SP,NULL,306,185
PCT 6028,6028,SP,NULL,261,143
PCT 6029,6029,SP,NULL,331,157
PCT 6030,6030,SP,NULL,442,265
PCT 6031,6031,SP,NULL,233,145
PCT 6032,6032,SP,NULL,238,75
PCT 6033,6033,SP,NULL,507,253
PCT 6034,6034,SP,NULL,404,160
PCT 6035,6035,SP,NULL,210,112
PCT 6036,6036,SP,NULL,217,100
PCT 6037,6037,SP,NULL,206,79
PCT 6100,6100,SP,NULL,181,110
PCT 6101,6101,SP,NULL,262,152
PCT 6102,6102,SP,NULL,242,181
PCT 6103,6103,SP,NULL,94,82
PCT 6104,6104,SP,NULL,171,157
PCT 6105,6105,SP,NULL,199,193
PCT 6106,6106,SP,NULL,318,250
PCT 6107,6107,SP,NULL,175,150
PCT 6108,6108,SP,NULL,189,166
PCT 6109,6109,SP,NULL,158,109
PCT 6200,6200,SP,NULL,290,349
PCT 6201,6201,SP,NULL,252,208
PCT 6202,6202,SP,NULL,264,258
PCT 6203,6203,SP,NULL,206,461
PCT 6204,6204,SP,NULL,259,513
PCT 6205,6205,SP,NULL,234,429
PCT 6206,6206,SP,NULL,268,399
PCT 6207,6207,SP,NULL,404,257
PCT 6208,6208,SP,NULL,296,358
PCT 6209,6209,SP,NULL,209,298
PCT 6210,6210,SP,NULL,336,307
PCT 6211,6211,SP,NULL,208,203
PCT 6212,6212,SP,NULL,163,158
PCT 6213,6213,SP,NULL,344,258
PCT 6214,6214,SP,NULL,247,239
PCT 6215,6215,SP,NULL,259,370
PCT 6216,6216,SP,NULL,278,259
PCT 6217,6217,SP,NULL,284,318
PCT 6218,6218,SP,NULL,314,200
PCT 6219,6219,SP,NULL,342,254
PCT 6220,6220,SP,NULL,398,228
PCT 6221,6221,SP,NULL,415,284
PCT 6222,6222,SP,NULL,343,115
PCT 6223,6223,SP,NULL,384,264
PCT 6224,6224,SP,NULL,277,254
PCT 6225,6225,SP,NULL,326,285
PCT 6300,6300,SP,NULL,506,309
PCT 6301,6301,SP,NULL,507,268
PCT 6302,6302,SP,NULL,222,145
PCT 6303,6303,SP,NULL,440,310
PCT 6304,6304,SP,NULL,410,288
PCT 6305,6305,SP,NULL,229,119
PCT 6306,6306,SP,NULL,363,150
PCT 6307,6307,SP,NULL,200,86
PCT 6308,6308,SP,NULL,195,118
PCT 6309,6309,SP,NULL,308,223
PCT 6310,6310,SP,NULL,235,217
PCT 6311,6311,SP,NULL,251,192
PCT 6312,6312,SP,NULL,267,173
PCT 6313,6313,SP,NULL,277,281
PCT 6314,6314,SP,NULL,268,209
PCT 6315,6315,SP,NULL,168,148
PCT 6316,6316,SP,NULL,143,111
PCT 6317,6317,SP,NULL,228,166
PCT 6318,6318,SP,NULL,277,152
PCT 6400,6400,SP,NULL,220,145
PCT 6401,6401,SP,NULL,140,78
PCT 6402,6402,SP,NULL,288,157
PCT 6500,6500,SP,NULL,89,23
PCT 6600,6600,SP,NULL,268,186
PCT 6601,6601,SP,NULL,304,95
PCT 6602,6602,SP,NULL,309,167
PCT 6700,6700,SP,NULL,254,174
PCT 6701,6701,SP,NULL,206,239
PCT 6702,6702,SP,NULL,181,158
PCT 6703,6703,SP,NULL,212,217
PCT 6704,6704,SP,NULL,270,190
PCT 7000,7000,SP,NULL,520,219
PCT 7001,7001,SP,NULL,285,142
PCT 7002,7002,SP,NULL,292,115
PCT 7003,7003,SP,NULL,394,154
PCT 7004,7004,SP,NULL,389,161
PCT 7005,7005,SP,NULL,522,247
PCT 7006,7006,SP,NULL,386,175
PCT 7007,7007,SP,NULL,341,155
PCT 7008,7008,SP,NULL,454,184
PCT 7009,7009,SP,NULL,500,221
PCT 7010,7010,SP,NULL,314,112
PCT 7011,7011,SP,NULL,258,74
PCT 7012,7012,SP,NULL,361,157
PCT 7013,7013,SP,NULL,390,104
PCT 7014,7014,SP,NULL,322,176
PCT 7015,7015,SP,NULL,355,150
PCT 7016,7016,SP,NULL,460,222
PCT 7017,7017,SP,NULL,401,147
PCT 7018,7018,SP,NULL,413,213
PCT 7019,7019,SP,NULL,348,136
PCT 7020,7020,SP,NULL,393,189
PCT 7021,7021,SP,NULL,215,102
PCT 7022,7022,SP,NULL,253,184
PCT 7023,7023,SP,NULL,250,175
PCT 7024,7024,SP,NULL,480,208
PCT 7025,7025,SP,NULL,312,183
PCT 7026,7026,SP,NULL,366,180
PCT 7027,7027,SP,NULL,259,169
PCT 7028,7028,SP,NULL,497,215
PCT 7029,7029,SP,NULL,278,185
PCT 7030,7030,SP,NULL,373,198
PCT 7031,7031,SP,NULL,291,190
PCT 7032,7032,SP,NULL,311,221
PCT 7033,7033,SP,NULL,216,130
PCT 7034,7034,SP,NULL,175,134
PCT 7035,7035,SP,NULL,222,116
PCT 7036,7036,SP,NULL,235,161
PCT 7300,7300,SP,NULL,295,144
PCT 7301,7301,SP,NULL,246,123
PCT 7302,7302,SP,NULL,229,121
PCT 9000,9000,SP,NULL,379,159
PCT 9001,9001,SP,NULL,259,162
PCT 9002,9002,SP,NULL,294,91
PCT 9003,9003,SP,NULL,200,57
PCT 9004,9004,SP,NULL,356,116
PCT 9005,9005,SP,NULL,154,34
PCT 9006,9006,SP,NULL,431,120
PCT 9007,9007,SP,NULL,110,32
PCT 9008,9008,SP,NULL,69,19
PCT 9300,9300,SP,NULL,63,27
PCT 9400,9400,SP,NULL,34,6
PCT 9500,9500,SP,NULL,117,51
PCT 9600,9600,SP,NULL,50,23
PCT 9700,9700,SP,NULL,109,60
