Row Label,PrecinctCode,County,Registered Voters,Bernard F. Veljacic,Robert Vukanovich
450,450,CR,NULL,344,219
451,451,CR,NULL,285,172
452,452,CR,NULL,253,168
453,453,CR,NULL,264,165
455,455,CR,NULL,186,159
456,456,CR,NULL,391,237
460,460,CR,NULL,388,259
470,470,CR,NULL,347,251
480,480,CR,NULL,359,263
483,483,CR,NULL,393,249
485,485,CR,NULL,189,153
487,487,CR,NULL,127,95
490,490,CR,NULL,186,152
491,491,CR,NULL,28,8
500,500,CR,NULL,291,216
502,502,CR,NULL,210,194
503,503,CR,NULL,191,164
505,505,CR,NULL,299,235
510,510,CR,NULL,144,153
511,511,CR,NULL,18,9
515,515,CR,NULL,311,217
520,520,CR,NULL,125,139
521,521,CR,NULL,3,6
522,522,CR,NULL,93,73
523,523,CR,NULL,5,2
524,524,CR,NULL,23,22
525,525,CR,NULL,146,161
527,527,CR,NULL,201,195
528,528,CR,NULL,230,209
530,530,CR,NULL,124,84
535,535,CR,NULL,303,284
536,536,CR,NULL,147,128
537,537,CR,NULL,94,81
538,538,CR,NULL,110,111
540,540,CR,NULL,255,240
543,543,CR,NULL,253,206
545,545,CR,NULL,179,151
550,550,CR,NULL,294,234
553,553,CR,NULL,248,159
555,555,CR,NULL,323,216
560,560,CR,NULL,291,162
563,563,CR,NULL,280,234
565,565,CR,NULL,223,155
566,566,CR,NULL,139,163
570,570,CR,NULL,244,206
571,571,CR,NULL,238,186
572,572,CR,NULL,333,250
573,573,CR,NULL,280,294
574,574,CR,NULL,17,5
575(*),575,CR,NULL,0,0
576(*),576,CR,NULL,0,0
577,577,CR,NULL,337,253
578,578,CR,NULL,24,22
579,579,CR,NULL,13,2
580,580,CR,NULL,168,131
581,581,CR,NULL,99,131
582,582,CR,NULL,186,178
583,583,CR,NULL,183,179
584,584,CR,NULL,229,182
585,585,CR,NULL,292,252
586,586,CR,NULL,243,162
587,587,CR,NULL,217,175
588,588,CR,NULL,143,123
590,590,CR,NULL,316,266
591,591,CR,NULL,306,302
592,592,CR,NULL,314,255
593,593,CR,NULL,261,227
594,594,CR,NULL,11,7
595,595,CR,NULL,124,145
596(*),596,CR,NULL,0,0
597,597,CR,NULL,37,19
598,598,CR,NULL,9,5
600,600,CR,NULL,119,115
603,603,CR,NULL,139,142
605,605,CR,NULL,209,214
606,606,CR,NULL,42,46
610,610,CR,NULL,350,274
613,613,CR,NULL,131,96
615,615,CR,NULL,129,81
617,617,CR,NULL,236,210
618,618,CR,NULL,267,228
620,620,CR,NULL,277,234
624,624,CR,NULL,56,52
625,625,CR,NULL,257,219
626,626,CR,NULL,236,202
627,627,CR,NULL,219,225
628,628,CR,NULL,287,208
629,629,CR,NULL,224,196
630,630,CR,NULL,194,169
631,631,CR,NULL,295,219
632,632,CR,NULL,126,117
633,633,CR,NULL,212,202
634,634,CR,NULL,227,164
635,635,CR,NULL,193,156
636,636,CR,NULL,186,188
638,638,CR,NULL,216,190
639,639,CR,NULL,236,159
640,640,CR,NULL,243,209
641,641,CR,NULL,102,80
642,642,CR,NULL,112,96
643,643,CR,NULL,233,191
644,644,CR,NULL,276,193
645,645,CR,NULL,322,228
646,646,CR,NULL,112,99
647,647,CR,NULL,184,135
648,648,CR,NULL,209,139
649,649,CR,NULL,224,176
650,650,CR,NULL,273,194
651,651,CR,NULL,189,150
652,652,CR,NULL,224,208
653,653,CR,NULL,222,171
654,654,CR,NULL,181,141
655,655,CR,NULL,222,204
656,656,CR,NULL,137,102
658,658,CR,NULL,257,155
659,659,CR,NULL,260,206
660,660,CR,NULL,279,191
662,662,CR,NULL,252,223
663,663,CR,NULL,173,146
664,664,CR,NULL,283,193
667,667,CR,NULL,234,115
668,668,CR,NULL,305,185
669,669,CR,NULL,253,157
670,670,CR,NULL,298,210
672,672,CR,NULL,225,166
673,673,CR,NULL,301,202
674,674,CR,NULL,248,155
675,675,CR,NULL,190,127
677,677,CR,NULL,247,199
678,678,CR,NULL,207,145
679,679,CR,NULL,176,127
680,680,CR,NULL,221,155
681,681,CR,NULL,184,190
682,682,CR,NULL,226,176
683,683,CR,NULL,227,174
685,685,CR,NULL,57,73
686,686,CR,NULL,201,134
687,687,CR,NULL,214,216
688,688,CR,NULL,209,162
689,689,CR,NULL,249,232
690,690,CR,NULL,288,187
691,691,CR,NULL,228,204
692,692,CR,NULL,259,236
693,693,CR,NULL,137,131
694,694,CR,NULL,85,84
695,695,CR,NULL,259,230
696,696,CR,NULL,315,230
697,697,CR,NULL,306,270
698,698,CR,NULL,250,182
699,699,CR,NULL,235,175
700,700,CR,NULL,42,36
710,710,CR,NULL,111,95
720,720,CR,NULL,188,169
900,900,CR,NULL,236,179
903,903,CR,NULL,271,191
905,905,CR,NULL,249,226
910,910,CR,NULL,226,201
912,912,CR,NULL,217,167
913,913,CR,NULL,271,237
914,914,CR,NULL,280,177
917,917,CR,NULL,153,143
920,920,CR,NULL,209,171
925,925,CR,NULL,223,166
930,930,CR,NULL,250,196
935,935,CR,NULL,249,223
940,940,CR,NULL,215,211
947,947,CR,NULL,219,150
950,950,CR,NULL,252,188
951,951,CR,NULL,234,167
953,953,CR,NULL,120,78
957,957,CR,NULL,49,48
958,958,CR,NULL,40,34
959,959,CR,NULL,18,3
960,960,CR,NULL,291,218
961,961,CR,NULL,51,34
962,962,CR,NULL,200,141
963,963,CR,NULL,205,148
964,964,CR,NULL,303,165
965,965,CR,NULL,250,191
966,966,CR,NULL,173,115
967,967,CR,NULL,165,127
968,968,CR,NULL,229,171
969,969,CR,NULL,137,120
985,985,CR,NULL,225,157
