Row Label,PrecinctCode,County,Registered Voters,Approved,Rejcted
PCT 3216,3216,SP,NULL,460,195
PCT 3217,3217,SP,NULL,393,223
PCT 3218,3218,SP,NULL,521,90
PCT 3219,3219,SP,NULL,378,87
PCT 3220,3220,SP,NULL,492,110
PCT 3221,3221,SP,NULL,341,204
PCT 3222,3222,SP,NULL,199,49
PCT 3223,3223,SP,NULL,241,87
PCT 3300,3300,SP,NULL,339,128
PCT 3301,3301,SP,NULL,449,210
PCT 3302,3302,SP,NULL,286,204
PCT 3303,3303,SP,NULL,264,202
PCT 3304,3304,SP,NULL,287,186
PCT 3305,3305,SP,NULL,238,154
PCT 3306,3306,SP,NULL,288,183
PCT 3307,3307,SP,NULL,215,129
PCT 3308,3308,SP,NULL,270,208
PCT 3309,3309,SP,NULL,282,168
PCT 3310,3310,SP,NULL,295,196
PCT 3311,3311,SP,NULL,199,107
PCT 3312,3312,SP,NULL,380,232
PCT 3313,3313,SP,NULL,425,223
PCT 3314,3314,SP,NULL,247,164
PCT 3315,3315,SP,NULL,341,196
PCT 3316,3316,SP,NULL,423,167
PCT 3317,3317,SP,NULL,464,223
PCT 3318,3318,SP,NULL,292,159
PCT 3319,3319,SP,NULL,275,137
PCT 3320,3320,SP,NULL,264,102
PCT 3321,3321,SP,NULL,369,152
PCT 3322,3322,SP,NULL,242,145
PCT 3323,3323,SP,NULL,332,151
PCT 3324,3324,SP,NULL,320,150
PCT 3325,3325,SP,NULL,383,173
PCT 3326,3326,SP,NULL,120,71
PCT 3327,3327,SP,NULL,248,96
PCT 3328,3328,SP,NULL,347,125
PCT 3329,3329,SP,NULL,311,71
PCT 6100,6100,SP,NULL,200,82
PCT 6101,6101,SP,NULL,260,150
PCT 6102,6102,SP,NULL,269,151
PCT 6103,6103,SP,NULL,115,57
PCT 6104,6104,SP,NULL,203,119
PCT 6105,6105,SP,NULL,246,137
PCT 6106,6106,SP,NULL,343,208
PCT 6107,6107,SP,NULL,207,119
PCT 6108,6108,SP,NULL,246,91
PCT 6109,6109,SP,NULL,175,85
PCT 6200,6200,SP,NULL,440,190
PCT 6201,6201,SP,NULL,308,156
PCT 6202,6202,SP,NULL,335,180
PCT 6203,6203,SP,NULL,545,126
PCT 6204,6204,SP,NULL,635,132
PCT 6205,6205,SP,NULL,542,112
PCT 6206,6206,SP,NULL,517,149
PCT 6207,6207,SP,NULL,527,131
PCT 6208,6208,SP,NULL,498,137
PCT 6209,6209,SP,NULL,367,133
PCT 6210,6210,SP,NULL,479,146
PCT 6211,6211,SP,NULL,291,111
PCT 6212,6212,SP,NULL,200,120
PCT 6213,6213,SP,NULL,401,198
PCT 6214,6214,SP,NULL,357,126
PCT 6215,6215,SP,NULL,495,135
PCT 6216,6216,SP,NULL,383,152
PCT 6217,6217,SP,NULL,430,157
PCT 6218,6218,SP,NULL,390,124
PCT 6219,6219,SP,NULL,411,175
PCT 6220,6220,SP,NULL,446,171
PCT 6221,6221,SP,NULL,501,193
PCT 6222,6222,SP,NULL,352,103
PCT 6223,6223,SP,NULL,507,139
PCT 6224,6224,SP,NULL,394,132
PCT 6225,6225,SP,NULL,436,161
PCT 6300,6300,SP,NULL,518,279
PCT 6301,6301,SP,NULL,502,268
PCT 6302,6302,SP,NULL,258,111
PCT 6303,6303,SP,NULL,493,255
PCT 6304,6304,SP,NULL,444,239
PCT 6305,6305,SP,NULL,240,111
PCT 6306,6306,SP,NULL,335,167
PCT 6307,6307,SP,NULL,176,106
PCT 6308,6308,SP,NULL,218,99
PCT 6309,6309,SP,NULL,339,186
PCT 6310,6310,SP,NULL,314,137
PCT 6311,6311,SP,NULL,266,172
PCT 6312,6312,SP,NULL,257,173
PCT 6313,6313,SP,NULL,341,206
PCT 6314,6314,SP,NULL,293,189
PCT 6315,6315,SP,NULL,208,110
PCT 6316,6316,SP,NULL,211,44
PCT 6317,6317,SP,NULL,252,141
PCT 6318,6318,SP,NULL,312,115
