Row Label,PrecinctCode,County,Registered Voters,Dave Aldrich,Bruce King
SEATTLE HILL,14444361,SN,NULL,120,90
MERWIN,14444547,SN,NULL,89,71
CREEKSIDE,14444575,SN,NULL,88,100
DOUGLAS FIRS,14444576,SN,NULL,121,89
GRAND FIRS,14444582,SN,NULL,181,133
KATTENHORN,14444584,SN,NULL,203,143
SILVER FIRS,14444590,SN,NULL,176,135
TUCKER,14444595,SN,NULL,167,93
SPRUCE,14444658,SN,NULL,82,64
THOMAS CREEK,14444659,SN,NULL,119,104
WINDROSE,14444660,SN,NULL,204,135
STRAWBERRY,14444684,SN,NULL,131,132
DOGWOOD,14444693,SN,NULL,113,73
SNOHOMISH  1,14451014,SN,NULL,137,145
SNOHOMISH  3,14451038,SN,NULL,138,94
SNOHOMISH  5,14451056,SN,NULL,177,150
LAKE STEVENS  1,14451134,SN,NULL,173,165
LAKE STEVENS  2,14451135,SN,NULL,117,132
SNOHOMISH  7,14451144,SN,NULL,137,126
SNOHOMISH  8,14451145,SN,NULL,178,175
LAKE STEVENS  3,14451349,SN,NULL,162,167
LAKE STEVENS  4,14451418,SN,NULL,116,98
SNOHOMISH  2,14451436,SN,NULL,91,106
SNOHOMISH  4,14451437,SN,NULL,115,131
SNOHOMISH  6,14451438,SN,NULL,87,94
LAKE STEVENS  6,14451503,SN,NULL,143,112
SNOHOMISH  9,14451508,SN,NULL,80,77
LAKE STEVENS  7,14451536,SN,NULL,136,158
LAKE STEVENS  5,14451625,SN,NULL,111,111
LAKE STEVENS  8,14451649,SN,NULL,137,109
LAKE STEVENS  9,14451663,SN,NULL,99,99
LAKE STEVENS 10,14451664,SN,NULL,115,132
LAKE STEVENS 11,14451671,SN,NULL,85,78
LAKE STEVENS 12,14451672,SN,NULL,87,105
LAKE STEVENS 13,14451673,SN,NULL,129,102
LAKE STEVENS 14,14451674,SN,NULL,121,113
LAKE STEVENS 15,14451675,SN,NULL,156,130
SNOHOMISH 10,14451709,SN,NULL,53,65
LAKE STEVENS 16,14451716,SN,NULL,93,85
LAKE STEVENS 17,14451717,SN,NULL,121,123
LAKE STEVENS 18,14451718,SN,NULL,107,119
LAKE STEVENS 19,14451719,SN,NULL,132,140
LAKE STEVENS 20,14451720,SN,NULL,118,144
LAKE STEVENS 21,14451721,SN,NULL,162,145
LAKE STEVENS 22,14451722,SN,NULL,105,110
