Row Label,PrecinctCode,County,Registered Voters,Kevin M. Korsmo
BOUNDARY,95,OK,NULL,31
BUCKHORN MTN,96,OK,NULL,40
EDER,97,OK,NULL,25
HORSESHOE LAKE,98,OK,NULL,27
LAKE ANDREWS,99,OK,NULL,34
MYERS CREEK,100,OK,NULL,18
COULEE DAM #1,101,OK,NULL,54
COULEE DAM #2,102,OK,NULL,35
COULEE DAM #3,103,OK,NULL,28
NESPELEM CITY,104,OK,NULL,14
OKANOGAN #1,105,OK,NULL,20
OKANOGAN #2,106,OK,NULL,39
OKANOGAN #3,107,OK,NULL,14
OKANOGAN #4,108,OK,NULL,36
OMAK #1,109,OK,NULL,16
OMAK #2,110,OK,NULL,28
OMAK #3,111,OK,NULL,14
OMAK #4,112,OK,NULL,27
OMAK #5,113,OK,NULL,35
OMAK #6,114,OK,NULL,29
OMAK #7,115,OK,NULL,31
OMAK #8,116,OK,NULL,17
OMAK #9,117,OK,NULL,49
OROVILLE #1,118,OK,NULL,27
OROVILLE #2,119,OK,NULL,21
OROVILLE #3,120,OK,NULL,20
TONASKET #1,121,OK,NULL,24
TONASKET #2,122,OK,NULL,29
TONASKET #3,123,OK,NULL,15
BREWSTER #1,124,OK,NULL,18
BREWSTER #2,125,OK,NULL,41
PATEROS #1,126,OK,NULL,32
PATEROS #2,127,OK,NULL,28
TWISP #1,128,OK,NULL,53
TWISP #2,129,OK,NULL,37
WINTHROP #1,130,OK,NULL,57
CONCONULLY CITY,131,OK,NULL,56
COULEE DAM #4,132,OK,NULL,30
ELMER CITY,133,OK,NULL,67
RIVERSIDE CITY,134,OK,NULL,50
TWISP #3,135,OK,NULL,41
TWISP #4,136,OK,NULL,19
WINTHROP #2,137,OK,NULL,40
SHORELINE,138,OK,NULL,17
SIMILKAMEEN,139,OK,NULL,19
TEAL LAKE,140,OK,NULL,26
TONASKET CREEK,141,OK,NULL,18
OROVILLE #4,142,OK,NULL,34
OROVILLE #5,143,OK,NULL,33
OROVILLE #6,144,OK,NULL,20
OROVILLE #7,145,OK,NULL,27
OROVILLE #8,146,OK,NULL,23
OROVILLE #9,147,OK,NULL,22
OROVILLE #10,148,OK,NULL,34
JENNINGS LOOP,149,OK,NULL,20
BLUE LAKE,150,OK,NULL,42
AENEAS CREEK,151,OK,NULL,26
AENEAS LAKE,152,OK,NULL,37
ANTOINE CREEK,153,OK,NULL,17
ANTOINE PEAK,154,OK,NULL,15
CAPE LABELLE,155,OK,NULL,22
CAYUSE MTN,156,OK,NULL,15
CHEWILIKEN,157,OK,NULL,17
DUFFYS MTN,158,OK,NULL,20
FRONTAGE,159,OK,NULL,12
GUSTY RIDGE,160,OK,NULL,23
LONGANECKER,161,OK,NULL,22
NORTH TONASKET,162,OK,NULL,50
PICKENS MTN,163,OK,NULL,25
RANCHES,164,OK,NULL,13
SIWASH CREEK,165,OK,NULL,35
SPECTACLE LAKE,166,OK,NULL,27
HIGHWAY,167,OK,NULL,14
WHISKY MTN,168,OK,NULL,7
YARNELL,169,OK,NULL,22
TONASKET #4,170,OK,NULL,24
TONASKET #5,171,OK,NULL,25
TONASKET #6,172,OK,NULL,18
TONASKET #7,173,OK,NULL,30
LEECHER MTN,174,OK,NULL,38
ALTA LAKE,175,OK,NULL,27
STARR,176,OK,NULL,19
PATEROS #3,177,OK,NULL,15
RAT LAKE,178,OK,NULL,21
BREWSTER FLAT,179,OK,NULL,36
BREWSTER #3,180,OK,NULL,23
BREWSTER #4,181,OK,NULL,15
BREWSTER #5,182,OK,NULL,20
BREWSTER #6,183,OK,NULL,17
PIONEER,184,OK,NULL,30
COLEMAN BUTTE,185,OK,NULL,36
ASTON,186,OK,NULL,19
WEST RIVER,187,OK,NULL,16
OMAK RIVER,188,OK,NULL,32
CHEROKEE,189,OK,NULL,39
NICHOLS,190,OK,NULL,14
LONE PINE,191,OK,NULL,25
OMAK MTN,192,OK,NULL,16
OMAK LAKE,193,OK,NULL,21
FIKER,194,OK,NULL,27
ROSS CANYON,195,OK,NULL,33
HENDRICK,196,OK,NULL,44
DIXON,197,OK,NULL,34
KERMEL,198,OK,NULL,41
GLOVER,199,OK,NULL,40
FLETCHER,200,OK,NULL,25
MOCK,201,OK,NULL,33
OMAK #10,202,OK,NULL,30
OMAK #11,203,OK,NULL,34
OMAK #12,204,OK,NULL,36
OMAK #13,205,OK,NULL,28
OMAK #14,206,OK,NULL,29
OMAK #15,207,OK,NULL,32
OMAK #16,208,OK,NULL,23
OMAK #17,209,OK,NULL,43
OMAK #18,210,OK,NULL,24
OMAK #19,211,OK,NULL,22
OMAK #20,212,OK,NULL,30
OMAK #21,213,OK,NULL,21
OMAK #22,214,OK,NULL,39
OMAK #23,215,OK,NULL,19
OMAK #24,216,OK,NULL,31
OKANOGAN #5,217,OK,NULL,35
OKANOGAN #6,218,OK,NULL,25
OKANOGAN #7,219,OK,NULL,14
OKANOGAN #8,220,OK,NULL,30
OKANOGAN #9,221,OK,NULL,27
OKANOGAN #10,222,OK,NULL,30
OKANOGAN #11,223,OK,NULL,33
OKANOGAN #12,224,OK,NULL,19
OKANOGAN #13,225,OK,NULL,16
AVIATION,226,OK,NULL,16
SUNSET LAKES,236,OK,NULL,11
FLATS,237,OK,NULL,24
