Row Label,PrecinctCode,County,Registered Voters,Jim Upton,Ty Trenary
EVERETT  50,23821254,SN,NULL,101,145
EVERETT  51,23821255,SN,NULL,85,149
EVERETT  53,23821256,SN,NULL,82,175
EVERETT  54,23821257,SN,NULL,85,147
EVERETT  55,23821258,SN,NULL,33,37
EVERETT  67,23821287,SN,NULL,76,150
EVERETT  69,23821288,SN,NULL,94,137
EVERETT  73,23821289,SN,NULL,142,109
EVERETT  76,23821290,SN,NULL,123,92
TULALIP 1,23821327,SN,NULL,117,169
TULALIP 2,23821328,SN,NULL,83,160
EVERETT  60,23821346,SN,NULL,133,98
TULALIP 3,23821365,SN,NULL,112,143
EVERETT   5,23821394,SN,NULL,103,118
EVERETT   7,23821395,SN,NULL,69,52
EVERETT   9,23821396,SN,NULL,136,241
EVERETT  10,23821397,SN,NULL,90,104
EVERETT  23,23821398,SN,NULL,20,29
EVERETT  30,23821399,SN,NULL,155,147
EVERETT  46,23821401,SN,NULL,89,105
EVERETT  47,23821402,SN,NULL,133,107
EVERETT  58,23821403,SN,NULL,15,13
EVERETT  59,23821404,SN,NULL,102,93
EVERETT  68,23821408,SN,NULL,154,172
EVERETT  70(*),23821409,SN,NULL,0,0
EVERETT  71,23821410,SN,NULL,72,63
EVERETT  72,23821411,SN,NULL,65,67
EVERETT  74,23821412,SN,NULL,70,80
EVERETT  80,23821413,SN,NULL,133,155
EVERETT  81,23821414,SN,NULL,57,72
TULALIP 4,23821440,SN,NULL,124,149
EVERETT  85,23821449,SN,NULL,76,103
EVERETT  87,23821450,SN,NULL,71,93
EVERETT  88,23821451,SN,NULL,78,167
EVERETT  89,23821452,SN,NULL,101,89
EVERETT  90,23821453,SN,NULL,39,37
TULALIP 5,23821510,SN,NULL,76,103
TULALIP 6,23821558,SN,NULL,53,77
EVERETT  62,23821617,SN,NULL,90,83
EVERETT  63,23821618,SN,NULL,96,95
EVERETT  75,23821619,SN,NULL,54,113
EVERETT  78,23821620,SN,NULL,58,63
EVERETT  86,23821623,SN,NULL,113,101
EVERETT  77,23821645,SN,NULL,69,119
EVERETT  82,23821662,SN,NULL,84,101
EVERETT  93,23821695,SN,NULL,88,65
EVERETT  94,23821696,SN,NULL,67,79
PRIEST POINT,23824098,SN,NULL,52,115
MILLARD,23824169,SN,NULL,77,86
HAT ISLAND,23824267,SN,NULL,12,13
SHELTON,23824269,SN,NULL,176,177
TYEE,23824441,SN,NULL,137,118
BOEING,23824445,SN,NULL,93,124
COHO,23824561,SN,NULL,41,65
SPENCER(*),23824593,SN,NULL,0,0
CHATHAM,23824752,SN,NULL,24,29
SYLVAN,23854756,SN,NULL,14,2
ARLINGTON  1,23911049,SN,NULL,133,116
ARLINGTON  2,23911050,SN,NULL,84,110
ARLINGTON  3,23911051,SN,NULL,117,103
ARLINGTON  4,23911130,SN,NULL,193,208
ARLINGTON  5,23911386,SN,NULL,136,211
MARYSVILLE 18,23911468,SN,NULL,138,192
ARLINGTON  6,23911498,SN,NULL,158,130
ARLINGTON  7,23911499,SN,NULL,157,177
ARLINGTON  8,23911518,SN,NULL,105,166
ARLINGTON  9,23911569,SN,NULL,162,123
ARLINGTON 10,23911570,SN,NULL,193,148
ARLINGTON 11,23911574,SN,NULL,60,80
ARLINGTON 12,23911636,SN,NULL,106,100
ARLINGTON 13,23911643,SN,NULL,144,199
ARLINGTON 14,23911661,SN,NULL,119,92
MARYSVILLE 33(*),23911680,SN,NULL,0,0
ARLINGTON 15,23911686,SN,NULL,47,51
ARLINGTON 16,23911687,SN,NULL,98,88
MARYSVILLE 44,23911737,SN,NULL,162,186
MARYSVILLE 45,23911738,SN,NULL,173,169
MARYSVILLE 52,23911745,SN,NULL,174,154
MARYSVILLE 53,23911746,SN,NULL,95,87
MARYSVILLE 54,23911747,SN,NULL,129,164
ARLINGTON 17,23911751,SN,NULL,3,4
PACKWOOD,23914020,SN,NULL,72,80
EDGECOMB,23914023,SN,NULL,110,132
ALMA,23914151,SN,NULL,18,17
RONCREST,23914360,SN,NULL,66,56
MARYSVILLE  5,24411428,SN,NULL,133,219
MARYSVILLE 16,24411466,SN,NULL,132,194
MARYSVILLE 19,24411494,SN,NULL,126,108
MARYSVILLE 21,24411540,SN,NULL,164,241
MARYSVILLE 22,24411541,SN,NULL,177,175
MARYSVILLE 23,24411542,SN,NULL,193,190
MARYSVILLE 24,24411543,SN,NULL,96,141
MARYSVILLE 14,24411628,SN,NULL,159,187
MARYSVILLE 12,24411676,SN,NULL,130,155
MARYSVILLE 30,24411677,SN,NULL,151,144
MARYSVILLE 31,24411678,SN,NULL,218,178
MARYSVILLE 34,24411701,SN,NULL,97,122
MARYSVILLE 55,24411748,SN,NULL,89,98
EBEY,24424001,SN,NULL,11,17
WHALEBACK,24424019,SN,NULL,8,12
EASTMONT,24424126,SN,NULL,99,101
FIRGROVE,24424528,SN,NULL,91,99
SILVER LAKE,24444074,SN,NULL,117,122
DUMAS,24444285,SN,NULL,129,108
HOLIDAY,24444294,SN,NULL,70,57
HILTONS LAKE,24454086,SN,NULL,134,148
RIVERCREST,24454172,SN,NULL,86,91
TOWER,24454197,SN,NULL,122,131
VILLE,24454198,SN,NULL,42,62
JORDAN,24454295,SN,NULL,199,210
LANTERN,24454341,SN,NULL,142,126
SLIVER(*),24454591,SN,NULL,0,0
GLEN ACRES(*),24454698,SN,NULL,0,0
EDMONDS  1,72131101,SN,NULL,106,173
EDMONDS  2,72131102,SN,NULL,122,168
EDMONDS  3,72131103,SN,NULL,110,199
EDMONDS  4,72131104,SN,NULL,109,152
EDMONDS  5,72131105,SN,NULL,78,100
EDMONDS  7,72131107,SN,NULL,133,199
EDMONDS  8,72131108,SN,NULL,135,220
EDMONDS  9,72131109,SN,NULL,95,102
EDMONDS 10,72131110,SN,NULL,121,196
EDMONDS 13,72131111,SN,NULL,133,180
EDMONDS 17,72131127,SN,NULL,82,138
EDMONDS 22,72131147,SN,NULL,82,173
EDMONDS 23,72131148,SN,NULL,133,199
EDMONDS 28,72131155,SN,NULL,79,189
EDMONDS 29,72131156,SN,NULL,123,166
EDMONDS 30,72131157,SN,NULL,95,134
EDMONDS 31,72131158,SN,NULL,125,162
EDMONDS 32,72131159,SN,NULL,124,126
EDMONDS 33,72131160,SN,NULL,95,146
EDMONDS 34,72131161,SN,NULL,99,180
EDMONDS 35,72131162,SN,NULL,81,143
EDMONDS 36,72131163,SN,NULL,80,155
EDMONDS 37,72131164,SN,NULL,102,162
EDMONDS 21,72131390,SN,NULL,158,196
EDMONDS 24,72131391,SN,NULL,59,136
EDMONDS 26,72131392,SN,NULL,90,100
EDMONDS 38,72131393,SN,NULL,112,184
EDMONDS 39,72131447,SN,NULL,145,192
EDMONDS 46,72131524,SN,NULL,156,294
EDMONDS 51,72131565,SN,NULL,128,137
EDMONDS 11,72131694,SN,NULL,106,192
EDMONDS  6,73231106,SN,NULL,132,207
EDMONDS 14,73231112,SN,NULL,108,91
EDMONDS 15,73231113,SN,NULL,96,117
EDMONDS 16,73231114,SN,NULL,99,100
EDMONDS 18,73231132,SN,NULL,120,133
EDMONDS 19,73231133,SN,NULL,150,143
EDMONDS 25,73231153,SN,NULL,102,141
EDMONDS 27,73231154,SN,NULL,110,124
WOODWAY 1,73231173,SN,NULL,115,144
WOODWAY 2,73231174,SN,NULL,77,87
EDMONDS 12,73231389,SN,NULL,62,100
EDMONDS 40,73231500,SN,NULL,95,162
EDMONDS 41,73231511,SN,NULL,80,116
EDMONDS 42,73231512,SN,NULL,92,107
EDMONDS 43,73231513,SN,NULL,111,197
EDMONDS 44,73231514,SN,NULL,96,151
EDMONDS 45,73231523,SN,NULL,78,135
EDMONDS 47,73231525,SN,NULL,61,74
EDMONDS 48,73231562,SN,NULL,117,135
EDMONDS 49,73231563,SN,NULL,93,141
EDMONDS 50,73231564,SN,NULL,96,94
EDMONDS 52,73231577,SN,NULL,99,126
HOLLY,73234099,SN,NULL,112,159
ROB,73234143,SN,NULL,94,91
SUMMIT,73234149,SN,NULL,121,119
ANN,73234176,SN,NULL,99,113
CHAPEL,73234182,SN,NULL,85,106
