Row Label,PrecinctCode,County,Registered Voters,Shelly Short,James R. Apker
WEST RIVER,187,OK,NULL,33,3
OMAK RIVER,188,OK,NULL,49,4
CHEROKEE,189,OK,NULL,54,9
NICHOLS,190,OK,NULL,26,2
OMAK #10,202,OK,NULL,47,5
OMAK #11,203,OK,NULL,66,6
OMAK #12,204,OK,NULL,47,8
OMAK #13,205,OK,NULL,34,6
OMAK #14,206,OK,NULL,25,4
OMAK #15,207,OK,NULL,52,11
OMAK #16,208,OK,NULL,44,2
OMAK #17,209,OK,NULL,57,17
OMAK #18,210,OK,NULL,17,12
OMAK #19,211,OK,NULL,32,4
OMAK #20,212,OK,NULL,47,11
OMAK #21,213,OK,NULL,28,3
OMAK #22,214,OK,NULL,41,7
OMAK #23,215,OK,NULL,21,3
OMAK #24,216,OK,NULL,27,10
OKANOGAN #5,217,OK,NULL,42,7
OKANOGAN #6,218,OK,NULL,42,13
OKANOGAN #7,219,OK,NULL,20,2
OKANOGAN #8,220,OK,NULL,32,7
OKANOGAN #9,221,OK,NULL,45,3
OKANOGAN #10,222,OK,NULL,54,6
OKANOGAN #11,223,OK,NULL,43,6
OKANOGAN #12,224,OK,NULL,25,3
OKANOGAN #13,225,OK,NULL,24,3
