Row Label,PrecinctCode,County,Registered Voters,Lisa L. Sutton
Skookumchuck,158,TH,NULL,214
Johnson Point,160,TH,NULL,263
Wards,161,TH,NULL,98
Thompson,162,TH,NULL,145
Smith Lake,163,TH,NULL,213
Evergreen Shores,164,TH,NULL,185
Sunwood Lakes,165,TH,NULL,332
Eaton Creek,166,TH,NULL,131
Hawks Ridge,167,TH,NULL,103
Holmes,168,TH,NULL,191
Mcallister Creek,169,TH,NULL,195
Rochester 3,170,TH,NULL,219
Waddell Creek,171,TH,NULL,175
Tykle Cove,172,TH,NULL,201
Camelot,173,TH,NULL,140
French,174,TH,NULL,225
Sunset Beach,175,TH,NULL,249
Henderson,176,TH,NULL,289
Pattison,178,TH,NULL,224
Four Corners,179,TH,NULL,319
Stedman,180,TH,NULL,125
Munn Lake,182,TH,NULL,122
Beach Crest,183,TH,NULL,178
Scheller,184,TH,NULL,100
Fair Oaks,185,TH,NULL,145
Wilderness,186,TH,NULL,299
Mullen,187,TH,NULL,254
Sleater Kinney,189,TH,NULL,194
Lakeside,190,TH,NULL,120
Gallagher Cove,191,TH,NULL,330
East Olympia,192,TH,NULL,206
Berry Valley,193,TH,NULL,181
Hartwood,194,TH,NULL,371
Libby,195,TH,NULL,175
Meadows,196,TH,NULL,167
Summerset,197,TH,NULL,335
Henness,198,TH,NULL,317
Beaver Creek,199,TH,NULL,392
Olympia 01,201,TH,NULL,190
Olympia 02,202,TH,NULL,199
Olympia 03,203,TH,NULL,203
Olympia 04,204,TH,NULL,199
Olympia 05,205,TH,NULL,185
Olympia 06,206,TH,NULL,329
Olympia 07,207,TH,NULL,119
Olympia 08,208,TH,NULL,188
Olympia 09,209,TH,NULL,360
Olympia 10,210,TH,NULL,206
Olympia 11,211,TH,NULL,179
Olympia 12,212,TH,NULL,120
Olympia 13,213,TH,NULL,196
Olympia 14,214,TH,NULL,189
Olympia 15,215,TH,NULL,141
Olympia 16,216,TH,NULL,43
Olympia 17,217,TH,NULL,155
Olympia 18,218,TH,NULL,184
Olympia 19,219,TH,NULL,174
Olympia 20,220,TH,NULL,93
Olympia 21,221,TH,NULL,284
Olympia 23,223,TH,NULL,217
Olympia 24,224,TH,NULL,190
Olympia 25,225,TH,NULL,157
Olympia 26,226,TH,NULL,164
Olympia 27,227,TH,NULL,95
Olympia 28,228,TH,NULL,197
Olympia 29,229,TH,NULL,222
Olympia 30,230,TH,NULL,170
Olympia 31,231,TH,NULL,157
Olympia 32,232,TH,NULL,265
Olympia 35,235,TH,NULL,381
Olympia 36,236,TH,NULL,77
Olympia 37,237,TH,NULL,136
Olympia 38,238,TH,NULL,61
Olympia 39,239,TH,NULL,191
Olympia 40,240,TH,NULL,166
Olympia 41,241,TH,NULL,183
Olympia 42,242,TH,NULL,128
Olympia 43,243,TH,NULL,219
Olympia 44,244,TH,NULL,98
Olympia 45,245,TH,NULL,133
Olympia 46,246,TH,NULL,200
Olympia 47,247,TH,NULL,229
Olympia 48,248,TH,NULL,242
Olympia 49,249,TH,NULL,198
Olympia 50,250,TH,NULL,162
Olympia 51,251,TH,NULL,45
Olympia 52,252,TH,NULL,106
Olympia 53,253,TH,NULL,201
Olympia 54,254,TH,NULL,128
Olympia 55,255,TH,NULL,113
Olympia 56,256,TH,NULL,193
Olympia 57,257,TH,NULL,93
Olympia 58,258,TH,NULL,214
Olympia 59,259,TH,NULL,172
Olympia 60,260,TH,NULL,131
Lacey 01,301,TH,NULL,85
Lacey 02,302,TH,NULL,143
Lacey 03,303,TH,NULL,169
Lacey 04,304,TH,NULL,104
Lacey 05,305,TH,NULL,132
Lacey 06,306,TH,NULL,84
Lacey 07,307,TH,NULL,164
Lacey 08,308,TH,NULL,127
Lacey 09,309,TH,NULL,105
Lacey 10,310,TH,NULL,259
Lacey 11,311,TH,NULL,202
Lacey 13,313,TH,NULL,106
Lacey 14,314,TH,NULL,76
Lacey 15,315,TH,NULL,188
Lacey 16,316,TH,NULL,193
Lacey 17,317,TH,NULL,205
Lacey 18,318,TH,NULL,231
Lacey 19,319,TH,NULL,135
Lacey 20,320,TH,NULL,84
Lacey 21,321,TH,NULL,108
Lacey 22,322,TH,NULL,134
Lacey 23,323,TH,NULL,86
Lacey 24,324,TH,NULL,273
Lacey 27,327,TH,NULL,186
Lacey 28,328,TH,NULL,118
Lacey 29,329,TH,NULL,246
Lacey 30,330,TH,NULL,292
Lacey 31,331,TH,NULL,160
Lacey 32,332,TH,NULL,219
Lacey 33,333,TH,NULL,108
Lacey 34,334,TH,NULL,130
Lacey 35,335,TH,NULL,75
Lacey 36,336,TH,NULL,130
Lacey 37,337,TH,NULL,66
Lacey 39,339,TH,NULL,337
Lacey 40,340,TH,NULL,259
Lacey 41,341,TH,NULL,191
Lacey 42,342,TH,NULL,72
Lacey 43,343,TH,NULL,253
Lacey 44,344,TH,NULL,97
Lacey 45,345,TH,NULL,108
Lacey 46,346,TH,NULL,456
Lacey 47,347,TH,NULL,352
Lacey 48,348,TH,NULL,139
Lacey 49,349,TH,NULL,118
Tumwater 01,401,TH,NULL,156
Tumwater 02,402,TH,NULL,201
Tumwater 03,403,TH,NULL,246
Tumwater 04,404,TH,NULL,147
Tumwater 05,405,TH,NULL,146
Tumwater 06,406,TH,NULL,338
Tumwater 07,407,TH,NULL,167
Tumwater 08,408,TH,NULL,230
Tumwater 09,409,TH,NULL,140
Tumwater 10,410,TH,NULL,284
Tumwater 11,411,TH,NULL,282
Tumwater 12,412,TH,NULL,202
Tumwater 13,413,TH,NULL,88
Tumwater 14,414,TH,NULL,100
Tumwater 15,415,TH,NULL,243
Tumwater 24,424,TH,NULL,145
Tumwater 27,427,TH,NULL,220
Tumwater 28,428,TH,NULL,283
Tumwater 29,429,TH,NULL,0
Tenino 01,501,TH,NULL,134
Tenino 02,502,TH,NULL,139
Rainier 01,601,TH,NULL,151
Rainier 02,602,TH,NULL,126
Yelm 1,701,TH,NULL,198
Yelm 2,702,TH,NULL,212
Yelm 3,703,TH,NULL,250
Yelm 4,704,TH,NULL,230
Bucoda,801,TH,NULL,96
