Row Label,PrecinctCode,County,Registered Voters,Sam Hunt,Franklin Edwards
Olympia 51,251,TH,NULL,51,19
Olympia 52,252,TH,NULL,145,29
Olympia 53,253,TH,NULL,183,79
Olympia 54,254,TH,NULL,182,20
Olympia 55,255,TH,NULL,121,52
Olympia 56,256,TH,NULL,196,75
Olympia 57,257,TH,NULL,131,37
Olympia 58,258,TH,NULL,219,73
Olympia 59,259,TH,NULL,209,60
Olympia 60,260,TH,NULL,145,46
Lacey 01,301,TH,NULL,86,35
Lacey 02,302,TH,NULL,138,75
Lacey 03,303,TH,NULL,179,85
Lacey 04,304,TH,NULL,97,57
Lacey 05,305,TH,NULL,144,46
Lacey 06,306,TH,NULL,59,46
Lacey 07,307,TH,NULL,173,71
Lacey 08,308,TH,NULL,135,43
Lacey 09,309,TH,NULL,98,45
Lacey 10,310,TH,NULL,288,85
Lacey 11,311,TH,NULL,227,51
Lacey 13,313,TH,NULL,113,45
Lacey 14,314,TH,NULL,72,35
Lacey 15,315,TH,NULL,195,84
Lacey 16,316,TH,NULL,211,52
Lacey 17,317,TH,NULL,191,97
Lacey 18,318,TH,NULL,220,107
Lacey 19,319,TH,NULL,126,68
Lacey 20,320,TH,NULL,82,36
Lacey 21,321,TH,NULL,101,49
Lacey 22,322,TH,NULL,143,52
Lacey 23,323,TH,NULL,81,47
Lacey 24,324,TH,NULL,252,142
Lacey 27,327,TH,NULL,179,88
Lacey 28,328,TH,NULL,126,72
Lacey 29,329,TH,NULL,231,88
Lacey 30,330,TH,NULL,278,152
Lacey 31,331,TH,NULL,140,92
Lacey 32,332,TH,NULL,199,118
Lacey 33,333,TH,NULL,123,35
Lacey 34,334,TH,NULL,112,50
Lacey 35,335,TH,NULL,74,40
Lacey 36,336,TH,NULL,113,78
Lacey 37,337,TH,NULL,73,20
Lacey 39,339,TH,NULL,320,130
Lacey 40,340,TH,NULL,223,120
Lacey 41,341,TH,NULL,190,89
Lacey 42,342,TH,NULL,63,32
Lacey 43,343,TH,NULL,206,146
Lacey 44,344,TH,NULL,82,38
Lacey 45,345,TH,NULL,101,49
Lacey 46,346,TH,NULL,450,215
Lacey 47,347,TH,NULL,347,139
Lacey 48,348,TH,NULL,123,77
Lacey 49,349,TH,NULL,125,60
Tumwater 01,401,TH,NULL,152,73
Tumwater 02,402,TH,NULL,229,64
Tumwater 03,403,TH,NULL,249,96
Tumwater 04,404,TH,NULL,130,66
Tumwater 05,405,TH,NULL,162,76
Tumwater 06,406,TH,NULL,375,129
Tumwater 07,407,TH,NULL,186,83
Tumwater 08,408,TH,NULL,262,98
Tumwater 09,409,TH,NULL,146,74
Tumwater 10,410,TH,NULL,266,110
Tumwater 11,411,TH,NULL,316,136
Tumwater 12,412,TH,NULL,247,64
Tumwater 13,413,TH,NULL,103,31
Tumwater 14,414,TH,NULL,121,34
Tumwater 15,415,TH,NULL,272,98
Tumwater 24,424,TH,NULL,148,79
Tumwater 27,427,TH,NULL,216,97
Tumwater 28,428,TH,NULL,292,148
