Row Label,PrecinctCode,County,Registered Voters,Mary Hall
Lacey 44,344,TH,NULL,95
Lacey 45,345,TH,NULL,114
Lacey 46,346,TH,NULL,485
Lacey 47,347,TH,NULL,376
Lacey 48,348,TH,NULL,145
Lacey 49,349,TH,NULL,131
Tumwater 01,401,TH,NULL,162
Tumwater 02,402,TH,NULL,231
Tumwater 03,403,TH,NULL,253
Tumwater 04,404,TH,NULL,154
Tumwater 05,405,TH,NULL,156
Tumwater 06,406,TH,NULL,368
Tumwater 07,407,TH,NULL,176
Tumwater 08,408,TH,NULL,274
Tumwater 09,409,TH,NULL,155
Tumwater 10,410,TH,NULL,295
Tumwater 11,411,TH,NULL,297
Tumwater 12,412,TH,NULL,232
Tumwater 13,413,TH,NULL,95
Tumwater 14,414,TH,NULL,109
Tumwater 15,415,TH,NULL,263
Tumwater 24,424,TH,NULL,158
Tumwater 27,427,TH,NULL,216
Tumwater 28,428,TH,NULL,300
Tumwater 29,429,TH,NULL,0
Tenino 01,501,TH,NULL,145
Tenino 02,502,TH,NULL,154
Rainier 01,601,TH,NULL,159
Rainier 02,602,TH,NULL,124
Yelm 1,701,TH,NULL,200
Yelm 2,702,TH,NULL,212
Yelm 3,703,TH,NULL,236
Yelm 4,704,TH,NULL,238
Bucoda,801,TH,NULL,101
