Row Label,PrecinctCode,County,Registered Voters,Chris Bugbee,Sara B. Derr
PCT 3217,3217,SP,NULL,198,265
PCT 3218,3218,SP,NULL,207,228
PCT 3219,3219,SP,NULL,172,179
PCT 3220,3220,SP,NULL,204,227
PCT 3221,3221,SP,NULL,170,239
PCT 3222,3222,SP,NULL,80,102
PCT 3223,3223,SP,NULL,107,144
PCT 3300,3300,SP,NULL,172,164
PCT 3301,3301,SP,NULL,237,279
PCT 3302,3302,SP,NULL,168,218
PCT 3303,3303,SP,NULL,131,238
PCT 3304,3304,SP,NULL,178,210
PCT 3305,3305,SP,NULL,139,169
PCT 3306,3306,SP,NULL,156,222
PCT 3307,3307,SP,NULL,116,149
PCT 3308,3308,SP,NULL,177,201
PCT 3309,3309,SP,NULL,158,207
PCT 3310,3310,SP,NULL,144,250
PCT 3311,3311,SP,NULL,111,136
PCT 3312,3312,SP,NULL,187,268
PCT 3313,3313,SP,NULL,214,287
PCT 3314,3314,SP,NULL,102,223
PCT 3315,3315,SP,NULL,156,245
PCT 3316,3316,SP,NULL,188,260
PCT 3317,3317,SP,NULL,229,292
PCT 3318,3318,SP,NULL,158,198
PCT 3319,3319,SP,NULL,139,176
PCT 3320,3320,SP,NULL,116,184
PCT 3321,3321,SP,NULL,158,227
PCT 3322,3322,SP,NULL,123,183
PCT 3323,3323,SP,NULL,159,219
PCT 3324,3324,SP,NULL,139,220
PCT 3325,3325,SP,NULL,162,289
PCT 3326,3326,SP,NULL,53,102
PCT 3327,3327,SP,NULL,109,156
PCT 3328,3328,SP,NULL,149,226
PCT 3329,3329,SP,NULL,121,168
PCT 4001,4001,SP,NULL,107,178
PCT 4002,4002,SP,NULL,172,210
PCT 4003,4003,SP,NULL,265,290
PCT 4004,4004,SP,NULL,196,245
PCT 4005,4005,SP,NULL,141,190
PCT 4006,4006,SP,NULL,207,274
PCT 4007,4007,SP,NULL,125,165
PCT 4008,4008,SP,NULL,121,163
PCT 4009,4009,SP,NULL,175,202
PCT 4010,4010,SP,NULL,156,203
PCT 4011,4011,SP,NULL,219,324
PCT 4012,4012,SP,NULL,252,325
PCT 4013,4013,SP,NULL,165,183
PCT 4014,4014,SP,NULL,109,169
PCT 4015,4015,SP,NULL,132,147
PCT 4016,4016,SP,NULL,149,237
PCT 4017,4017,SP,NULL,206,282
PCT 4018,4018,SP,NULL,116,151
PCT 4019,4019,SP,NULL,124,183
PCT 4020,4020,SP,NULL,175,266
PCT 4021,4021,SP,NULL,211,216
PCT 4022,4022,SP,NULL,144,196
PCT 4023,4023,SP,NULL,75,83
PCT 4024,4024,SP,NULL,125,149
PCT 4025,4025,SP,NULL,153,193
PCT 4026,4026,SP,NULL,149,155
PCT 4027,4027,SP,NULL,151,200
PCT 4028,4028,SP,NULL,217,272
PCT 4029,4029,SP,NULL,163,192
PCT 4030,4030,SP,NULL,93,170
PCT 4031,4031,SP,NULL,121,171
PCT 4032,4032,SP,NULL,103,138
PCT 4033,4033,SP,NULL,150,142
PCT 4034,4034,SP,NULL,128,169
PCT 4035,4035,SP,NULL,127,122
PCT 4200,4200,SP,NULL,122,181
PCT 4201,4201,SP,NULL,76,114
PCT 4300,4300,SP,NULL,129,156
PCT 4301,4301,SP,NULL,98,96
PCT 4302,4302,SP,NULL,161,212
PCT 4303,4303,SP,NULL,180,205
PCT 4304,4304,SP,NULL,109,154
PCT 4305,4305,SP,NULL,104,132
PCT 4306,4306,SP,NULL,179,192
PCT 4307,4307,SP,NULL,37,39
PCT 4400,4400,SP,NULL,159,221
PCT 4401,4401,SP,NULL,161,281
PCT 4402,4402,SP,NULL,144,240
PCT 4403,4403,SP,NULL,164,280
PCT 4404,4404,SP,NULL,182,272
PCT 4405,4405,SP,NULL,188,276
PCT 4406,4406,SP,NULL,144,239
PCT 4407,4407,SP,NULL,169,240
PCT 4408,4408,SP,NULL,215,285
PCT 4409,4409,SP,NULL,255,302
PCT 4410,4410,SP,NULL,187,254
PCT 4411,4411,SP,NULL,173,252
PCT 4412,4412,SP,NULL,144,172
PCT 4413,4413,SP,NULL,168,228
PCT 4414,4414,SP,NULL,199,291
PCT 4415,4415,SP,NULL,127,197
PCT 4416,4416,SP,NULL,137,257
PCT 4417,4417,SP,NULL,96,166
PCT 4418,4418,SP,NULL,152,243
PCT 4419,4419,SP,NULL,170,248
PCT 4420,4420,SP,NULL,83,106
PCT 4421,4421,SP,NULL,131,173
PCT 4422,4422,SP,NULL,174,251
PCT 4423,4423,SP,NULL,197,333
PCT 4424,4424,SP,NULL,138,233
PCT 4425,4425,SP,NULL,109,192
PCT 4426,4426,SP,NULL,112,110
PCT 4427,4427,SP,NULL,194,312
PCT 4428,4428,SP,NULL,118,165
PCT 4429,4429,SP,NULL,176,283
PCT 4430,4430,SP,NULL,175,278
PCT 4431,4431,SP,NULL,142,199
PCT 4432,4432,SP,NULL,169,245
PCT 4433,4433,SP,NULL,123,154
PCT 4434,4434,SP,NULL,244,316
PCT 4435,4435,SP,NULL,197,230
PCT 4436,4436,SP,NULL,224,326
PCT 4437,4437,SP,NULL,188,279
PCT 4438,4438,SP,NULL,227,324
PCT 4439,4439,SP,NULL,175,251
PCT 4440,4440,SP,NULL,166,245
PCT 4441,4441,SP,NULL,146,162
PCT 4442,4442,SP,NULL,119,173
PCT 4443,4443,SP,NULL,107,117
PCT 4444,4444,SP,NULL,190,238
PCT 4445,4445,SP,NULL,133,214
PCT 4446,4446,SP,NULL,94,152
PCT 4447,4447,SP,NULL,65,122
PCT 4448,4448,SP,NULL,129,199
PCT 4449,4449,SP,NULL,94,140
PCT 4450,4450,SP,NULL,89,117
PCT 4451,4451,SP,NULL,132,187
PCT 4452,4452,SP,NULL,137,173
PCT 4453,4453,SP,NULL,184,206
PCT 4454,4454,SP,NULL,119,166
PCT 4455,4455,SP,NULL,111,205
PCT 6000,6000,SP,NULL,122,143
PCT 6001,6001,SP,NULL,167,191
PCT 6002,6002,SP,NULL,49,53
PCT 6003,6003,SP,NULL,197,205
PCT 6004,6004,SP,NULL,99,158
PCT 6005,6005,SP,NULL,166,176
PCT 6006,6006,SP,NULL,142,222
PCT 6007,6007,SP,NULL,141,197
PCT 6008,6008,SP,NULL,131,194
PCT 6009,6009,SP,NULL,140,186
PCT 6010,6010,SP,NULL,20,37
PCT 6011,6011,SP,NULL,148,179
PCT 6012,6012,SP,NULL,119,118
PCT 6013,6013,SP,NULL,123,163
PCT 6014,6014,SP,NULL,82,115
PCT 6015,6015,SP,NULL,95,121
PCT 6016,6016,SP,NULL,117,129
PCT 6017,6017,SP,NULL,245,311
PCT 6018,6018,SP,NULL,241,270
PCT 6019,6019,SP,NULL,227,280
PCT 6020,6020,SP,NULL,243,324
PCT 6021,6021,SP,NULL,153,198
PCT 6022,6022,SP,NULL,188,192
PCT 6023,6023,SP,NULL,113,101
PCT 6024,6024,SP,NULL,110,111
PCT 6025,6025,SP,NULL,118,177
PCT 6026,6026,SP,NULL,215,341
PCT 6027,6027,SP,NULL,143,214
PCT 6028,6028,SP,NULL,134,167
PCT 6029,6029,SP,NULL,149,208
PCT 6030,6030,SP,NULL,250,275
PCT 6031,6031,SP,NULL,112,177
PCT 6032,6032,SP,NULL,108,99
PCT 6033,6033,SP,NULL,244,278
PCT 6034,6034,SP,NULL,187,221
PCT 6035,6035,SP,NULL,106,120
PCT 6036,6036,SP,NULL,107,132
PCT 6037,6037,SP,NULL,115,98
PCT 6100,6100,SP,NULL,80,141
PCT 6101,6101,SP,NULL,126,203
PCT 6102,6102,SP,NULL,151,197
PCT 6103,6103,SP,NULL,51,88
PCT 6104,6104,SP,NULL,99,151
PCT 6105,6105,SP,NULL,105,189
PCT 6106,6106,SP,NULL,171,263
PCT 6107,6107,SP,NULL,100,140
PCT 6108,6108,SP,NULL,104,180
PCT 6109,6109,SP,NULL,83,118
PCT 6200,6200,SP,NULL,202,281
PCT 6201,6201,SP,NULL,127,180
PCT 6202,6202,SP,NULL,136,266
PCT 6203,6203,SP,NULL,195,257
PCT 6204,6204,SP,NULL,277,268
PCT 6205,6205,SP,NULL,213,232
PCT 6206,6206,SP,NULL,197,262
PCT 6207,6207,SP,NULL,193,267
PCT 6208,6208,SP,NULL,212,254
PCT 6209,6209,SP,NULL,147,232
PCT 6210,6210,SP,NULL,204,281
PCT 6211,6211,SP,NULL,128,174
PCT 6212,6212,SP,NULL,117,134
PCT 6213,6213,SP,NULL,193,267
PCT 6214,6214,SP,NULL,189,172
PCT 6215,6215,SP,NULL,200,254
PCT 6216,6216,SP,NULL,156,225
PCT 6217,6217,SP,NULL,194,247
PCT 6218,6218,SP,NULL,152,209
PCT 6219,6219,SP,NULL,181,205
PCT 6220,6220,SP,NULL,200,238
PCT 6221,6221,SP,NULL,270,234
PCT 6222,6222,SP,NULL,179,148
PCT 6223,6223,SP,NULL,219,237
PCT 6224,6224,SP,NULL,155,228
PCT 6225,6225,SP,NULL,197,264
PCT 6300,6300,SP,NULL,268,350
PCT 6301,6301,SP,NULL,260,308
PCT 6302,6302,SP,NULL,121,138
PCT 6303,6303,SP,NULL,245,304
PCT 6304,6304,SP,NULL,222,289
PCT 6305,6305,SP,NULL,117,121
PCT 6306,6306,SP,NULL,166,186
PCT 6307,6307,SP,NULL,86,100
PCT 6308,6308,SP,NULL,86,139
PCT 6309,6309,SP,NULL,165,220
PCT 6310,6310,SP,NULL,148,201
PCT 6311,6311,SP,NULL,135,191
PCT 6312,6312,SP,NULL,121,211
PCT 6313,6313,SP,NULL,159,255
PCT 6314,6314,SP,NULL,170,210
PCT 6315,6315,SP,NULL,86,146
PCT 6316,6316,SP,NULL,80,97
PCT 6317,6317,SP,NULL,101,191
PCT 6318,6318,SP,NULL,162,157
PCT 6400,6400,SP,NULL,142,165
PCT 6401,6401,SP,NULL,70,95
PCT 6402,6402,SP,NULL,157,190
PCT 6500,6500,SP,NULL,28,57
PCT 6600,6600,SP,NULL,136,223
PCT 6601,6601,SP,NULL,137,184
PCT 6602,6602,SP,NULL,177,190
PCT 6700,6700,SP,NULL,136,200
PCT 6701,6701,SP,NULL,150,191
PCT 6702,6702,SP,NULL,93,145
PCT 6703,6703,SP,NULL,139,175
PCT 6704,6704,SP,NULL,149,188
PCT 7000,7000,SP,NULL,245,288
PCT 7001,7001,SP,NULL,142,164
PCT 7002,7002,SP,NULL,149,158
PCT 7003,7003,SP,NULL,185,240
PCT 7004,7004,SP,NULL,188,204
PCT 7005,7005,SP,NULL,268,311
PCT 7006,7006,SP,NULL,157,243
PCT 7007,7007,SP,NULL,148,218
PCT 7008,7008,SP,NULL,189,260
PCT 7009,7009,SP,NULL,232,309
PCT 7010,7010,SP,NULL,155,167
PCT 7011,7011,SP,NULL,98,132
PCT 7012,7012,SP,NULL,151,221
PCT 7013,7013,SP,NULL,163,186
PCT 7014,7014,SP,NULL,148,189
PCT 7015,7015,SP,NULL,152,198
PCT 7016,7016,SP,NULL,217,286
PCT 7017,7017,SP,NULL,183,185
PCT 7018,7018,SP,NULL,186,272
PCT 7019,7019,SP,NULL,139,240
PCT 7020,7020,SP,NULL,194,199
PCT 7021,7021,SP,NULL,101,148
PCT 7022,7022,SP,NULL,130,177
PCT 7023,7023,SP,NULL,120,205
PCT 7024,7024,SP,NULL,222,266
PCT 7025,7025,SP,NULL,139,224
PCT 7026,7026,SP,NULL,170,238
PCT 7027,7027,SP,NULL,122,212
PCT 7028,7028,SP,NULL,195,306
PCT 7029,7029,SP,NULL,164,195
PCT 7030,7030,SP,NULL,179,225
PCT 7031,7031,SP,NULL,168,195
PCT 7032,7032,SP,NULL,170,238
PCT 7033,7033,SP,NULL,107,161
PCT 7034,7034,SP,NULL,88,160
PCT 7035,7035,SP,NULL,96,145
PCT 7036,7036,SP,NULL,131,166
PCT 7300,7300,SP,NULL,156,175
PCT 7301,7301,SP,NULL,132,174
PCT 7302,7302,SP,NULL,106,176
PCT 9000,9000,SP,NULL,190,208
PCT 9001,9001,SP,NULL,133,161
PCT 9002,9002,SP,NULL,131,125
PCT 9003,9003,SP,NULL,95,93
PCT 9004,9004,SP,NULL,180,176
PCT 9005,9005,SP,NULL,60,64
PCT 9006,9006,SP,NULL,166,217
PCT 9007,9007,SP,NULL,50,63
PCT 9008,9008,SP,NULL,27,33
PCT 9300,9300,SP,NULL,29,38
PCT 9400,9400,SP,NULL,15,12
PCT 9500,9500,SP,NULL,55,75
PCT 9600,9600,SP,NULL,30,29
PCT 9700,9700,SP,NULL,50,73
