Row Label,PrecinctCode,County,Registered Voters,Richard Reierson,Gregory J. Tripp
PCT 4427,4427,SP,NULL,134,364
PCT 4428,4428,SP,NULL,68,216
PCT 4429,4429,SP,NULL,106,339
PCT 4430,4430,SP,NULL,106,332
PCT 4431,4431,SP,NULL,81,244
PCT 4432,4432,SP,NULL,97,306
PCT 4433,4433,SP,NULL,69,201
PCT 4434,4434,SP,NULL,142,411
PCT 4435,4435,SP,NULL,87,334
PCT 4436,4436,SP,NULL,143,374
PCT 4437,4437,SP,NULL,150,307
PCT 4438,4438,SP,NULL,138,399
PCT 4439,4439,SP,NULL,125,288
PCT 4440,4440,SP,NULL,101,298
PCT 4441,4441,SP,NULL,76,230
PCT 4442,4442,SP,NULL,76,217
PCT 4443,4443,SP,NULL,57,159
PCT 4444,4444,SP,NULL,109,302
PCT 4445,4445,SP,NULL,70,264
PCT 4446,4446,SP,NULL,75,158
PCT 4447,4447,SP,NULL,47,137
PCT 4448,4448,SP,NULL,90,228
PCT 4449,4449,SP,NULL,43,197
PCT 4450,4450,SP,NULL,50,153
PCT 4451,4451,SP,NULL,76,224
PCT 4452,4452,SP,NULL,86,204
PCT 4453,4453,SP,NULL,89,288
PCT 4454,4454,SP,NULL,75,199
PCT 4455,4455,SP,NULL,87,212
PCT 6000,6000,SP,NULL,81,180
PCT 6001,6001,SP,NULL,81,264
PCT 6002,6002,SP,NULL,16,86
PCT 6003,6003,SP,NULL,84,310
PCT 6004,6004,SP,NULL,60,195
PCT 6005,6005,SP,NULL,106,227
PCT 6006,6006,SP,NULL,82,273
PCT 6007,6007,SP,NULL,98,240
PCT 6008,6008,SP,NULL,85,239
PCT 6009,6009,SP,NULL,90,222
PCT 6010,6010,SP,NULL,14,40
PCT 6011,6011,SP,NULL,102,220
PCT 6012,6012,SP,NULL,74,166
PCT 6013,6013,SP,NULL,86,197
PCT 6014,6014,SP,NULL,59,139
PCT 6015,6015,SP,NULL,54,162
PCT 6016,6016,SP,NULL,78,171
PCT 6017,6017,SP,NULL,140,417
PCT 6018,6018,SP,NULL,102,416
PCT 6019,6019,SP,NULL,124,385
PCT 6020,6020,SP,NULL,122,430
PCT 6021,6021,SP,NULL,89,251
PCT 6022,6022,SP,NULL,75,311
PCT 6023,6023,SP,NULL,52,168
PCT 6024,6024,SP,NULL,57,173
PCT 6025,6025,SP,NULL,82,208
PCT 6026,6026,SP,NULL,165,388
PCT 6027,6027,SP,NULL,80,270
PCT 6028,6028,SP,NULL,79,213
PCT 6029,6029,SP,NULL,115,230
PCT 6030,6030,SP,NULL,121,390
PCT 6031,6031,SP,NULL,68,215
PCT 6032,6032,SP,NULL,36,184
PCT 6033,6033,SP,NULL,117,408
PCT 6034,6034,SP,NULL,104,300
PCT 6035,6035,SP,NULL,50,175
PCT 6036,6036,SP,NULL,72,163
PCT 6037,6037,SP,NULL,59,147
PCT 6100,6100,SP,NULL,65,152
PCT 6101,6101,SP,NULL,77,251
PCT 6102,6102,SP,NULL,98,243
PCT 6103,6103,SP,NULL,47,94
PCT 6104,6104,SP,NULL,79,168
PCT 6105,6105,SP,NULL,79,212
PCT 6106,6106,SP,NULL,127,286
PCT 6107,6107,SP,NULL,61,172
PCT 6108,6108,SP,NULL,82,189
PCT 6109,6109,SP,NULL,58,152
PCT 6200,6200,SP,NULL,103,387
PCT 6201,6201,SP,NULL,73,229
PCT 6202,6202,SP,NULL,109,277
PCT 6203,6203,SP,NULL,89,369
PCT 6204,6204,SP,NULL,81,460
PCT 6205,6205,SP,NULL,84,366
PCT 6206,6206,SP,NULL,95,370
PCT 6207,6207,SP,NULL,70,413
PCT 6208,6208,SP,NULL,93,368
PCT 6209,6209,SP,NULL,85,285
PCT 6210,6210,SP,NULL,93,401
PCT 6211,6211,SP,NULL,68,237
PCT 6212,6212,SP,NULL,76,179
PCT 6213,6213,SP,NULL,121,330
PCT 6214,6214,SP,NULL,74,280
PCT 6215,6215,SP,NULL,80,368
PCT 6216,6216,SP,NULL,82,292
PCT 6217,6217,SP,NULL,110,335
PCT 6218,6218,SP,NULL,85,275
PCT 6219,6219,SP,NULL,97,312
PCT 6220,6220,SP,NULL,97,341
PCT 6221,6221,SP,NULL,119,355
PCT 6222,6222,SP,NULL,53,273
PCT 6223,6223,SP,NULL,72,397
PCT 6224,6224,SP,NULL,96,278
PCT 6225,6225,SP,NULL,124,322
PCT 6300,6300,SP,NULL,125,501
PCT 6301,6301,SP,NULL,129,424
PCT 6302,6302,SP,NULL,70,195
PCT 6303,6303,SP,NULL,140,411
PCT 6304,6304,SP,NULL,95,417
PCT 6305,6305,SP,NULL,51,188
PCT 6306,6306,SP,NULL,80,257
PCT 6307,6307,SP,NULL,51,133
PCT 6308,6308,SP,NULL,56,162
PCT 6309,6309,SP,NULL,92,291
PCT 6310,6310,SP,NULL,68,274
PCT 6311,6311,SP,NULL,81,252
PCT 6312,6312,SP,NULL,85,242
PCT 6313,6313,SP,NULL,104,314
PCT 6314,6314,SP,NULL,98,288
PCT 6315,6315,SP,NULL,62,167
PCT 6316,6316,SP,NULL,31,142
PCT 6317,6317,SP,NULL,81,203
PCT 6318,6318,SP,NULL,77,251
PCT 6400,6400,SP,NULL,88,217
PCT 6401,6401,SP,NULL,49,113
PCT 6402,6402,SP,NULL,80,267
PCT 6500,6500,SP,NULL,26,58
PCT 6600,6600,SP,NULL,106,253
PCT 6601,6601,SP,NULL,84,231
PCT 6602,6602,SP,NULL,107,262
PCT 6700,6700,SP,NULL,88,252
PCT 6701,6701,SP,NULL,84,249
PCT 6702,6702,SP,NULL,54,182
PCT 6703,6703,SP,NULL,71,238
PCT 6704,6704,SP,NULL,101,229
PCT 7000,7000,SP,NULL,140,369
PCT 7001,7001,SP,NULL,84,224
PCT 7002,7002,SP,NULL,78,223
PCT 7003,7003,SP,NULL,110,319
PCT 7004,7004,SP,NULL,91,279
PCT 7005,7005,SP,NULL,187,377
PCT 7006,7006,SP,NULL,102,298
PCT 7007,7007,SP,NULL,108,257
PCT 7008,7008,SP,NULL,117,321
PCT 7009,7009,SP,NULL,157,378
PCT 7010,7010,SP,NULL,90,223
PCT 7011,7011,SP,NULL,59,161
PCT 7012,7012,SP,NULL,110,258
PCT 7013,7013,SP,NULL,78,268
PCT 7014,7014,SP,NULL,69,261
PCT 7015,7015,SP,NULL,64,263
PCT 7016,7016,SP,NULL,121,373
PCT 7017,7017,SP,NULL,89,277
PCT 7018,7018,SP,NULL,101,352
PCT 7019,7019,SP,NULL,87,279
PCT 7020,7020,SP,NULL,81,308
PCT 7021,7021,SP,NULL,62,184
PCT 7022,7022,SP,NULL,51,252
PCT 7023,7023,SP,NULL,83,227
PCT 7024,7024,SP,NULL,145,331
PCT 7025,7025,SP,NULL,87,266
PCT 7026,7026,SP,NULL,82,323
PCT 7027,7027,SP,NULL,68,255
PCT 7028,7028,SP,NULL,126,363
PCT 7029,7029,SP,NULL,124,232
PCT 7030,7030,SP,NULL,83,307
PCT 7031,7031,SP,NULL,83,272
PCT 7032,7032,SP,NULL,103,292
PCT 7033,7033,SP,NULL,60,194
PCT 7034,7034,SP,NULL,71,178
PCT 7035,7035,SP,NULL,67,172
PCT 7036,7036,SP,NULL,87,200
PCT 7300,7300,SP,NULL,79,233
PCT 7301,7301,SP,NULL,86,202
PCT 7302,7302,SP,NULL,82,186
PCT 9000,9000,SP,NULL,123,272
PCT 9001,9001,SP,NULL,75,207
PCT 9002,9002,SP,NULL,52,200
PCT 9003,9003,SP,NULL,61,128
PCT 9004,9004,SP,NULL,82,275
PCT 9005,9005,SP,NULL,27,96
PCT 9006,9006,SP,NULL,99,275
PCT 9007,9007,SP,NULL,26,81
PCT 9008,9008,SP,NULL,12,49
PCT 9300,9300,SP,NULL,18,46
PCT 9400,9400,SP,NULL,12,15
PCT 9500,9500,SP,NULL,43,86
PCT 9600,9600,SP,NULL,13,41
PCT 9700,9700,SP,NULL,43,81
