Row Label,PrecinctCode,County,Registered Voters,Donna Wilson
PCT 4447,4447,SP,NULL,153
PCT 4448,4448,SP,NULL,265
PCT 4449,4449,SP,NULL,186
PCT 4450,4450,SP,NULL,176
PCT 4451,4451,SP,NULL,267
PCT 4452,4452,SP,NULL,254
PCT 4453,4453,SP,NULL,298
PCT 4454,4454,SP,NULL,245
PCT 4455,4455,SP,NULL,254
PCT 6000,6000,SP,NULL,208
PCT 6001,6001,SP,NULL,255
PCT 6002,6002,SP,NULL,73
PCT 6003,6003,SP,NULL,321
PCT 6004,6004,SP,NULL,201
PCT 6005,6005,SP,NULL,279
PCT 6006,6006,SP,NULL,281
PCT 6007,6007,SP,NULL,273
PCT 6008,6008,SP,NULL,259
PCT 6009,6009,SP,NULL,268
PCT 6010,6010,SP,NULL,39
PCT 6011,6011,SP,NULL,267
PCT 6012,6012,SP,NULL,198
PCT 6013,6013,SP,NULL,219
PCT 6014,6014,SP,NULL,153
PCT 6015,6015,SP,NULL,167
PCT 6016,6016,SP,NULL,196
PCT 6017,6017,SP,NULL,430
PCT 6018,6018,SP,NULL,373
PCT 6019,6019,SP,NULL,414
PCT 6020,6020,SP,NULL,462
PCT 6021,6021,SP,NULL,298
PCT 6022,6022,SP,NULL,303
PCT 6023,6023,SP,NULL,162
PCT 6024,6024,SP,NULL,150
PCT 6025,6025,SP,NULL,236
PCT 6026,6026,SP,NULL,458
PCT 6027,6027,SP,NULL,289
PCT 6028,6028,SP,NULL,247
PCT 6029,6029,SP,NULL,282
PCT 6030,6030,SP,NULL,404
PCT 6031,6031,SP,NULL,214
PCT 6032,6032,SP,NULL,162
PCT 6033,6033,SP,NULL,406
PCT 6034,6034,SP,NULL,314
PCT 6035,6035,SP,NULL,199
PCT 6036,6036,SP,NULL,198
PCT 6037,6037,SP,NULL,174
PCT 6100,6100,SP,NULL,201
PCT 6101,6101,SP,NULL,294
PCT 6102,6102,SP,NULL,289
PCT 6103,6103,SP,NULL,121
PCT 6104,6104,SP,NULL,210
PCT 6105,6105,SP,NULL,242
PCT 6106,6106,SP,NULL,382
PCT 6107,6107,SP,NULL,188
PCT 6108,6108,SP,NULL,236
PCT 6109,6109,SP,NULL,183
PCT 6200,6200,SP,NULL,402
PCT 6201,6201,SP,NULL,259
PCT 6202,6202,SP,NULL,315
PCT 6203,6203,SP,NULL,327
PCT 6204,6204,SP,NULL,386
PCT 6205,6205,SP,NULL,314
PCT 6206,6206,SP,NULL,344
PCT 6207,6207,SP,NULL,357
PCT 6208,6208,SP,NULL,385
PCT 6209,6209,SP,NULL,293
PCT 6210,6210,SP,NULL,366
PCT 6211,6211,SP,NULL,240
PCT 6212,6212,SP,NULL,211
PCT 6213,6213,SP,NULL,358
PCT 6214,6214,SP,NULL,260
PCT 6215,6215,SP,NULL,367
PCT 6216,6216,SP,NULL,291
PCT 6217,6217,SP,NULL,353
PCT 6218,6218,SP,NULL,298
PCT 6219,6219,SP,NULL,315
PCT 6220,6220,SP,NULL,349
PCT 6221,6221,SP,NULL,368
PCT 6222,6222,SP,NULL,260
PCT 6223,6223,SP,NULL,352
PCT 6224,6224,SP,NULL,319
PCT 6225,6225,SP,NULL,391
PCT 6300,6300,SP,NULL,475
PCT 6301,6301,SP,NULL,440
PCT 6302,6302,SP,NULL,236
PCT 6303,6303,SP,NULL,448
PCT 6304,6304,SP,NULL,380
PCT 6305,6305,SP,NULL,191
PCT 6306,6306,SP,NULL,270
PCT 6307,6307,SP,NULL,145
PCT 6308,6308,SP,NULL,188
PCT 6309,6309,SP,NULL,330
PCT 6310,6310,SP,NULL,275
PCT 6311,6311,SP,NULL,260
PCT 6312,6312,SP,NULL,291
PCT 6313,6313,SP,NULL,368
PCT 6314,6314,SP,NULL,304
PCT 6315,6315,SP,NULL,205
PCT 6316,6316,SP,NULL,138
PCT 6317,6317,SP,NULL,213
PCT 6318,6318,SP,NULL,281
PCT 6400,6400,SP,NULL,256
PCT 6401,6401,SP,NULL,151
PCT 6402,6402,SP,NULL,312
PCT 6500,6500,SP,NULL,70
PCT 6600,6600,SP,NULL,289
PCT 6601,6601,SP,NULL,268
PCT 6602,6602,SP,NULL,304
PCT 6700,6700,SP,NULL,293
PCT 6701,6701,SP,NULL,289
PCT 6702,6702,SP,NULL,210
PCT 6703,6703,SP,NULL,262
PCT 6704,6704,SP,NULL,296
PCT 7000,7000,SP,NULL,415
PCT 7001,7001,SP,NULL,236
PCT 7002,7002,SP,NULL,245
PCT 7003,7003,SP,NULL,373
PCT 7004,7004,SP,NULL,329
PCT 7005,7005,SP,NULL,459
PCT 7006,7006,SP,NULL,347
PCT 7007,7007,SP,NULL,311
PCT 7008,7008,SP,NULL,336
PCT 7009,7009,SP,NULL,428
PCT 7010,7010,SP,NULL,233
PCT 7011,7011,SP,NULL,192
PCT 7012,7012,SP,NULL,268
PCT 7013,7013,SP,NULL,277
PCT 7014,7014,SP,NULL,256
PCT 7015,7015,SP,NULL,270
PCT 7016,7016,SP,NULL,420
PCT 7017,7017,SP,NULL,297
PCT 7018,7018,SP,NULL,370
PCT 7019,7019,SP,NULL,297
PCT 7020,7020,SP,NULL,317
PCT 7021,7021,SP,NULL,209
PCT 7022,7022,SP,NULL,235
PCT 7023,7023,SP,NULL,273
PCT 7024,7024,SP,NULL,393
PCT 7025,7025,SP,NULL,291
PCT 7026,7026,SP,NULL,292
PCT 7027,7027,SP,NULL,282
PCT 7028,7028,SP,NULL,415
PCT 7029,7029,SP,NULL,309
PCT 7030,7030,SP,NULL,315
PCT 7031,7031,SP,NULL,300
PCT 7032,7032,SP,NULL,308
PCT 7033,7033,SP,NULL,199
PCT 7034,7034,SP,NULL,211
PCT 7035,7035,SP,NULL,210
PCT 7036,7036,SP,NULL,244
PCT 7300,7300,SP,NULL,263
PCT 7301,7301,SP,NULL,233
PCT 7302,7302,SP,NULL,228
PCT 9000,9000,SP,NULL,328
PCT 9001,9001,SP,NULL,226
PCT 9002,9002,SP,NULL,200
PCT 9003,9003,SP,NULL,150
PCT 9004,9004,SP,NULL,279
PCT 9005,9005,SP,NULL,103
PCT 9006,9006,SP,NULL,298
PCT 9007,9007,SP,NULL,82
PCT 9008,9008,SP,NULL,39
PCT 9300,9300,SP,NULL,54
PCT 9400,9400,SP,NULL,23
PCT 9500,9500,SP,NULL,103
PCT 9600,9600,SP,NULL,38
PCT 9700,9700,SP,NULL,104
