Row Label,PrecinctCode,County,Registered Voters,Tony Golik,Josie Townsend
453,453,CR,NULL,328,211
455,455,CR,NULL,228,190
456,456,CR,NULL,466,324
460,460,CR,NULL,461,326
470,470,CR,NULL,465,281
480,480,CR,NULL,445,351
483,483,CR,NULL,453,365
485,485,CR,NULL,198,247
487,487,CR,NULL,121,164
490,490,CR,NULL,238,219
491,491,CR,NULL,25,23
500,500,CR,NULL,323,325
502,502,CR,NULL,280,243
503,503,CR,NULL,194,255
505,505,CR,NULL,359,341
510,510,CR,NULL,192,225
511,511,CR,NULL,19,12
515,515,CR,NULL,332,344
520,520,CR,NULL,153,194
521,521,CR,NULL,7,7
522,522,CR,NULL,101,118
523,523,CR,NULL,2,19
524,524,CR,NULL,34,37
525,525,CR,NULL,182,215
527,527,CR,NULL,244,271
528,528,CR,NULL,218,359
530,530,CR,NULL,111,157
535,535,CR,NULL,278,482
536,536,CR,NULL,148,208
537,537,CR,NULL,90,142
538,538,CR,NULL,95,208
540,540,CR,NULL,286,397
543,543,CR,NULL,276,341
545,545,CR,NULL,181,245
550,550,CR,NULL,347,370
553,553,CR,NULL,307,230
555,555,CR,NULL,369,326
560,560,CR,NULL,325,264
563,563,CR,NULL,297,318
565,565,CR,NULL,235,225
566,566,CR,NULL,191,195
570,570,CR,NULL,299,288
571,571,CR,NULL,270,272
572,572,CR,NULL,360,358
573,573,CR,NULL,341,388
574,574,CR,NULL,19,8
575,575,CR,NULL,59,117
576,576,CR,NULL,2,4
577,577,CR,NULL,326,436
578,578,CR,NULL,33,24
579,579,CR,NULL,17,5
580,580,CR,NULL,202,204
581,581,CR,NULL,126,154
582,582,CR,NULL,168,279
583,583,CR,NULL,214,249
584,584,CR,NULL,228,278
585,585,CR,NULL,334,349
586,586,CR,NULL,224,252
587,587,CR,NULL,206,271
588,588,CR,NULL,161,161
590,590,CR,NULL,353,423
591,591,CR,NULL,398,415
592,592,CR,NULL,349,402
593,593,CR,NULL,280,362
594,594,CR,NULL,6,13
595(*),595,CR,NULL,0,0
596(*),596,CR,NULL,0,0
597,597,CR,NULL,33,38
598,598,CR,NULL,12,8
600,600,CR,NULL,102,204
603,603,CR,NULL,129,252
605,605,CR,NULL,186,395
606,606,CR,NULL,45,73
610,610,CR,NULL,384,419
613,613,CR,NULL,120,165
615,615,CR,NULL,125,147
617,617,CR,NULL,238,342
618,618,CR,NULL,289,353
620,620,CR,NULL,304,369
624,624,CR,NULL,54,77
625,625,CR,NULL,269,340
626,626,CR,NULL,256,264
627,627,CR,NULL,265,274
628,628,CR,NULL,297,278
629,629,CR,NULL,251,252
630,630,CR,NULL,221,218
631,631,CR,NULL,391,234
632,632,CR,NULL,154,148
633,633,CR,NULL,279,212
634,634,CR,NULL,244,248
635,635,CR,NULL,211,214
636,636,CR,NULL,247,229
638,638,CR,NULL,256,224
639,639,CR,NULL,281,198
640,640,CR,NULL,256,290
641,641,CR,NULL,133,99
642,642,CR,NULL,134,122
643,643,CR,NULL,252,252
644,644,CR,NULL,374,241
645,645,CR,NULL,392,296
646,646,CR,NULL,141,128
647,647,CR,NULL,228,172
648,648,CR,NULL,265,213
649,649,CR,NULL,227,252
650,650,CR,NULL,339,199
651,651,CR,NULL,225,181
652,652,CR,NULL,297,203
653,653,CR,NULL,255,207
654,654,CR,NULL,198,187
655,655,CR,NULL,274,226
656,656,CR,NULL,165,135
658,658,CR,NULL,301,214
659,659,CR,NULL,303,265
660,660,CR,NULL,360,213
662,662,CR,NULL,315,276
663,663,CR,NULL,232,157
664,664,CR,NULL,317,248
667,667,CR,NULL,271,173
668,668,CR,NULL,368,254
669,669,CR,NULL,267,286
670,670,CR,NULL,372,241
672,672,CR,NULL,261,208
673,673,CR,NULL,363,273
674,674,CR,NULL,318,186
675,675,CR,NULL,246,161
677,677,CR,NULL,355,247
678,678,CR,NULL,260,179
679,679,CR,NULL,227,149
680,680,CR,NULL,281,209
681,681,CR,NULL,260,195
682,682,CR,NULL,280,220
683,683,CR,NULL,290,240
685,685,CR,NULL,83,72
686,686,CR,NULL,235,176
687,687,CR,NULL,248,250
688,688,CR,NULL,261,218
689,689,CR,NULL,307,273
690,690,CR,NULL,365,246
691,691,CR,NULL,268,277
692,692,CR,NULL,289,302
693,693,CR,NULL,177,151
694,694,CR,NULL,125,81
695,695,CR,NULL,338,275
696,696,CR,NULL,386,286
697,697,CR,NULL,384,327
698,698,CR,NULL,261,285
699,699,CR,NULL,269,249
700,700,CR,NULL,51,53
710,710,CR,NULL,147,104
720,720,CR,NULL,234,209
900,900,CR,NULL,281,258
903,903,CR,NULL,298,263
905,905,CR,NULL,319,285
910,910,CR,NULL,261,255
912,912,CR,NULL,267,201
913,913,CR,NULL,339,309
914,914,CR,NULL,279,303
917,917,CR,NULL,213,176
920,920,CR,NULL,253,230
925,925,CR,NULL,240,261
930,930,CR,NULL,284,310
935,935,CR,NULL,286,311
940,940,CR,NULL,265,276
947,947,CR,NULL,243,228
950,950,CR,NULL,303,234
951,951,CR,NULL,323,191
953,953,CR,NULL,157,96
957,957,CR,NULL,54,71
958,958,CR,NULL,50,48
959,959,CR,NULL,10,23
960,960,CR,NULL,360,307
961,961,CR,NULL,51,56
962,962,CR,NULL,223,231
963,963,CR,NULL,280,159
964,964,CR,NULL,313,289
965,965,CR,NULL,291,275
966,966,CR,NULL,176,213
967,967,CR,NULL,186,177
968,968,CR,NULL,294,187
969,969,CR,NULL,190,148
985,985,CR,NULL,265,208
