Row Label,PrecinctCode,County,Registered Voters,Julie Anderson
26-323,26323,PI,NULL,482
26-324,26324,PI,NULL,451
26-325,26325,PI,NULL,402
26-326,26326,PI,NULL,495
26-327,26327,PI,NULL,465
26-328,26328,PI,NULL,363
26-329,26329,PI,NULL,452
26-330,26330,PI,NULL,300
26-331,26331,PI,NULL,126
26-332,26332,PI,NULL,382
26-333,26333,PI,NULL,442
26-334,26334,PI,NULL,400
26-335,26335,PI,NULL,356
26-336,26336,PI,NULL,504
26-337,26337,PI,NULL,449
26-338,26338,PI,NULL,357
26-339,26339,PI,NULL,81
26-340,26340,PI,NULL,480
26-341,26341,PI,NULL,405
26-342,26342,PI,NULL,489
26-343,26343,PI,NULL,408
26-344,26344,PI,NULL,56
26-345,26345,PI,NULL,415
26-346,26346,PI,NULL,369
26-347,26347,PI,NULL,361
26-348,26348,PI,NULL,428
26-349,26349,PI,NULL,428
26-350,26350,PI,NULL,436
26-351,26351,PI,NULL,407
26-352,26352,PI,NULL,403
27-401,27401,PI,NULL,215
27-404,27404,PI,NULL,153
27-405,27405,PI,NULL,482
27-406,27406,PI,NULL,583
27-407,27407,PI,NULL,423
27-408,27408,PI,NULL,449
27-409,27409,PI,NULL,432
27-410,27410,PI,NULL,470
27-411,27411,PI,NULL,540
27-412,27412,PI,NULL,407
27-413,27413,PI,NULL,443
27-414,27414,PI,NULL,480
27-415,27415,PI,NULL,492
27-416,27416,PI,NULL,458
27-417,27417,PI,NULL,481
27-418,27418,PI,NULL,423
27-419,27419,PI,NULL,427
27-420,27420,PI,NULL,523
27-421,27421,PI,NULL,380
27-422,27422,PI,NULL,564
27-423,27423,PI,NULL,499
27-424,27424,PI,NULL,427
27-425,27425,PI,NULL,400
27-426,27426,PI,NULL,408
27-427,27427,PI,NULL,402
27-428,27428,PI,NULL,389
27-429,27429,PI,NULL,407
27-430,27430,PI,NULL,411
27-431,27431,PI,NULL,164
27-432,27432,PI,NULL,392
27-433,27433,PI,NULL,391
27-434,27434,PI,NULL,377
27-435,27435,PI,NULL,401
27-436,27436,PI,NULL,374
27-437,27437,PI,NULL,354
27-438,27438,PI,NULL,346
27-439,27439,PI,NULL,360
27-440,27440,PI,NULL,398
27-441,27441,PI,NULL,321
27-442,27442,PI,NULL,264
27-443,27443,PI,NULL,283
27-444,27444,PI,NULL,340
27-445,27445,PI,NULL,324
27-446,27446,PI,NULL,334
27-447,27447,PI,NULL,371
27-448,27448,PI,NULL,14
27-449,27449,PI,NULL,383
27-450,27450,PI,NULL,400
27-451,27451,PI,NULL,301
27-452,27452,PI,NULL,344
27-453,27453,PI,NULL,249
27-454,27454,PI,NULL,374
27-455,27455,PI,NULL,309
27-456,27456,PI,NULL,276
27-457,27457,PI,NULL,322
27-458,27458,PI,NULL,231
27-459,27459,PI,NULL,226
27-460,27460,PI,NULL,394
27-461,27461,PI,NULL,452
27-462,27462,PI,NULL,412
27-463,27463,PI,NULL,321
27-464,27464,PI,NULL,348
27-465,27465,PI,NULL,311
27-466,27466,PI,NULL,362
27-467,27467,PI,NULL,342
27-468,27468,PI,NULL,317
27-471,27471,PI,NULL,15
27-475,27475,PI,NULL,340
27-476,27476,PI,NULL,266
27-477,27477,PI,NULL,373
28-501,28501,PI,NULL,502
28-502,28502,PI,NULL,495
28-503,28503,PI,NULL,509
28-504,28504,PI,NULL,460
28-505,28505,PI,NULL,510
28-506,28506,PI,NULL,488
28-507,28507,PI,NULL,392
28-508,28508,PI,NULL,214
28-509,28509,PI,NULL,0
28-515,28515,PI,NULL,486
28-516,28516,PI,NULL,456
28-517,28517,PI,NULL,479
28-518,28518,PI,NULL,464
28-519,28519,PI,NULL,460
28-520,28520,PI,NULL,469
28-521,28521,PI,NULL,499
28-522,28522,PI,NULL,489
28-523,28523,PI,NULL,494
28-524,28524,PI,NULL,532
28-525,28525,PI,NULL,556
28-526,28526,PI,NULL,341
28-527,28527,PI,NULL,570
28-528,28528,PI,NULL,481
28-529,28529,PI,NULL,379
28-530,28530,PI,NULL,209
28-531,28531,PI,NULL,416
28-535,28535,PI,NULL,505
28-536,28536,PI,NULL,460
28-537,28537,PI,NULL,500
28-538,28538,PI,NULL,407
28-540,28540,PI,NULL,561
28-541,28541,PI,NULL,411
28-542,28542,PI,NULL,415
28-543,28543,PI,NULL,373
28-545,28545,PI,NULL,443
28-546,28546,PI,NULL,417
28-547,28547,PI,NULL,538
28-548,28548,PI,NULL,367
28-549,28549,PI,NULL,398
28-550,28550,PI,NULL,318
28-551,28551,PI,NULL,530
28-552,28552,PI,NULL,469
28-553,28553,PI,NULL,469
28-554,28554,PI,NULL,437
28-555,28555,PI,NULL,508
28-556,28556,PI,NULL,361
28-557,28557,PI,NULL,354
28-558,28558,PI,NULL,356
28-559,28559,PI,NULL,392
28-560,28560,PI,NULL,512
28-561,28561,PI,NULL,284
28-562,28562,PI,NULL,240
28-563,28563,PI,NULL,136
28-565,28565,PI,NULL,338
28-566,28566,PI,NULL,369
28-567,28567,PI,NULL,388
28-568,28568,PI,NULL,401
28-570,28570,PI,NULL,4
28-571,28571,PI,NULL,6
28-572,28572,PI,NULL,372
28-573,28573,PI,NULL,245
28-574,28574,PI,NULL,83
28-575,28575,PI,NULL,2
28-576,28576,PI,NULL,394
28-577,28577,PI,NULL,15
28-578,28578,PI,NULL,75
28-579,28579,PI,NULL,60
28-580,28580,PI,NULL,57
28-581,28581,PI,NULL,226
28-582,28582,PI,NULL,151
28-583,28583,PI,NULL,229
28-584,28584,PI,NULL,262
28-585,28585,PI,NULL,413
28-586,28586,PI,NULL,353
28-587,28587,PI,NULL,254
28-588,28588,PI,NULL,382
28-589,28589,PI,NULL,386
28-590,28590,PI,NULL,14
29-600,29600,PI,NULL,0
29-601,29601,PI,NULL,280
29-602,29602,PI,NULL,245
29-603,29603,PI,NULL,322
29-604,29604,PI,NULL,321
29-605,29605,PI,NULL,264
29-606,29606,PI,NULL,348
29-607,29607,PI,NULL,400
29-608,29608,PI,NULL,281
29-609,29609,PI,NULL,230
29-610,29610,PI,NULL,327
29-611,29611,PI,NULL,69
29-612,29612,PI,NULL,173
29-613,29613,PI,NULL,358
29-614,29614,PI,NULL,362
29-615,29615,PI,NULL,383
29-616,29616,PI,NULL,316
29-617,29617,PI,NULL,322
29-618,29618,PI,NULL,281
29-619,29619,PI,NULL,304
29-620,29620,PI,NULL,185
29-621,29621,PI,NULL,1
29-622,29622,PI,NULL,248
29-623,29623,PI,NULL,75
29-624,29624,PI,NULL,0
29-625,29625,PI,NULL,4
29-626,29626,PI,NULL,8
29-627,29627,PI,NULL,0
29-633,29633,PI,NULL,32
29-635,29635,PI,NULL,88
29-636,29636,PI,NULL,402
29-637,29637,PI,NULL,291
29-638,29638,PI,NULL,175
29-639,29639,PI,NULL,312
29-640,29640,PI,NULL,326
29-641,29641,PI,NULL,332
29-642,29642,PI,NULL,345
29-643,29643,PI,NULL,31
29-648,29648,PI,NULL,7
29-649,29649,PI,NULL,103
29-650,29650,PI,NULL,328
29-651,29651,PI,NULL,380
29-652,29652,PI,NULL,35
29-653,29653,PI,NULL,323
29-654,29654,PI,NULL,370
29-655,29655,PI,NULL,148
29-656,29656,PI,NULL,305
29-657,29657,PI,NULL,6
29-658,29658,PI,NULL,314
29-659,29659,PI,NULL,194
29-660,29660,PI,NULL,393
29-661,29661,PI,NULL,285
29-662,29662,PI,NULL,0
29-663,29663,PI,NULL,324
29-664,29664,PI,NULL,331
29-667,29667,PI,NULL,363
29-668,29668,PI,NULL,266
29-669,29669,PI,NULL,348
29-670,29670,PI,NULL,372
29-671,29671,PI,NULL,312
29-672,29672,PI,NULL,197
29-673,29673,PI,NULL,374
29-674,29674,PI,NULL,121
29-675,29675,PI,NULL,351
29-676,29676,PI,NULL,328
29-677,29677,PI,NULL,338
29-678,29678,PI,NULL,262
29-679,29679,PI,NULL,274
29-680,29680,PI,NULL,280
29-682,29682,PI,NULL,324
29-683,29683,PI,NULL,330
30-701,30701,PI,NULL,13
30-705,30705,PI,NULL,190
30-706,30706,PI,NULL,288
30-707,30707,PI,NULL,168
30-708,30708,PI,NULL,256
30-709,30709,PI,NULL,286
30-713,30713,PI,NULL,4
31-801,31801,PI,NULL,203
31-802,31802,PI,NULL,293
31-803,31803,PI,NULL,322
31-804,31804,PI,NULL,296
31-805,31805,PI,NULL,316
31-806,31806,PI,NULL,367
31-807,31807,PI,NULL,3
31-808,31808,PI,NULL,294
31-809,31809,PI,NULL,303
31-810,31810,PI,NULL,187
31-813,31813,PI,NULL,165
31-814,31814,PI,NULL,40
31-815,31815,PI,NULL,237
31-816,31816,PI,NULL,272
31-817,31817,PI,NULL,348
31-818,31818,PI,NULL,84
31-819,31819,PI,NULL,143
31-822,31822,PI,NULL,253
31-823,31823,PI,NULL,212
31-824,31824,PI,NULL,1
31-825,31825,PI,NULL,273
31-826,31826,PI,NULL,336
31-827,31827,PI,NULL,83
31-828,31828,PI,NULL,305
31-829,31829,PI,NULL,283
31-830,31830,PI,NULL,131
31-833,31833,PI,NULL,310
31-834,31834,PI,NULL,247
31-835,31835,PI,NULL,458
31-836,31836,PI,NULL,303
31-837,31837,PI,NULL,247
31-838,31838,PI,NULL,218
31-839,31839,PI,NULL,23
31-840,31840,PI,NULL,137
31-841,31841,PI,NULL,159
31-842,31842,PI,NULL,252
31-843,31843,PI,NULL,210
31-844,31844,PI,NULL,193
31-845,31845,PI,NULL,259
31-846,31846,PI,NULL,119
31-847,31847,PI,NULL,145
31-848,31848,PI,NULL,48
31-849,31849,PI,NULL,111
31-853,31853,PI,NULL,59
31-854,31854,PI,NULL,157
31-855,31855,PI,NULL,201
31-856,31856,PI,NULL,246
31-857,31857,PI,NULL,162
31-861,31861,PI,NULL,87
31-865,31865,PI,NULL,88
31-869,31869,PI,NULL,145
31-873,31873,PI,NULL,66
31-874,31874,PI,NULL,0
31-875,31875,PI,NULL,365
31-876,31876,PI,NULL,22
31-877,31877,PI,NULL,151
31-879,31879,PI,NULL,77
31-880,31880,PI,NULL,116
31-881,31881,PI,NULL,190
31-882,31882,PI,NULL,293
31-883,31883,PI,NULL,382
31-884,31884,PI,NULL,336
31-885,31885,PI,NULL,118
31-886,31886,PI,NULL,286
31-887,31887,PI,NULL,253
31-888,31888,PI,NULL,247
31-890,31890,PI,NULL,182
31-891,31891,PI,NULL,106
31-892,31892,PI,NULL,214
31-893,31893,PI,NULL,0
31-894,31894,PI,NULL,44
31-895,31895,PI,NULL,235
31-896,31896,PI,NULL,5
31-897,31897,PI,NULL,150
31-898,31898,PI,NULL,322
31-899,31899,PI,NULL,184
31-900,31900,PI,NULL,215
31-901,31901,PI,NULL,38
31-902,31902,PI,NULL,436
31-903,31903,PI,NULL,3
31-904,31904,PI,NULL,59
31-905,31905,PI,NULL,282
31-906,31906,PI,NULL,175
31-907,31907,PI,NULL,265
31-908,31908,PI,NULL,224
31-909,31909,PI,NULL,255
31-910,31910,PI,NULL,267
31-911,31911,PI,NULL,164
31-912,31912,PI,NULL,213
31-913,31913,PI,NULL,118
31-914,31914,PI,NULL,217
31-915,31915,PI,NULL,52
31-916,31916,PI,NULL,261
31-917,31917,PI,NULL,390
31-919,31919,PI,NULL,276
31-920,31920,PI,NULL,226
31-921,31921,PI,NULL,242
31-923,31923,PI,NULL,192
31-924,31924,PI,NULL,188
31-925,31925,PI,NULL,88
31-926,31926,PI,NULL,10
31-927,31927,PI,NULL,258
