Row Label,PrecinctCode,County,Registered Voters,Doug Lasher,Lauren Colas
452,452,CR,NULL,327,211
453,453,CR,NULL,317,221
455,455,CR,NULL,229,194
456,456,CR,NULL,446,347
460,460,CR,NULL,463,330
470,470,CR,NULL,481,278
480,480,CR,NULL,446,360
483,483,CR,NULL,432,399
485,485,CR,NULL,196,251
487,487,CR,NULL,121,162
490,490,CR,NULL,236,232
491,491,CR,NULL,26,22
500,500,CR,NULL,325,321
502,502,CR,NULL,261,256
503,503,CR,NULL,170,270
505,505,CR,NULL,359,357
510,510,CR,NULL,188,227
511,511,CR,NULL,15,16
515,515,CR,NULL,308,374
520,520,CR,NULL,145,196
521,521,CR,NULL,6,7
522,522,CR,NULL,103,118
523,523,CR,NULL,2,19
524,524,CR,NULL,31,41
525,525,CR,NULL,164,238
527,527,CR,NULL,227,287
528,528,CR,NULL,218,367
530,530,CR,NULL,128,144
535,535,CR,NULL,277,477
536,536,CR,NULL,150,208
537,537,CR,NULL,95,139
538,538,CR,NULL,92,210
540,540,CR,NULL,279,408
543,543,CR,NULL,252,360
545,545,CR,NULL,180,251
550,550,CR,NULL,365,358
553,553,CR,NULL,302,237
555,555,CR,NULL,368,329
560,560,CR,NULL,314,281
563,563,CR,NULL,281,335
565,565,CR,NULL,219,250
566,566,CR,NULL,177,215
570,570,CR,NULL,297,288
571,571,CR,NULL,234,297
572,572,CR,NULL,332,399
573,573,CR,NULL,302,422
574,574,CR,NULL,19,8
575,575,CR,NULL,68,108
576,576,CR,NULL,3,3
577,577,CR,NULL,285,479
578,578,CR,NULL,32,26
579,579,CR,NULL,14,7
580,580,CR,NULL,188,221
581,581,CR,NULL,107,174
582,582,CR,NULL,164,285
583,583,CR,NULL,171,297
584,584,CR,NULL,205,300
585,585,CR,NULL,269,414
586,586,CR,NULL,207,269
587,587,CR,NULL,191,284
588,588,CR,NULL,143,179
590,590,CR,NULL,342,432
591,591,CR,NULL,358,465
592,592,CR,NULL,341,417
593,593,CR,NULL,273,374
594,594,CR,NULL,8,12
595(*),595,CR,NULL,0,0
596(*),596,CR,NULL,0,0
597,597,CR,NULL,26,49
598,598,CR,NULL,9,10
600,600,CR,NULL,98,211
603,603,CR,NULL,122,265
605,605,CR,NULL,200,379
606,606,CR,NULL,44,74
610,610,CR,NULL,362,445
613,613,CR,NULL,117,168
615,615,CR,NULL,121,155
617,617,CR,NULL,225,347
618,618,CR,NULL,280,367
620,620,CR,NULL,284,387
624,624,CR,NULL,48,83
625,625,CR,NULL,272,348
626,626,CR,NULL,259,263
627,627,CR,NULL,253,292
628,628,CR,NULL,268,309
629,629,CR,NULL,234,262
630,630,CR,NULL,234,211
631,631,CR,NULL,363,260
632,632,CR,NULL,142,158
633,633,CR,NULL,263,226
634,634,CR,NULL,235,259
635,635,CR,NULL,203,220
636,636,CR,NULL,219,256
638,638,CR,NULL,265,219
639,639,CR,NULL,268,216
640,640,CR,NULL,282,266
641,641,CR,NULL,114,114
642,642,CR,NULL,124,134
643,643,CR,NULL,265,242
644,644,CR,NULL,354,262
645,645,CR,NULL,343,347
646,646,CR,NULL,138,130
647,647,CR,NULL,207,203
648,648,CR,NULL,272,202
649,649,CR,NULL,219,257
650,650,CR,NULL,329,213
651,651,CR,NULL,204,199
652,652,CR,NULL,291,210
653,653,CR,NULL,246,215
654,654,CR,NULL,202,185
655,655,CR,NULL,275,225
656,656,CR,NULL,147,148
658,658,CR,NULL,262,252
659,659,CR,NULL,296,275
660,660,CR,NULL,345,227
662,662,CR,NULL,297,293
663,663,CR,NULL,232,155
664,664,CR,NULL,276,290
667,667,CR,NULL,259,189
668,668,CR,NULL,352,267
669,669,CR,NULL,260,296
670,670,CR,NULL,358,255
672,672,CR,NULL,256,214
673,673,CR,NULL,361,275
674,674,CR,NULL,296,208
675,675,CR,NULL,234,177
677,677,CR,NULL,339,264
678,678,CR,NULL,245,187
679,679,CR,NULL,220,156
680,680,CR,NULL,267,220
681,681,CR,NULL,238,216
682,682,CR,NULL,280,221
683,683,CR,NULL,306,227
685,685,CR,NULL,80,75
686,686,CR,NULL,228,187
687,687,CR,NULL,249,248
688,688,CR,NULL,253,227
689,689,CR,NULL,281,293
690,690,CR,NULL,332,275
691,691,CR,NULL,268,277
692,692,CR,NULL,286,305
693,693,CR,NULL,146,179
694,694,CR,NULL,116,93
695,695,CR,NULL,318,289
696,696,CR,NULL,365,307
697,697,CR,NULL,366,344
698,698,CR,NULL,236,306
699,699,CR,NULL,251,270
700,700,CR,NULL,48,55
710,710,CR,NULL,134,114
720,720,CR,NULL,198,240
900,900,CR,NULL,260,279
903,903,CR,NULL,312,249
905,905,CR,NULL,255,349
910,910,CR,NULL,259,258
912,912,CR,NULL,273,202
913,913,CR,NULL,308,351
914,914,CR,NULL,245,332
917,917,CR,NULL,210,178
920,920,CR,NULL,230,259
925,925,CR,NULL,249,261
930,930,CR,NULL,271,331
935,935,CR,NULL,281,323
940,940,CR,NULL,275,264
947,947,CR,NULL,241,236
950,950,CR,NULL,270,267
951,951,CR,NULL,315,196
953,953,CR,NULL,136,115
957,957,CR,NULL,44,82
958,958,CR,NULL,45,55
959,959,CR,NULL,14,18
960,960,CR,NULL,319,344
961,961,CR,NULL,48,57
962,962,CR,NULL,173,277
963,963,CR,NULL,251,185
964,964,CR,NULL,281,328
965,965,CR,NULL,258,309
966,966,CR,NULL,144,250
967,967,CR,NULL,158,204
968,968,CR,NULL,279,207
969,969,CR,NULL,172,165
985,985,CR,NULL,250,221
