Row Label,PrecinctCode,County,Registered Voters,Karen Valenzuela,Bud Blake
Lacey 13,313,TH,NULL,69,73
Lacey 14,314,TH,NULL,51,57
Lacey 15,315,TH,NULL,128,143
Lacey 16,316,TH,NULL,161,101
Lacey 17,317,TH,NULL,110,167
Lacey 18,318,TH,NULL,136,194
Lacey 19,319,TH,NULL,77,112
Lacey 20,320,TH,NULL,43,73
Lacey 21,321,TH,NULL,59,92
Lacey 22,322,TH,NULL,101,95
Lacey 23,323,TH,NULL,52,84
Lacey 24,324,TH,NULL,160,229
Lacey 27,327,TH,NULL,123,135
Lacey 28,328,TH,NULL,79,111
Lacey 29,329,TH,NULL,140,179
Lacey 30,330,TH,NULL,156,255
Lacey 31,331,TH,NULL,93,136
Lacey 32,332,TH,NULL,135,182
Lacey 33,333,TH,NULL,72,91
Lacey 34,334,TH,NULL,74,86
Lacey 35,335,TH,NULL,40,70
Lacey 36,336,TH,NULL,67,121
Lacey 37,337,TH,NULL,45,45
Lacey 39,339,TH,NULL,226,226
Lacey 40,340,TH,NULL,144,198
Lacey 41,341,TH,NULL,117,159
Lacey 42,342,TH,NULL,51,43
Lacey 43,343,TH,NULL,146,193
Lacey 44,344,TH,NULL,44,76
Lacey 45,345,TH,NULL,71,74
Lacey 46,346,TH,NULL,256,406
Lacey 47,347,TH,NULL,241,247
Lacey 48,348,TH,NULL,82,114
Lacey 49,349,TH,NULL,79,97
Tumwater 01,401,TH,NULL,111,117
Tumwater 02,402,TH,NULL,172,117
Tumwater 03,403,TH,NULL,166,170
Tumwater 04,404,TH,NULL,103,87
Tumwater 05,405,TH,NULL,117,120
Tumwater 06,406,TH,NULL,237,264
Tumwater 07,407,TH,NULL,115,146
Tumwater 08,408,TH,NULL,182,178
Tumwater 09,409,TH,NULL,95,122
Tumwater 10,410,TH,NULL,181,192
Tumwater 11,411,TH,NULL,195,269
Tumwater 12,412,TH,NULL,177,132
Tumwater 13,413,TH,NULL,76,54
Tumwater 14,414,TH,NULL,73,71
Tumwater 15,415,TH,NULL,176,196
Tumwater 24,424,TH,NULL,95,136
Tumwater 27,427,TH,NULL,156,151
Tumwater 28,428,TH,NULL,174,272
Tumwater 29,429,TH,NULL,0,0
Tenino 01,501,TH,NULL,59,133
Tenino 02,502,TH,NULL,80,133
Rainier 01,601,TH,NULL,83,162
Rainier 02,602,TH,NULL,71,115
Yelm 1,701,TH,NULL,103,177
Yelm 2,702,TH,NULL,85,188
Yelm 3,703,TH,NULL,98,222
Yelm 4,704,TH,NULL,130,196
Bucoda,801,TH,NULL,44,95
