Row Label,PrecinctCode,County,Registered Voters,Claire R. Sussman
31-901,31901,PI,NULL,38
31-902,31902,PI,NULL,389
31-903,31903,PI,NULL,3
31-904,31904,PI,NULL,51
31-905,31905,PI,NULL,261
31-906,31906,PI,NULL,162
31-907,31907,PI,NULL,242
31-908,31908,PI,NULL,202
31-909,31909,PI,NULL,235
31-910,31910,PI,NULL,230
31-911,31911,PI,NULL,159
31-912,31912,PI,NULL,201
31-913,31913,PI,NULL,104
31-914,31914,PI,NULL,202
31-915,31915,PI,NULL,49
31-916,31916,PI,NULL,239
31-917,31917,PI,NULL,351
31-919,31919,PI,NULL,259
31-920,31920,PI,NULL,205
31-921,31921,PI,NULL,214
31-923,31923,PI,NULL,168
31-924,31924,PI,NULL,164
31-925,31925,PI,NULL,73
31-926,31926,PI,NULL,7
31-927,31927,PI,NULL,224
