Row Label,PrecinctCode,County,Registered Voters,Jaime Herrera Beutler,Bob Dingethal
510,510,CR,NULL,306,134
511,511,CR,NULL,23,13
515,515,CR,NULL,487,227
520,520,CR,NULL,223,132
521,521,CR,NULL,8,6
522,522,CR,NULL,153,79
523,523,CR,NULL,18,2
524,524,CR,NULL,51,26
525,525,CR,NULL,283,137
527,527,CR,NULL,378,152
528,528,CR,NULL,442,170
530,530,CR,NULL,193,85
535,535,CR,NULL,577,211
536,536,CR,NULL,258,114
537,537,CR,NULL,176,70
538,538,CR,NULL,247,71
540,540,CR,NULL,502,204
543,543,CR,NULL,456,174
545,545,CR,NULL,297,139
550,550,CR,NULL,488,266
553,553,CR,NULL,330,236
555,555,CR,NULL,422,290
560,560,CR,NULL,400,221
563,563,CR,NULL,406,233
565,565,CR,NULL,297,196
566,566,CR,NULL,252,148
570,570,CR,NULL,417,192
571,571,CR,NULL,363,199
572,572,CR,NULL,504,247
573,573,CR,NULL,490,251
574,574,CR,NULL,16,13
575,575,CR,NULL,136,47
576,576,CR,NULL,5,3
577,577,CR,NULL,594,200
578,578,CR,NULL,35,24
579,579,CR,NULL,11,13
580,580,CR,NULL,273,148
581,581,CR,NULL,196,95
582,582,CR,NULL,325,136
583,583,CR,NULL,346,135
584,584,CR,NULL,376,151
585,585,CR,NULL,501,210
586,586,CR,NULL,333,159
587,587,CR,NULL,335,156
588,588,CR,NULL,236,114
590,590,CR,NULL,540,264
591,591,CR,NULL,569,273
592,592,CR,NULL,508,269
593,593,CR,NULL,460,212
594,594,CR,NULL,15,6
595(*),595,CR,NULL,0,0
596(*),596,CR,NULL,0,0
597,597,CR,NULL,59,16
598,598,CR,NULL,12,8
600,600,CR,NULL,249,66
603,603,CR,NULL,311,91
605,605,CR,NULL,484,123
606,606,CR,NULL,88,32
610,610,CR,NULL,580,264
613,613,CR,NULL,214,81
615,615,CR,NULL,200,92
617,617,CR,NULL,421,175
618,618,CR,NULL,469,222
620,620,CR,NULL,487,210
624,624,CR,NULL,94,42
625,625,CR,NULL,464,174
626,626,CR,NULL,336,204
627,627,CR,NULL,356,202
628,628,CR,NULL,365,224
629,629,CR,NULL,342,181
630,630,CR,NULL,283,170
631,631,CR,NULL,327,337
632,632,CR,NULL,193,122
633,633,CR,NULL,283,224
634,634,CR,NULL,313,198
635,635,CR,NULL,268,168
636,636,CR,NULL,310,177
638,638,CR,NULL,302,195
639,639,CR,NULL,281,227
640,640,CR,NULL,339,221
641,641,CR,NULL,131,107
642,642,CR,NULL,173,95
643,643,CR,NULL,311,209
644,644,CR,NULL,348,298
645,645,CR,NULL,411,321
646,646,CR,NULL,168,108
647,647,CR,NULL,254,177
648,648,CR,NULL,278,216
649,649,CR,NULL,323,179
650,650,CR,NULL,275,288
651,651,CR,NULL,242,175
652,652,CR,NULL,269,253
653,653,CR,NULL,257,211
654,654,CR,NULL,236,165
655,655,CR,NULL,283,227
656,656,CR,NULL,198,114
658,658,CR,NULL,335,198
659,659,CR,NULL,359,224
660,660,CR,NULL,303,292
662,662,CR,NULL,358,251
663,663,CR,NULL,210,196
664,664,CR,NULL,347,245
667,667,CR,NULL,271,194
668,668,CR,NULL,345,299
669,669,CR,NULL,385,197
670,670,CR,NULL,323,315
672,672,CR,NULL,285,205
673,673,CR,NULL,355,309
674,674,CR,NULL,275,246
675,675,CR,NULL,251,173
677,677,CR,NULL,381,246
678,678,CR,NULL,257,200
679,679,CR,NULL,227,163
680,680,CR,NULL,278,227
681,681,CR,NULL,268,196
682,682,CR,NULL,294,224
683,683,CR,NULL,304,240
685,685,CR,NULL,89,71
686,686,CR,NULL,255,183
687,687,CR,NULL,323,197
688,688,CR,NULL,299,207
689,689,CR,NULL,372,228
690,690,CR,NULL,355,299
691,691,CR,NULL,351,207
692,692,CR,NULL,393,222
693,693,CR,NULL,202,131
694,694,CR,NULL,109,106
695,695,CR,NULL,376,255
696,696,CR,NULL,398,311
697,697,CR,NULL,435,302
698,698,CR,NULL,400,176
699,699,CR,NULL,357,189
700,700,CR,NULL,68,37
710,710,CR,NULL,143,115
720,720,CR,NULL,296,163
900,900,CR,NULL,347,216
903,903,CR,NULL,342,238
905,905,CR,NULL,398,222
910,910,CR,NULL,335,207
912,912,CR,NULL,281,215
913,913,CR,NULL,445,246
914,914,CR,NULL,391,211
917,917,CR,NULL,247,154
920,920,CR,NULL,326,188
925,925,CR,NULL,364,159
930,930,CR,NULL,413,217
935,935,CR,NULL,419,206
940,940,CR,NULL,362,202
947,947,CR,NULL,307,190
950,950,CR,NULL,316,227
951,951,CR,NULL,246,286
953,953,CR,NULL,134,123
957,957,CR,NULL,100,34
958,958,CR,NULL,59,43
959,959,CR,NULL,25,9
960,960,CR,NULL,438,273
961,961,CR,NULL,66,42
962,962,CR,NULL,335,143
963,963,CR,NULL,267,200
964,964,CR,NULL,392,241
965,965,CR,NULL,385,226
966,966,CR,NULL,304,105
967,967,CR,NULL,248,129
968,968,CR,NULL,292,221
969,969,CR,NULL,198,157
985,985,CR,NULL,262,224
