Row Label,PrecinctCode,County,Registered Voters,Leah McCormack
OROVILLE #7,145,OK,NULL,29
OROVILLE #8,146,OK,NULL,35
OROVILLE #9,147,OK,NULL,26
OROVILLE #10,148,OK,NULL,35
JENNINGS LOOP,149,OK,NULL,25
BLUE LAKE,150,OK,NULL,47
AENEAS CREEK,151,OK,NULL,43
AENEAS LAKE,152,OK,NULL,62
ANTOINE CREEK,153,OK,NULL,27
ANTOINE PEAK,154,OK,NULL,19
CAPE LABELLE,155,OK,NULL,22
CAYUSE MTN,156,OK,NULL,25
CHEWILIKEN,157,OK,NULL,21
DUFFYS MTN,158,OK,NULL,26
FRONTAGE,159,OK,NULL,16
GUSTY RIDGE,160,OK,NULL,34
LONGANECKER,161,OK,NULL,29
NORTH TONASKET,162,OK,NULL,59
PICKENS MTN,163,OK,NULL,35
RANCHES,164,OK,NULL,18
SIWASH CREEK,165,OK,NULL,42
SPECTACLE LAKE,166,OK,NULL,39
HIGHWAY,167,OK,NULL,18
WHISKY MTN,168,OK,NULL,13
YARNELL,169,OK,NULL,26
TONASKET #4,170,OK,NULL,33
TONASKET #5,171,OK,NULL,30
TONASKET #6,172,OK,NULL,20
TONASKET #7,173,OK,NULL,42
LEECHER MTN,174,OK,NULL,52
ALTA LAKE,175,OK,NULL,39
STARR,176,OK,NULL,27
PATEROS #3,177,OK,NULL,23
RAT LAKE,178,OK,NULL,26
BREWSTER FLAT,179,OK,NULL,37
BREWSTER #3,180,OK,NULL,32
BREWSTER #4,181,OK,NULL,14
BREWSTER #5,182,OK,NULL,24
BREWSTER #6,183,OK,NULL,19
PIONEER,184,OK,NULL,45
COLEMAN BUTTE,185,OK,NULL,43
ASTON,186,OK,NULL,31
WEST RIVER,187,OK,NULL,23
OMAK RIVER,188,OK,NULL,42
CHEROKEE,189,OK,NULL,56
NICHOLS,190,OK,NULL,26
LONE PINE,191,OK,NULL,23
OMAK MTN,192,OK,NULL,20
OMAK LAKE,193,OK,NULL,25
FIKER,194,OK,NULL,39
ROSS CANYON,195,OK,NULL,47
HENDRICK,196,OK,NULL,63
DIXON,197,OK,NULL,42
KERMEL,198,OK,NULL,49
GLOVER,199,OK,NULL,53
FLETCHER,200,OK,NULL,41
MOCK,201,OK,NULL,44
OMAK #10,202,OK,NULL,50
OMAK #11,203,OK,NULL,67
OMAK #12,204,OK,NULL,47
OMAK #13,205,OK,NULL,32
OMAK #14,206,OK,NULL,30
OMAK #15,207,OK,NULL,53
OMAK #16,208,OK,NULL,36
OMAK #17,209,OK,NULL,52
OMAK #18,210,OK,NULL,25
OMAK #19,211,OK,NULL,30
OMAK #20,212,OK,NULL,41
OMAK #21,213,OK,NULL,30
OMAK #22,214,OK,NULL,44
OMAK #23,215,OK,NULL,21
OMAK #24,216,OK,NULL,31
OKANOGAN #5,217,OK,NULL,44
OKANOGAN #6,218,OK,NULL,42
OKANOGAN #7,219,OK,NULL,17
OKANOGAN #8,220,OK,NULL,36
OKANOGAN #9,221,OK,NULL,38
OKANOGAN #10,222,OK,NULL,49
OKANOGAN #11,223,OK,NULL,42
OKANOGAN #12,224,OK,NULL,28
OKANOGAN #13,225,OK,NULL,24
AVIATION,226,OK,NULL,26
SUNSET LAKES,236,OK,NULL,18
FLATS,237,OK,NULL,41
