Row Label,PrecinctCode,County,Registered Voters,Darvin J. Zimmerman
487,487,CR,NULL,199
490,490,CR,NULL,278
491,491,CR,NULL,27
500,500,CR,NULL,413
502,502,CR,NULL,350
503,503,CR,NULL,290
505,505,CR,NULL,459
510,510,CR,NULL,265
511,511,CR,NULL,24
515,515,CR,NULL,459
520,520,CR,NULL,213
521,521,CR,NULL,9
522,522,CR,NULL,135
523,523,CR,NULL,5
524,524,CR,NULL,37
525,525,CR,NULL,237
527,527,CR,NULL,313
528,528,CR,NULL,330
530,530,CR,NULL,160
535,535,CR,NULL,489
536,536,CR,NULL,240
537,537,CR,NULL,158
538,538,CR,NULL,199
540,540,CR,NULL,403
543,543,CR,NULL,360
545,545,CR,NULL,288
550,550,CR,NULL,447
553,553,CR,NULL,370
555,555,CR,NULL,467
560,560,CR,NULL,400
563,563,CR,NULL,445
565,565,CR,NULL,329
566,566,CR,NULL,266
570,570,CR,NULL,376
571,571,CR,NULL,379
572,572,CR,NULL,506
573,573,CR,NULL,498
574,574,CR,NULL,16
575,575,CR,NULL,125
576,576,CR,NULL,4
577,577,CR,NULL,502
578,578,CR,NULL,35
579,579,CR,NULL,17
580,580,CR,NULL,264
581,581,CR,NULL,195
582,582,CR,NULL,312
583,583,CR,NULL,314
584,584,CR,NULL,364
585,585,CR,NULL,463
586,586,CR,NULL,342
587,587,CR,NULL,323
588,588,CR,NULL,234
590,590,CR,NULL,505
591,591,CR,NULL,492
592,592,CR,NULL,464
593,593,CR,NULL,394
594,594,CR,NULL,15
595,595,CR,NULL,222
596,596,CR,NULL,0
597,597,CR,NULL,35
598,598,CR,NULL,12
600,600,CR,NULL,201
603,603,CR,NULL,214
605,605,CR,NULL,356
606,606,CR,NULL,68
610,610,CR,NULL,522
613,613,CR,NULL,172
615,615,CR,NULL,169
617,617,CR,NULL,392
618,618,CR,NULL,412
620,620,CR,NULL,431
624,624,CR,NULL,101
625,625,CR,NULL,400
626,626,CR,NULL,378
627,627,CR,NULL,397
628,628,CR,NULL,443
629,629,CR,NULL,356
630,630,CR,NULL,321
631,631,CR,NULL,455
632,632,CR,NULL,207
633,633,CR,NULL,381
634,634,CR,NULL,346
635,635,CR,NULL,312
636,636,CR,NULL,332
638,638,CR,NULL,353
639,639,CR,NULL,352
640,640,CR,NULL,406
641,641,CR,NULL,153
642,642,CR,NULL,186
643,643,CR,NULL,387
644,644,CR,NULL,405
645,645,CR,NULL,478
646,646,CR,NULL,197
647,647,CR,NULL,254
648,648,CR,NULL,328
649,649,CR,NULL,330
650,650,CR,NULL,388
651,651,CR,NULL,275
652,652,CR,NULL,367
653,653,CR,NULL,344
654,654,CR,NULL,273
655,655,CR,NULL,383
656,656,CR,NULL,198
658,658,CR,NULL,339
659,659,CR,NULL,399
660,660,CR,NULL,423
662,662,CR,NULL,417
663,663,CR,NULL,287
664,664,CR,NULL,406
667,667,CR,NULL,309
668,668,CR,NULL,386
669,669,CR,NULL,338
670,670,CR,NULL,414
672,672,CR,NULL,343
673,673,CR,NULL,440
674,674,CR,NULL,342
675,675,CR,NULL,249
677,677,CR,NULL,376
678,678,CR,NULL,299
679,679,CR,NULL,278
680,680,CR,NULL,313
681,681,CR,NULL,330
682,682,CR,NULL,366
683,683,CR,NULL,357
685,685,CR,NULL,99
686,686,CR,NULL,296
687,687,CR,NULL,380
688,688,CR,NULL,335
689,689,CR,NULL,416
690,690,CR,NULL,395
691,691,CR,NULL,393
692,692,CR,NULL,415
693,693,CR,NULL,241
694,694,CR,NULL,161
695,695,CR,NULL,419
696,696,CR,NULL,445
697,697,CR,NULL,499
698,698,CR,NULL,354
699,699,CR,NULL,343
700,700,CR,NULL,66
710,710,CR,NULL,186
720,720,CR,NULL,302
900,900,CR,NULL,351
903,903,CR,NULL,395
905,905,CR,NULL,409
910,910,CR,NULL,376
912,912,CR,NULL,335
913,913,CR,NULL,431
914,914,CR,NULL,405
917,917,CR,NULL,270
920,920,CR,NULL,314
925,925,CR,NULL,343
930,930,CR,NULL,364
935,935,CR,NULL,382
940,940,CR,NULL,334
947,947,CR,NULL,314
950,950,CR,NULL,382
951,951,CR,NULL,325
953,953,CR,NULL,175
957,957,CR,NULL,74
958,958,CR,NULL,70
959,959,CR,NULL,16
960,960,CR,NULL,446
961,961,CR,NULL,76
962,962,CR,NULL,282
963,963,CR,NULL,303
964,964,CR,NULL,398
965,965,CR,NULL,342
966,966,CR,NULL,239
967,967,CR,NULL,226
968,968,CR,NULL,346
969,969,CR,NULL,225
985,985,CR,NULL,318
