Row Label,PrecinctCode,County,Registered Voters,Lisa L. Sutton
MEADOWDALE 150,100150,KP,NULL,236
SYMINGTON 151,100151,KP,NULL,178
PIONEER 152,100152,KP,NULL,391
LARSON 153,100153,KP,NULL,396
SEABECK 155,100155,KP,NULL,425
LOST HIGHWAY 157,100157,KP,NULL,340
HOLLY 158,100158,KP,NULL,100
BREMERTON 159,100159,KP,NULL,189
SILVERDALE 160,100160,KP,NULL,346
MORKEN 161,100161,KP,NULL,441
APEX 162,100162,KP,NULL,367
ANDERSON CREEK 163,100163,KP,NULL,268
EAGLE CREST 164,100164,KP,NULL,391
SUTTON 165,100165,KP,NULL,229
TRACYTON 170,100170,KP,NULL,235
VENA 173,100173,KP,NULL,311
FUSON 175,100175,KP,NULL,322
PORT ORCHARD 200,100200,KP,NULL,175
PORT ORCHARD 201,100201,KP,NULL,266
PORT ORCHARD 202,100202,KP,NULL,381
PORT ORCHARD 203,100203,KP,NULL,179
PORT ORCHARD 204,100204,KP,NULL,269
PORT ORCHARD 205,100205,KP,NULL,665
PORT ORCHARD 206,100206,KP,NULL,0
PORT ORCHARD 207,100207,KP,NULL,316
PORT ORCHARD 208,100208,KP,NULL,0
PORT ORCHARD 209,100209,KP,NULL,0
PORT ORCHARD 210,100210,KP,NULL,233
CEDAR 211,100211,KP,NULL,297
ANNAPOLIS 212,100212,KP,NULL,412
BRASCH 213,100213,KP,NULL,348
LAKE HELENA 214,100214,KP,NULL,288
PORT ORCHARD 215,100215,KP,NULL,0
MINTERBROOK 216,100216,KP,NULL,158
SPRING CREEK 217,100217,KP,NULL,230
BURLEY 218,100218,KP,NULL,314
HUNTER 219,100219,KP,NULL,248
ALASKA 221,100221,KP,NULL,389
WOODRIDGE 222,100222,KP,NULL,185
NEBRASKA 223,100223,KP,NULL,323
WHISPERING PINES 227,100227,KP,NULL,348
FERNWOOD 230,100230,KP,NULL,368
GLENWOOD 232,100232,KP,NULL,407
HARPER 240,100240,KP,NULL,285
YUKON 241,100241,KP,NULL,236
WILSON CREEK 242,100242,KP,NULL,270
LONG LAKE 245,100245,KP,NULL,212
LOCKER 246,100246,KP,NULL,401
EBBERT 247,100247,KP,NULL,346
LUNDBERG 250,100250,KP,NULL,355
CONVERSE 252,100252,KP,NULL,301
MANCHESTER 255,100255,KP,NULL,256
EVERGREEN 257,100257,KP,NULL,458
WILLOCK 258,100258,KP,NULL,269
FRAGARIA 259,100259,KP,NULL,259
MULLENIX 260,100260,KP,NULL,387
BANDIX 263,100263,KP,NULL,313
OLALLA 265,100265,KP,NULL,228
CRESCENT VALLEY 266,100266,KP,NULL,315
OVERLOOK 267,100267,KP,NULL,292
MADRONA 269,100269,KP,NULL,268
PARKWOOD 270,100270,KP,NULL,386
CONIFER 271,100271,KP,NULL,195
SEDGWICK 272,100272,KP,NULL,381
SINCLAIR 275,100275,KP,NULL,163
SHERMAN HEIGHTS 278,100278,KP,NULL,9
BERRY LAKE 279,100279,KP,NULL,198
BELFAIR VALLEY 280,100280,KP,NULL,100
SUNNYSLOPE 281,100281,KP,NULL,261
DICKENSON 282,100282,KP,NULL,326
DRIVE-IN 283,100283,KP,NULL,7
TWIN LAKES 285,100285,KP,NULL,91
LIGHTHOUSE POINT 292,100292,KP,NULL,338
BREMERTON 293,100293,KP,NULL,2
BREMERTON 294,100294,KP,NULL,0
WATERMAN 295,100295,KP,NULL,194
BREMERTON 296,100296,KP,NULL,0
HEINS CREEK 297,100297,KP,NULL,0
BLUE HERON 301,100301,KP,NULL,467
AZALEA 302,100302,KP,NULL,379
WINSLOW 304,100304,KP,NULL,552
WING POINT 305,100305,KP,NULL,252
BLAKELY 310,100310,KP,NULL,294
CRYSTAL SPRINGS 312,100312,KP,NULL,413
FINCH 314,100314,KP,NULL,224
FERNCLIFF 315,100315,KP,NULL,474
EAGLE HARBOR 317,100317,KP,NULL,242
FORT WARD 318,100318,KP,NULL,331
ISLAND CENTER 320,100320,KP,NULL,313
MEADOWMEER 321,100321,KP,NULL,149
NEW BROOKLYN 322,100322,KP,NULL,203
LIBERTY 325,100325,KP,NULL,289
SKIFF POINT 328,100328,KP,NULL,280
ROLLING BAY 330,100330,KP,NULL,304
LOVGREN 332,100332,KP,NULL,188
TOLO 333,100333,KP,NULL,275
SEABOLD 335,100335,KP,NULL,385
MANZANITA 336,100336,KP,NULL,221
PORT MADISON 340,100340,KP,NULL,267
TORVANGER 345,100345,KP,NULL,353
POULSBO 401,100401,KP,NULL,454
POULSBO 403,100403,KP,NULL,313
POULSBO 404,100404,KP,NULL,381
POULSBO 405,100405,KP,NULL,352
POULSBO 406,100406,KP,NULL,415
POULSBO 407,100407,KP,NULL,270
BREIDABLIK 410,100410,KP,NULL,342
VINLAND 412,100412,KP,NULL,380
BELLA VISTA 413,100413,KP,NULL,249
HANSVILLE 415,100415,KP,NULL,192
POINT NO POINT 416,100416,KP,NULL,463
TWIN SPITS 417,100417,KP,NULL,355
S&#39;KLALLAM 418,100418,KP,NULL,34
POINT JEFFERSON 419,100419,KP,NULL,245
INDIANOLA 420,100420,KP,NULL,419
ORCA 421,100421,KP,NULL,241
APPLE TREE 422,100422,KP,NULL,361
HIGHLAND 423,100423,KP,NULL,185
KEYPORT 425,100425,KP,NULL,397
EVERGREEN RIDGE 426,100426,KP,NULL,130
ISLAND LAKE 427,100427,KP,NULL,317
KINGSTON 430,100430,KP,NULL,488
LEMOLO 435,100435,KP,NULL,273
LINCOLN 440,100440,KP,NULL,257
BIG VALLEY 441,100441,KP,NULL,226
LOFALL 442,100442,KP,NULL,448
PEARSON 445,100445,KP,NULL,432
PORT GAMBLE 450,100450,KP,NULL,319
STRIEBEL 453,100453,KP,NULL,292
GAMBLEWOOD 454,100454,KP,NULL,212
SCANDIA 455,100455,KP,NULL,324
MILLER BAY 458,100458,KP,NULL,382
SUQUAMISH 460,100460,KP,NULL,264
AUGUSTA 461,100461,KP,NULL,197
TOTTEN 463,100463,KP,NULL,288
SANDY HOOK 464,100464,KP,NULL,234
