Row Label,PrecinctCode,County,Registered Voters,Beth A. Fraser
NORTH CREEK,20144065,SN,NULL,183
LOCUST,20144078,SN,NULL,198
WILLOWDALE,20144085,SN,NULL,236
HUNT,20144089,SN,NULL,3
MERIDIAN,20144136,SN,NULL,227
VINE,20144146,SN,NULL,187
ATLAS,20144177,SN,NULL,241
QUEENS,20144212,SN,NULL,198
WAXON,20144213,SN,NULL,282
COUNTRY,20144281,SN,NULL,147
CRYSTAL,20144284,SN,NULL,205
THRASHERS,20144324,SN,NULL,190
DAMSON,20144446,SN,NULL,258
WANDERING CREEK,20144596,SN,NULL,243
NEWTON,20144705,SN,NULL,149
SHELBY,22124100,SN,NULL,171
YORK,22124274,SN,NULL,236
WINGATE,22124337,SN,NULL,225
LYNNWOOD 19,22131422,SN,NULL,197
LYNNWOOD 34,22131538,SN,NULL,111
MEADOWDALE,22134040,SN,NULL,166
EMANDER,22134063,SN,NULL,234
ASH,22134076,SN,NULL,269
MANOR,22134079,SN,NULL,197
MANORDALE,22134080,SN,NULL,186
SERENE,22134082,SN,NULL,187
STICKNEY,22134084,SN,NULL,205
FIELD,22134088,SN,NULL,214
ALICIA,22134150,SN,NULL,241
CASCADE,22134152,SN,NULL,153
GROVE,22134183,SN,NULL,253
PIONEER,22134195,SN,NULL,204
GIBSON,22134265,SN,NULL,156
HEMLOCK,22134268,SN,NULL,283
COVE,22134282,SN,NULL,197
EMERALD,22134286,SN,NULL,204
PICNIC POINT,22134314,SN,NULL,176
SHORE,22134320,SN,NULL,234
NORMA,22134356,SN,NULL,182
PUGET,22134359,SN,NULL,180
SHADOW WOOD,22134362,SN,NULL,197
ALDER,22134368,SN,NULL,194
KEELER,22134373,SN,NULL,175
MARINER,22134427,SN,NULL,184
POST,22134434,SN,NULL,208
HIPOINT,22134459,SN,NULL,139
JEFF,22134460,SN,NULL,164
MADISON,22134463,SN,NULL,271
WOODGATE,22134489,SN,NULL,118
FAIRWOOD,22134492,SN,NULL,104
STONE GATE,22134497,SN,NULL,163
HILLMAN,22134501,SN,NULL,177
BEVERLY,22134520,SN,NULL,183
ADMIRALTY,22134642,SN,NULL,153
AVALON,22134688,SN,NULL,107
DALE,22134692,SN,NULL,217
JEFFERSON,22134699,SN,NULL,148
LUNDS GULCH,22134758,SN,NULL,85
MARTHA LAKE,22144081,SN,NULL,202
EAST SHORE,22144131,SN,NULL,194
FREEWAY,22144166,SN,NULL,218
ROYAL,22144209,SN,NULL,267
CASCADIAN,22144279,SN,NULL,257
CLOVER,22144280,SN,NULL,163
KENTISH,22144297,SN,NULL,157
WALNUT,22144331,SN,NULL,140
EVERGREEN,22144415,SN,NULL,141
FOREST,22144455,SN,NULL,208
NORTHROAD,22144476,SN,NULL,267
RHODY RIDGE,22144481,SN,NULL,138
FILBERT,22144527,SN,NULL,264
MEADOWCREST,22144546,SN,NULL,191
TERRACE,22144556,SN,NULL,46
ELFIN,22144578,SN,NULL,109
BUTTERNUT,22144689,SN,NULL,204
POPPY,22144707,SN,NULL,132
LYNNWOOD  1,23231115,SN,NULL,109
LYNNWOOD  2,23231116,SN,NULL,163
LYNNWOOD  3,23231117,SN,NULL,177
LYNNWOOD  4,23231118,SN,NULL,166
LYNNWOOD  5,23231119,SN,NULL,123
LYNNWOOD  6,23231120,SN,NULL,180
LYNNWOOD  7,23231121,SN,NULL,237
LYNNWOOD  8,23231122,SN,NULL,154
LYNNWOOD  9,23231123,SN,NULL,245
LYNNWOOD 10,23231124,SN,NULL,109
LYNNWOOD 11,23231125,SN,NULL,204
LYNNWOOD 13,23231168,SN,NULL,145
LYNNWOOD 16,23231186,SN,NULL,186
LYNNWOOD 17,23231201,SN,NULL,248
LYNNWOOD 18,23231202,SN,NULL,198
LYNNWOOD 20,23231203,SN,NULL,199
LYNNWOOD 22,23231204,SN,NULL,151
LYNNWOOD 23,23231205,SN,NULL,208
LYNNWOOD 24,23231206,SN,NULL,168
LYNNWOOD 28,23231207,SN,NULL,120
LYNNWOOD 29,23231208,SN,NULL,288
LYNNWOOD 30,23231210,SN,NULL,231
LYNNWOOD 12,23231419,SN,NULL,206
LYNNWOOD 14,23231420,SN,NULL,167
LYNNWOOD 15,23231421,SN,NULL,155
LYNNWOOD 21,23231423,SN,NULL,199
LYNNWOOD 31,23231424,SN,NULL,123
LYNNWOOD 32,23231462,SN,NULL,0
LYNNWOOD 33,23231516,SN,NULL,206
LYNNWOOD 25,23231626,SN,NULL,233
LYNNWOOD 26,23231627,SN,NULL,203
HILLTOP,23234077,SN,NULL,259
CYPRESS,23234175,SN,NULL,199
LAURA,23234184,SN,NULL,236
ALDERCREST,23234444,SN,NULL,43
LARCH,23234461,SN,NULL,193
MAGNOLIA,23234539,SN,NULL,164
PACIFIC,23234550,SN,NULL,60
RIDGEVIEW,23234755,SN,NULL,108
MOUNTLAKE TERRACE  7,23241095,SN,NULL,107
MOUNTLAKE TERRACE  8,23241096,SN,NULL,194
MOUNTLAKE TERRACE  9,23241097,SN,NULL,137
MOUNTLAKE TERRACE 10,23241137,SN,NULL,273
NILE,23244749,SN,NULL,0
SILVER LAKE,24444074,SN,NULL,199
DUMAS,24444285,SN,NULL,186
HOLIDAY,24444294,SN,NULL,108
EDMONDS  1,72131101,SN,NULL,212
EDMONDS  2,72131102,SN,NULL,229
EDMONDS  3,72131103,SN,NULL,254
EDMONDS  4,72131104,SN,NULL,217
EDMONDS  5,72131105,SN,NULL,146
EDMONDS  7,72131107,SN,NULL,254
EDMONDS  8,72131108,SN,NULL,291
EDMONDS  9,72131109,SN,NULL,159
EDMONDS 10,72131110,SN,NULL,251
EDMONDS 13,72131111,SN,NULL,251
EDMONDS 17,72131127,SN,NULL,187
EDMONDS 22,72131147,SN,NULL,197
EDMONDS 23,72131148,SN,NULL,273
EDMONDS 28,72131155,SN,NULL,189
EDMONDS 29,72131156,SN,NULL,235
EDMONDS 30,72131157,SN,NULL,172
EDMONDS 31,72131158,SN,NULL,238
EDMONDS 32,72131159,SN,NULL,211
EDMONDS 33,72131160,SN,NULL,195
EDMONDS 34,72131161,SN,NULL,230
EDMONDS 35,72131162,SN,NULL,182
EDMONDS 36,72131163,SN,NULL,198
EDMONDS 37,72131164,SN,NULL,211
EDMONDS 21,72131390,SN,NULL,288
EDMONDS 24,72131391,SN,NULL,156
EDMONDS 26,72131392,SN,NULL,146
EDMONDS 38,72131393,SN,NULL,242
EDMONDS 39,72131447,SN,NULL,257
EDMONDS 46,72131524,SN,NULL,362
EDMONDS 51,72131565,SN,NULL,230
EDMONDS 11,72131694,SN,NULL,233
EDMONDS  6,73231106,SN,NULL,277
EDMONDS 14,73231112,SN,NULL,170
EDMONDS 15,73231113,SN,NULL,171
EDMONDS 16,73231114,SN,NULL,169
EDMONDS 18,73231132,SN,NULL,209
EDMONDS 19,73231133,SN,NULL,244
EDMONDS 25,73231153,SN,NULL,207
EDMONDS 27,73231154,SN,NULL,177
WOODWAY 1,73231173,SN,NULL,196
WOODWAY 2,73231174,SN,NULL,120
EDMONDS 12,73231389,SN,NULL,140
EDMONDS 40,73231500,SN,NULL,203
EDMONDS 41,73231511,SN,NULL,167
EDMONDS 42,73231512,SN,NULL,154
EDMONDS 43,73231513,SN,NULL,253
EDMONDS 44,73231514,SN,NULL,197
EDMONDS 45,73231523,SN,NULL,161
EDMONDS 47,73231525,SN,NULL,119
EDMONDS 48,73231562,SN,NULL,194
EDMONDS 49,73231563,SN,NULL,185
EDMONDS 50,73231564,SN,NULL,147
EDMONDS 52,73231577,SN,NULL,192
HOLLY,73234099,SN,NULL,229
ROB,73234143,SN,NULL,141
SUMMIT,73234149,SN,NULL,187
ANN,73234176,SN,NULL,176
CHAPEL,73234182,SN,NULL,146
