Row Label,PrecinctCode,County,Registered Voters,Heidi Smith
OMAK MTN,192,OK,NULL,16
OMAK LAKE,193,OK,NULL,23
FIKER,194,OK,NULL,29
ROSS CANYON,195,OK,NULL,47
HENDRICK,196,OK,NULL,58
DIXON,197,OK,NULL,42
KERMEL,198,OK,NULL,45
GLOVER,199,OK,NULL,49
FLETCHER,200,OK,NULL,36
MOCK,201,OK,NULL,41
OMAK #10,202,OK,NULL,37
OMAK #11,203,OK,NULL,46
OMAK #12,204,OK,NULL,42
OMAK #13,205,OK,NULL,30
OMAK #14,206,OK,NULL,30
OMAK #15,207,OK,NULL,43
OMAK #16,208,OK,NULL,32
OMAK #17,209,OK,NULL,52
OMAK #18,210,OK,NULL,28
OMAK #19,211,OK,NULL,23
OMAK #20,212,OK,NULL,39
OMAK #21,213,OK,NULL,22
OMAK #22,214,OK,NULL,45
OMAK #23,215,OK,NULL,21
OMAK #24,216,OK,NULL,30
OKANOGAN #5,217,OK,NULL,40
OKANOGAN #6,218,OK,NULL,34
OKANOGAN #7,219,OK,NULL,20
OKANOGAN #8,220,OK,NULL,33
OKANOGAN #9,221,OK,NULL,33
OKANOGAN #10,222,OK,NULL,41
OKANOGAN #11,223,OK,NULL,40
OKANOGAN #12,224,OK,NULL,24
OKANOGAN #13,225,OK,NULL,20
AVIATION,226,OK,NULL,21
SUNSET LAKES,236,OK,NULL,16
FLATS,237,OK,NULL,36
