Row Label,PrecinctCode,County,Registered Voters,Claire Bradley,Tracy Flood
ISLAND LAKE 427,100427,KP,NULL,209,165
KINGSTON 430,100430,KP,NULL,320,253
LEMOLO 435,100435,KP,NULL,188,134
LINCOLN 440,100440,KP,NULL,180,155
BIG VALLEY 441,100441,KP,NULL,163,121
LOFALL 442,100442,KP,NULL,313,217
PEARSON 445,100445,KP,NULL,292,225
PORT GAMBLE 450,100450,KP,NULL,236,153
STRIEBEL 453,100453,KP,NULL,224,151
GAMBLEWOOD 454,100454,KP,NULL,137,132
SCANDIA 455,100455,KP,NULL,236,145
MILLER BAY 458,100458,KP,NULL,261,183
SUQUAMISH 460,100460,KP,NULL,161,130
AUGUSTA 461,100461,KP,NULL,126,100
TOTTEN 463,100463,KP,NULL,189,126
SANDY HOOK 464,100464,KP,NULL,169,114
