Row Label,PrecinctCode,County,Registered Voters,John Lovick,Carolyn Eslick
GOLD BAR 1,13951566,SN,NULL,119,136
GOLD BAR 2,13951567,SN,NULL,96,123
MONROE  8,13951568,SN,NULL,87,121
MONROE 10,13951586,SN,NULL,140,197
MONROE 11,13951587,SN,NULL,51,67
MONROE  9,13951653,SN,NULL,164,179
MONROE 12,13951654,SN,NULL,93,97
SULTAN 4,13951713,SN,NULL,107,119
PARK PLACE,13954003,SN,NULL,51,88
SULTAN RIVER,13954005,SN,NULL,137,175
TUALCO,13954007,SN,NULL,123,116
WALLACE,13954008,SN,NULL,98,128
LAKE,13954010,SN,NULL,193,188
SHORTS,13954013,SN,NULL,217,197
THREE LAKES,13954031,SN,NULL,111,154
ROOSEVELT,13954036,SN,NULL,79,94
SKYKOMISH,13954041,SN,NULL,67,42
OLNEY,13954043,SN,NULL,147,180
WINTER LAKE,13954058,SN,NULL,82,106
HIGHLAND,13954064,SN,NULL,116,134
TROMBLEY,13954272,SN,NULL,154,154
HIGH BRIDGE,13954292,SN,NULL,219,255
OWEN,13954309,SN,NULL,125,150
BLUFF,13954340,SN,NULL,117,193
CHAIN LAKE,13954371,SN,NULL,189,205
BROCKLIN,13954388,SN,NULL,126,193
HIGH ROCK,13954417,SN,NULL,105,179
MANN,13954425,SN,NULL,125,152
WAGNER,13954442,SN,NULL,156,209
WOODS CREEK,13954443,SN,NULL,99,174
FAIRVIEW,13954454,SN,NULL,123,128
MAY CREEK,13954469,SN,NULL,156,157
MILL,13954471,SN,NULL,156,183
STORM LAKE,13954487,SN,NULL,187,236
PIPELINE,13954507,SN,NULL,119,182
FERN,13954526,SN,NULL,36,78
IVERSON,13954534,SN,NULL,102,102
LUPINE,13954537,SN,NULL,129,132
ROBINHOOD,13954553,SN,NULL,127,120
SOFIE,13954710,SN,NULL,76,99
WEST FORK,13954750,SN,NULL,34,70
PILCHUCK RIVER,13954753,SN,NULL,11,11
RICHLAND,13954754,SN,NULL,54,59
SUNNYSIDE,14414044,SN,NULL,42,62
RAILROAD,14414318,SN,NULL,90,125
CASSIDY,14414522,SN,NULL,134,162
MILL CREEK  1,14441301,SN,NULL,264,137
MILL CREEK  2,14441302,SN,NULL,165,115
MILL CREEK  3,14441303,SN,NULL,133,84
MILL CREEK  4,14441304,SN,NULL,150,103
MILL CREEK  5,14441353,SN,NULL,286,158
MILL CREEK  6,14441354,SN,NULL,214,196
MILL CREEK  7,14441367,SN,NULL,14,11
MILL CREEK  8,14441376,SN,NULL,239,165
MILL CREEK  9,14441377,SN,NULL,207,120
MILL CREEK 10,14441472,SN,NULL,155,88
MILL CREEK 11,14441473,SN,NULL,152,98
MILL CREEK 12,14441495,SN,NULL,150,138
MILL CREEK 13,14441505,SN,NULL,159,117
MILL CREEK 14,14441629,SN,NULL,8,4
MILL CREEK 15,14441640,SN,NULL,201,127
MILL CREEK 16,14441652,SN,NULL,133,86
MILL CREEK 17,14441665,SN,NULL,197,130
MILL CREEK 18,14441666,SN,NULL,169,111
MILL CREEK 19,14441667,SN,NULL,225,189
MILL CREEK 20,14441668,SN,NULL,160,101
MILL CREEK 21,14441702,SN,NULL,111,57
MILL CREEK 22,14441703,SN,NULL,121,82
FERNWOOD,14444006,SN,NULL,166,118
BROOK,14444278,SN,NULL,250,133
HILL,14444293,SN,NULL,156,99
LARIMER,14444298,SN,NULL,154,132
MISTY,14444305,SN,NULL,201,130
OAKS,14444308,SN,NULL,190,158
PUGET PARK,14444317,SN,NULL,167,103
KENWOOD,14444348,SN,NULL,172,109
OLYMPUS,14444357,SN,NULL,141,111
SEATTLE HILL,14444361,SN,NULL,139,123
MERWIN,14444547,SN,NULL,111,103
CREEKSIDE,14444575,SN,NULL,136,95
DOUGLAS FIRS,14444576,SN,NULL,147,112
GRAND FIRS,14444582,SN,NULL,230,181
KATTENHORN,14444584,SN,NULL,259,179
SILVER FIRS,14444590,SN,NULL,222,157
TUCKER,14444595,SN,NULL,198,120
SPRUCE,14444658,SN,NULL,95,91
THOMAS CREEK,14444659,SN,NULL,152,130
WINDROSE,14444660,SN,NULL,244,149
STRAWBERRY,14444684,SN,NULL,184,138
DOGWOOD,14444693,SN,NULL,155,99
SNOHOMISH  1,14451014,SN,NULL,184,167
SNOHOMISH  3,14451038,SN,NULL,200,93
SNOHOMISH  5,14451056,SN,NULL,255,167
LAKE STEVENS  1,14451134,SN,NULL,193,212
LAKE STEVENS  2,14451135,SN,NULL,147,146
SNOHOMISH  7,14451144,SN,NULL,190,123
SNOHOMISH  8,14451145,SN,NULL,229,185
LAKE STEVENS  3,14451349,SN,NULL,214,169
LAKE STEVENS  4,14451418,SN,NULL,157,116
SNOHOMISH  2,14451436,SN,NULL,144,97
SNOHOMISH  4,14451437,SN,NULL,172,124
SNOHOMISH  6,14451438,SN,NULL,125,106
LAKE STEVENS  6,14451503,SN,NULL,165,154
SNOHOMISH  9,14451508,SN,NULL,113,87
LAKE STEVENS  7,14451536,SN,NULL,184,179
LAKE STEVENS  5,14451625,SN,NULL,135,115
LAKE STEVENS  8,14451649,SN,NULL,135,162
LAKE STEVENS  9,14451663,SN,NULL,122,123
LAKE STEVENS 10,14451664,SN,NULL,141,168
LAKE STEVENS 11,14451671,SN,NULL,107,84
LAKE STEVENS 12,14451672,SN,NULL,142,92
LAKE STEVENS 13,14451673,SN,NULL,161,113
LAKE STEVENS 14,14451674,SN,NULL,142,133
LAKE STEVENS 15,14451675,SN,NULL,209,165
SNOHOMISH 10,14451709,SN,NULL,58,85
LAKE STEVENS 16,14451716,SN,NULL,111,109
LAKE STEVENS 17,14451717,SN,NULL,146,160
LAKE STEVENS 18,14451718,SN,NULL,131,138
LAKE STEVENS 19,14451719,SN,NULL,151,170
LAKE STEVENS 20,14451720,SN,NULL,143,146
LAKE STEVENS 21,14451721,SN,NULL,201,171
LAKE STEVENS 22,14451722,SN,NULL,142,102
LAKE STEVENS 23,14451723,SN,NULL,92,126
LAKE STEVENS 24,14451724,SN,NULL,129,97
LAKE STEVENS 25,14451725,SN,NULL,45,48
LAKE STEVENS 26,14451726,SN,NULL,86,72
LAKE STEVENS 27,14451727,SN,NULL,92,61
LAKE STEVENS 28,14451757,SN,NULL,156,127
MARSH,14454012,SN,NULL,178,198
SOUTH SNOHOMISH,14454017,SN,NULL,123,129
WELANGDON,14454018,SN,NULL,4,15
LUDWIG,14454024,SN,NULL,143,141
SEXTON,14454029,SN,NULL,203,193
MACHIAS,14454045,SN,NULL,230,235
MARION,14454046,SN,NULL,118,141
RIVERVIEW,14454052,SN,NULL,182,155
SOUTH LAKE STEVENS,14454059,SN,NULL,160,163
FIR,14454066,SN,NULL,166,126
GLENWOOD,14454067,SN,NULL,109,105
TRAIL,14454072,SN,NULL,86,76
BERKSHIRE,14454075,SN,NULL,247,170
HAINES,14454291,SN,NULL,165,171
MEADOW,14454300,SN,NULL,118,141
PEAK,14454311,SN,NULL,7,7
PENNANT,14454312,SN,NULL,199,199
PETERSON,14454313,SN,NULL,220,174
PINEWOOD,14454315,SN,NULL,180,110
WINDSONG,14454336,SN,NULL,166,93
WOODRIDGE,14454339,SN,NULL,221,167
DUBUQUE,14454345,SN,NULL,142,158
POINTE,14454358,SN,NULL,35,16
SUNRISE,14454364,SN,NULL,178,97
VALMONT,14454366,SN,NULL,105,71
HEARTHSTONE,14454458,SN,NULL,143,88
MARKS,14454464,SN,NULL,175,155
OSBORN,14454477,SN,NULL,148,113
PANTHER CREEK,14454478,SN,NULL,170,138
PIONEER TRAILS,14454480,SN,NULL,170,132
RIDGEWAY,14454482,SN,NULL,101,95
STITCH,14454485,SN,NULL,54,40
CENTENNIAL,14454490,SN,NULL,229,207
FIRCREST,14454493,SN,NULL,119,87
GREENWOOD,14454530,SN,NULL,170,151
HAVEN,14454531,SN,NULL,206,148
HILLSIDE,14454532,SN,NULL,58,65
OHLDE,14454549,SN,NULL,146,174
RUGGS LAKE,14454554,SN,NULL,186,153
FOUR CORNERS,14454580,SN,NULL,176,136
KNOX,14454585,SN,NULL,13,5
MORNING RISE,14454588,SN,NULL,170,115
PELLERIN,14454634,SN,NULL,155,125
KENSINGTON,14454648,SN,NULL,103,60
OVERLOOK,14454706,SN,NULL,217,165
SOUTH ALDERWOOD,20134083,SN,NULL,235,142
SAMOEA,20134196,SN,NULL,179,142
POPLAR,20134316,SN,NULL,98,72
CRAWFORD,20134690,SN,NULL,63,33
MOUNTLAKE TERRACE  1,20141090,SN,NULL,180,73
MOUNTLAKE TERRACE  2,20141091,SN,NULL,165,84
MOUNTLAKE TERRACE  3,20141092,SN,NULL,162,88
MOUNTLAKE TERRACE  5,20141093,SN,NULL,174,93
MOUNTLAKE TERRACE  6,20141094,SN,NULL,143,73
MOUNTLAKE TERRACE 11,20141138,SN,NULL,176,82
MOUNTLAKE TERRACE 12,20141139,SN,NULL,161,95
MOUNTLAKE TERRACE 13,20141140,SN,NULL,221,83
MOUNTLAKE TERRACE 14,20141141,SN,NULL,209,94
MOUNTLAKE TERRACE 15,20141142,SN,NULL,177,73
BRIER 1,20141179,SN,NULL,215,106
BRIER 2,20141180,SN,NULL,158,102
BRIER 3,20141181,SN,NULL,298,168
MOUNTLAKE TERRACE 17,20141189,SN,NULL,255,117
MOUNTLAKE TERRACE 18,20141190,SN,NULL,185,95
MOUNTLAKE TERRACE 19,20141191,SN,NULL,217,102
BRIER 4,20141276,SN,NULL,220,114
BRIER 5,20141277,SN,NULL,235,161
BRIER 6,20141343,SN,NULL,138,77
BRIER 7,20141344,SN,NULL,151,115
MOUNTLAKE TERRACE  4,20141432,SN,NULL,144,65
BRIER 8,20141614,SN,NULL,145,98
MOUNTLAKE TERRACE 16,20141630,SN,NULL,154,52
NORTH CREEK,20144065,SN,NULL,168,98
LOCUST,20144078,SN,NULL,162,136
WILLOWDALE,20144085,SN,NULL,209,126
HUNT,20144089,SN,NULL,2,2
MERIDIAN,20144136,SN,NULL,179,158
VINE,20144146,SN,NULL,170,98
ATLAS,20144177,SN,NULL,233,139
QUEENS,20144212,SN,NULL,187,109
WAXON,20144213,SN,NULL,237,151
COUNTRY,20144281,SN,NULL,134,96
CRYSTAL,20144284,SN,NULL,178,101
THRASHERS,20144324,SN,NULL,166,97
DAMSON,20144446,SN,NULL,235,132
WANDERING CREEK,20144596,SN,NULL,197,148
NEWTON,20144705,SN,NULL,134,98
STANWOOD 1,21011199,SN,NULL,87,68
STANWOOD 2,21011200,SN,NULL,133,143
STANWOOD 3,21011509,SN,NULL,117,121
STANWOOD 4,21011641,SN,NULL,210,199
STANWOOD 5,21011669,SN,NULL,171,211
STANWOOD 6,21011711,SN,NULL,89,123
STANWOOD 7,21011712,SN,NULL,85,81
FLORENCE,21014002,SN,NULL,48,78
PORT SUSAN,21014004,SN,NULL,212,225
CEDARHOME,21014022,SN,NULL,138,167
CLIFF,21014025,SN,NULL,117,104
STANBY,21014030,SN,NULL,33,56
SILVANA,21014037,SN,NULL,103,117
LAKEWOOD,21014061,SN,NULL,112,165
VILLAGE,21014073,SN,NULL,224,202
LAKE GOODWIN,21014087,SN,NULL,242,247
KACKMAN,21014296,SN,NULL,101,125
ROWLAND,21014319,SN,NULL,109,105
THOMPSON,21014323,SN,NULL,183,179
WATERS,21014332,SN,NULL,154,234
MC RAE,21014352,SN,NULL,95,135
HAPPY VALLEY,21014457,SN,NULL,97,115
SHOECRAFT,21014483,SN,NULL,158,220
LAKE HOWARD,21014502,SN,NULL,163,142
MC DONALD,21014545,SN,NULL,87,145
KAYAK,21014638,SN,NULL,145,148
SILVANA TERRACE,21014682,SN,NULL,96,123
KETCHUM,21014700,SN,NULL,130,166
ROSE,21014708,SN,NULL,122,109
SUNDAY LAKE,21014714,SN,NULL,190,213
MUKILTEO  1,22121192,SN,NULL,265,152
MUKILTEO  2,22121193,SN,NULL,308,158
MUKILTEO  3,22121194,SN,NULL,141,121
EVERETT  56,22121259,SN,NULL,133,107
EVERETT  57,22121260,SN,NULL,170,104
MUKILTEO  4,22121262,SN,NULL,148,97
MUKILTEO  5,22121263,SN,NULL,260,181
MUKILTEO  7,22121306,SN,NULL,138,115
MUKILTEO  8,22121307,SN,NULL,154,84
MUKILTEO  9,22121355,SN,NULL,183,134
MUKILTEO 11,22121378,SN,NULL,166,112
MUKILTEO 12,22121379,SN,NULL,302,172
MUKILTEO 13,22121380,SN,NULL,172,158
MUKILTEO 14,22121381,SN,NULL,231,164
MUKILTEO 16,22121382,SN,NULL,249,166
MUKILTEO 18,22121383,SN,NULL,227,186
EVERETT  35,22121400,SN,NULL,166,132
EVERETT  64,22121405,SN,NULL,74,59
EVERETT  65,22121406,SN,NULL,134,111
EVERETT  66,22121407,SN,NULL,193,88
EVERETT  84,22121448,SN,NULL,58,28
MUKILTEO 19,22121474,SN,NULL,137,133
MUKILTEO 20,22121475,SN,NULL,225,162
EVERETT  91,22121491,SN,NULL,122,77
EVERETT  52,22121615,SN,NULL,159,92
EVERETT  61,22121616,SN,NULL,33,20
EVERETT  79,22121621,SN,NULL,151,106
EVERETT  83,22121622,SN,NULL,120,102
EVERETT  92(*),22121624,SN,NULL,0,0
MUKILTEO  6,22121631,SN,NULL,184,150
MUKILTEO 15,22121632,SN,NULL,55,47
MUKILTEO 17,22121633,SN,NULL,241,185
MUKILTEO 10,22121655,SN,NULL,134,83
EVERETT  95,22121697,SN,NULL,77,56
MUKILTEO 21,22121704,SN,NULL,119,80
HIWAY,22124068,SN,NULL,23,9
SHELBY,22124100,SN,NULL,156,87
LIND,22124185,SN,NULL,198,89
YORK,22124274,SN,NULL,172,148
WINGATE,22124337,SN,NULL,183,143
STOCK SHOW,22124486,SN,NULL,88,66
OLIVIA,22124589,SN,NULL,32,11
LYNNWOOD 19,22131422,SN,NULL,182,118
LYNNWOOD 34,22131538,SN,NULL,96,60
MEADOWDALE,22134040,SN,NULL,181,94
EMANDER,22134063,SN,NULL,185,106
ASH,22134076,SN,NULL,230,155
MANOR,22134079,SN,NULL,173,101
MANORDALE,22134080,SN,NULL,145,114
SERENE,22134082,SN,NULL,161,128
STICKNEY,22134084,SN,NULL,153,144
FIELD,22134088,SN,NULL,160,127
ALICIA,22134150,SN,NULL,191,144
CASCADE,22134152,SN,NULL,125,76
GROVE,22134183,SN,NULL,204,136
PIONEER,22134195,SN,NULL,166,112
GIBSON,22134265,SN,NULL,124,78
HEMLOCK,22134268,SN,NULL,239,157
COVE,22134282,SN,NULL,155,124
EMERALD,22134286,SN,NULL,149,120
PICNIC POINT,22134314,SN,NULL,141,101
SHORE,22134320,SN,NULL,198,135
NORMA,22134356,SN,NULL,152,84
PUGET,22134359,SN,NULL,176,92
SHADOW WOOD,22134362,SN,NULL,190,86
ALDER,22134368,SN,NULL,148,110
KEELER,22134373,SN,NULL,147,89
MARINER,22134427,SN,NULL,146,89
POST,22134434,SN,NULL,162,119
HAMPTON,22134456,SN,NULL,179,133
HIPOINT,22134459,SN,NULL,129,63
JEFF,22134460,SN,NULL,133,84
MADISON,22134463,SN,NULL,229,166
WOODGATE,22134489,SN,NULL,88,79
FAIRWOOD,22134492,SN,NULL,84,59
STONE GATE,22134497,SN,NULL,162,75
HILLMAN,22134501,SN,NULL,155,112
BEVERLY,22134520,SN,NULL,180,98
ADMIRALTY,22134642,SN,NULL,133,79
AVALON,22134688,SN,NULL,98,50
DALE,22134692,SN,NULL,171,118
JEFFERSON,22134699,SN,NULL,123,86
LUNDS GULCH,22134758,SN,NULL,75,35
MARTHA LAKE,22144081,SN,NULL,172,143
EAST SHORE,22144131,SN,NULL,167,127
FREEWAY,22144166,SN,NULL,180,124
ROYAL,22144209,SN,NULL,215,209
CASCADIAN,22144279,SN,NULL,214,157
CLOVER,22144280,SN,NULL,137,98
KENTISH,22144297,SN,NULL,125,101
WALNUT,22144331,SN,NULL,121,88
EVERGREEN,22144415,SN,NULL,115,77
FOREST,22144455,SN,NULL,188,127
NORTHROAD,22144476,SN,NULL,229,149
RHODY RIDGE,22144481,SN,NULL,120,84
FILBERT,22144527,SN,NULL,205,162
MEADOWCREST,22144546,SN,NULL,171,113
TERRACE,22144556,SN,NULL,46,24
ELFIN,22144578,SN,NULL,94,74
BUTTERNUT,22144689,SN,NULL,170,111
POPPY,22144707,SN,NULL,104,91
LYNNWOOD  1,23231115,SN,NULL,99,47
LYNNWOOD  2,23231116,SN,NULL,135,81
LYNNWOOD  3,23231117,SN,NULL,160,101
LYNNWOOD  4,23231118,SN,NULL,138,80
LYNNWOOD  5,23231119,SN,NULL,108,54
LYNNWOOD  6,23231120,SN,NULL,172,81
LYNNWOOD  7,23231121,SN,NULL,214,131
LYNNWOOD  8,23231122,SN,NULL,134,77
LYNNWOOD  9,23231123,SN,NULL,228,101
LYNNWOOD 10,23231124,SN,NULL,102,64
LYNNWOOD 11,23231125,SN,NULL,174,108
LYNNWOOD 13,23231168,SN,NULL,128,95
LYNNWOOD 16,23231186,SN,NULL,161,93
LYNNWOOD 17,23231201,SN,NULL,236,129
LYNNWOOD 18,23231202,SN,NULL,174,117
LYNNWOOD 20,23231203,SN,NULL,178,98
LYNNWOOD 22,23231204,SN,NULL,135,62
LYNNWOOD 23,23231205,SN,NULL,188,78
LYNNWOOD 24,23231206,SN,NULL,156,64
LYNNWOOD 28,23231207,SN,NULL,101,80
LYNNWOOD 29,23231208,SN,NULL,223,147
LYNNWOOD 30,23231210,SN,NULL,206,117
LYNNWOOD 12,23231419,SN,NULL,190,96
LYNNWOOD 14,23231420,SN,NULL,131,93
LYNNWOOD 15,23231421,SN,NULL,124,83
LYNNWOOD 21,23231423,SN,NULL,169,111
LYNNWOOD 31,23231424,SN,NULL,89,77
LYNNWOOD 32(*),23231462,SN,NULL,0,0
LYNNWOOD 33,23231516,SN,NULL,168,130
LYNNWOOD 25,23231626,SN,NULL,219,130
LYNNWOOD 26,23231627,SN,NULL,187,108
HILLTOP,23234077,SN,NULL,228,175
CYPRESS,23234175,SN,NULL,169,129
LAURA,23234184,SN,NULL,210,137
ALDERCREST,23234444,SN,NULL,29,34
LARCH,23234461,SN,NULL,171,116
MAGNOLIA,23234539,SN,NULL,155,82
PACIFIC,23234550,SN,NULL,46,28
RIDGEVIEW,23234755,SN,NULL,106,51
MOUNTLAKE TERRACE  7,23241095,SN,NULL,83,77
MOUNTLAKE TERRACE  8,23241096,SN,NULL,179,80
MOUNTLAKE TERRACE  9,23241097,SN,NULL,118,73
MOUNTLAKE TERRACE 10,23241137,SN,NULL,258,147
NILE,23244749,SN,NULL,0,0
MARYSVILLE  1,23811047,SN,NULL,98,110
MARYSVILLE  2,23811048,SN,NULL,67,63
MARYSVILLE  4,23811128,SN,NULL,125,100
MARYSVILLE  6,23811129,SN,NULL,105,112
MARYSVILLE  3,23811261,SN,NULL,163,169
MARYSVILLE  9,23811299,SN,NULL,69,66
MARYSVILLE 11,23811342,SN,NULL,195,175
MARYSVILLE  7,23811350,SN,NULL,85,112
MARYSVILLE  8,23811351,SN,NULL,141,115
MARYSVILLE 10,23811429,SN,NULL,108,110
MARYSVILLE 13,23811430,SN,NULL,112,130
MARYSVILLE 15,23811465,SN,NULL,163,125
MARYSVILLE 17,23811467,SN,NULL,152,122
MARYSVILLE 20,23811504,SN,NULL,159,128
MARYSVILLE 26,23811544,SN,NULL,184,150
MARYSVILLE 27,23811571,SN,NULL,163,210
MARYSVILLE 28,23811572,SN,NULL,82,99
MARYSVILLE 25,23811650,SN,NULL,87,75
MARYSVILLE 29,23811651,SN,NULL,81,80
MARYSVILLE 32,23811679,SN,NULL,108,102
MARYSVILLE 35,23811728,SN,NULL,136,155
MARYSVILLE 36,23811729,SN,NULL,116,90
MARYSVILLE 37,23811730,SN,NULL,108,93
MARYSVILLE 38,23811731,SN,NULL,97,108
MARYSVILLE 39,23811732,SN,NULL,141,115
MARYSVILLE 40,23811733,SN,NULL,111,126
MARYSVILLE 41,23811734,SN,NULL,116,84
MARYSVILLE 42,23811735,SN,NULL,118,124
MARYSVILLE 43,23811736,SN,NULL,122,155
MARYSVILLE 46,23811739,SN,NULL,187,209
MARYSVILLE 47,23811740,SN,NULL,158,131
MARYSVILLE 48,23811741,SN,NULL,136,113
MARYSVILLE 49,23811742,SN,NULL,111,124
MARYSVILLE 50,23811743,SN,NULL,165,119
MARYSVILLE 51,23811744,SN,NULL,62,64
LOMA,23814167,SN,NULL,136,151
TIMBER,23814325,SN,NULL,0,0
WILLOW,23814335,SN,NULL,117,120
STRAUS,23814363,SN,NULL,169,226
WENBERG,23814488,SN,NULL,154,153
EVERETT   1,23821214,SN,NULL,226,146
EVERETT   2,23821215,SN,NULL,214,82
EVERETT   3,23821216,SN,NULL,154,78
EVERETT   4,23821217,SN,NULL,180,102
EVERETT   6,23821218,SN,NULL,129,79
EVERETT   8,23821219,SN,NULL,151,88
EVERETT  11,23821220,SN,NULL,220,129
EVERETT  12,23821221,SN,NULL,165,84
EVERETT  13,23821222,SN,NULL,144,81
EVERETT  14,23821223,SN,NULL,183,85
EVERETT  15,23821224,SN,NULL,162,100
EVERETT  16,23821225,SN,NULL,138,75
EVERETT  17,23821226,SN,NULL,107,53
EVERETT  18,23821227,SN,NULL,242,123
EVERETT  19,23821228,SN,NULL,163,85
EVERETT  20,23821229,SN,NULL,169,88
EVERETT  21,23821230,SN,NULL,238,137
EVERETT  22,23821231,SN,NULL,152,89
EVERETT  24,23821232,SN,NULL,184,108
EVERETT  25,23821233,SN,NULL,147,97
EVERETT  26,23821234,SN,NULL,254,155
EVERETT  27,23821235,SN,NULL,183,107
EVERETT  28,23821236,SN,NULL,131,97
EVERETT  29,23821237,SN,NULL,114,97
EVERETT  31,23821238,SN,NULL,117,83
EVERETT  32,23821239,SN,NULL,159,125
EVERETT  33,23821240,SN,NULL,219,154
EVERETT  34,23821241,SN,NULL,113,81
EVERETT  36,23821242,SN,NULL,143,94
EVERETT  37,23821243,SN,NULL,171,102
EVERETT  38,23821244,SN,NULL,44,33
EVERETT  39,23821245,SN,NULL,125,128
EVERETT  40,23821246,SN,NULL,70,58
EVERETT  41,23821247,SN,NULL,128,100
EVERETT  42,23821248,SN,NULL,111,102
EVERETT  43,23821249,SN,NULL,77,89
EVERETT  44,23821250,SN,NULL,116,77
EVERETT  45,23821251,SN,NULL,136,88
EVERETT  48,23821252,SN,NULL,124,96
EVERETT  49,23821253,SN,NULL,200,137
