Row Label,PrecinctCode,County,Registered Voters,Craig Pridemore,Jeanne E. Stewart
639,639,CR,NULL,264,229
640,640,CR,NULL,269,284
641,641,CR,NULL,121,111
642,642,CR,NULL,118,143
643,643,CR,NULL,244,268
644,644,CR,NULL,340,284
645,645,CR,NULL,367,329
646,646,CR,NULL,125,146
647,647,CR,NULL,220,196
648,648,CR,NULL,257,224
649,649,CR,NULL,219,267
650,650,CR,NULL,334,215
651,651,CR,NULL,205,203
652,652,CR,NULL,267,241
653,653,CR,NULL,239,221
654,654,CR,NULL,176,215
655,655,CR,NULL,262,234
656,656,CR,NULL,158,146
658,658,CR,NULL,261,259
659,659,CR,NULL,274,303
660,660,CR,NULL,334,250
662,662,CR,NULL,278,322
663,663,CR,NULL,224,173
664,664,CR,NULL,296,283
667,667,CR,NULL,252,208
668,668,CR,NULL,351,276
669,669,CR,NULL,246,315
670,670,CR,NULL,361,261
672,672,CR,NULL,251,233
673,673,CR,NULL,358,290
674,674,CR,NULL,295,216
675,675,CR,NULL,221,193
677,677,CR,NULL,329,282
678,678,CR,NULL,247,197
679,679,CR,NULL,205,174
680,680,CR,NULL,276,222
681,681,CR,NULL,225,234
682,682,CR,NULL,261,246
683,683,CR,NULL,280,257
685,685,CR,NULL,80,75
686,686,CR,NULL,225,202
687,687,CR,NULL,225,285
688,688,CR,NULL,253,229
689,689,CR,NULL,259,325
690,690,CR,NULL,341,277
691,691,CR,NULL,233,318
692,692,CR,NULL,262,337
693,693,CR,NULL,161,163
694,694,CR,NULL,120,90
695,695,CR,NULL,307,308
696,696,CR,NULL,350,333
697,697,CR,NULL,361,370
698,698,CR,NULL,232,315
699,699,CR,NULL,253,272
700,700,CR,NULL,42,63
710,710,CR,NULL,138,113
720,720,CR,NULL,206,238
900,900,CR,NULL,255,287
903,903,CR,NULL,284,289
905,905,CR,NULL,256,353
910,910,CR,NULL,253,268
912,912,CR,NULL,269,208
913,913,CR,NULL,295,368
914,914,CR,NULL,239,347
917,917,CR,NULL,197,196
920,920,CR,NULL,233,263
