Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Tumwater 06,406,TH,NULL,363,80
Tumwater 07,407,TH,NULL,159,50
Tumwater 08,408,TH,NULL,223,79
Tumwater 09,409,TH,NULL,149,32
Tumwater 10,410,TH,NULL,260,81
Tumwater 11,411,TH,NULL,310,82
Tumwater 12,412,TH,NULL,200,60
Tumwater 13,413,TH,NULL,91,21
Tumwater 14,414,TH,NULL,105,24
Tumwater 15,415,TH,NULL,243,69
Tumwater 24,424,TH,NULL,152,45
Tumwater 27,427,TH,NULL,230,51
Tumwater 28,428,TH,NULL,297,75
Tumwater 29,429,TH,NULL,0,0
Tenino 01,501,TH,NULL,118,52
Tenino 02,502,TH,NULL,123,59
Rainier 01,601,TH,NULL,134,62
Rainier 02,602,TH,NULL,116,55
Yelm 1,701,TH,NULL,169,67
Yelm 2,702,TH,NULL,172,80
Yelm 3,703,TH,NULL,204,84
Yelm 4,704,TH,NULL,211,76
Bucoda,801,TH,NULL,78,47
