Row Label,PrecinctCode,County,Registered Voters,Ozzie D. Knezovich,Doug Orr
PCT 6305,6305,SP,NULL,226,116
PCT 6306,6306,SP,NULL,325,159
PCT 6307,6307,SP,NULL,204,70
PCT 6308,6308,SP,NULL,236,67
PCT 6309,6309,SP,NULL,392,122
PCT 6310,6310,SP,NULL,330,104
PCT 6311,6311,SP,NULL,283,132
PCT 6312,6312,SP,NULL,311,118
PCT 6313,6313,SP,NULL,375,152
PCT 6314,6314,SP,NULL,331,129
PCT 6315,6315,SP,NULL,203,98
PCT 6316,6316,SP,NULL,164,71
PCT 6317,6317,SP,NULL,267,107
PCT 6318,6318,SP,NULL,310,100
PCT 6400,6400,SP,NULL,233,105
PCT 6401,6401,SP,NULL,145,55
PCT 6402,6402,SP,NULL,304,113
PCT 6500,6500,SP,NULL,66,35
PCT 6600,6600,SP,NULL,322,117
PCT 6601,6601,SP,NULL,288,92
PCT 6602,6602,SP,NULL,358,92
PCT 6700,6700,SP,NULL,286,112
PCT 6701,6701,SP,NULL,272,135
PCT 6702,6702,SP,NULL,201,87
PCT 6703,6703,SP,NULL,244,137
PCT 6704,6704,SP,NULL,302,124
PCT 7000,7000,SP,NULL,510,201
PCT 7001,7001,SP,NULL,324,98
PCT 7002,7002,SP,NULL,312,88
PCT 7003,7003,SP,NULL,395,132
PCT 7004,7004,SP,NULL,391,138
PCT 7005,7005,SP,NULL,529,205
PCT 7006,7006,SP,NULL,371,157
PCT 7007,7007,SP,NULL,316,151
PCT 7008,7008,SP,NULL,445,159
PCT 7009,7009,SP,NULL,503,196
PCT 7010,7010,SP,NULL,291,105
PCT 7011,7011,SP,NULL,225,99
PCT 7012,7012,SP,NULL,346,142
PCT 7013,7013,SP,NULL,348,125
PCT 7014,7014,SP,NULL,324,138
PCT 7015,7015,SP,NULL,374,115
PCT 7016,7016,SP,NULL,433,205
PCT 7017,7017,SP,NULL,364,158
PCT 7018,7018,SP,NULL,412,171
PCT 7019,7019,SP,NULL,336,132
PCT 7020,7020,SP,NULL,401,143
PCT 7021,7021,SP,NULL,215,98
PCT 7022,7022,SP,NULL,298,117
PCT 7023,7023,SP,NULL,293,104
PCT 7024,7024,SP,NULL,480,168
PCT 7025,7025,SP,NULL,347,117
PCT 7026,7026,SP,NULL,391,122
PCT 7027,7027,SP,NULL,301,94
PCT 7028,7028,SP,NULL,500,179
