Row Label,PrecinctCode,County,Registered Voters,Larry Haskell,Breean L. Beggs
PCT 3310,3310,SP,NULL,251,219
PCT 3311,3311,SP,NULL,171,127
PCT 3312,3312,SP,NULL,308,268
PCT 3313,3313,SP,NULL,325,287
PCT 3314,3314,SP,NULL,207,187
PCT 3315,3315,SP,NULL,257,252
PCT 3316,3316,SP,NULL,277,287
PCT 3317,3317,SP,NULL,318,332
PCT 3318,3318,SP,NULL,197,219
PCT 3319,3319,SP,NULL,205,191
PCT 3320,3320,SP,NULL,156,196
PCT 3321,3321,SP,NULL,251,252
PCT 3322,3322,SP,NULL,163,204
PCT 3323,3323,SP,NULL,199,252
PCT 3324,3324,SP,NULL,182,258
PCT 3325,3325,SP,NULL,194,340
PCT 3326,3326,SP,NULL,73,110
PCT 3327,3327,SP,NULL,131,197
PCT 3328,3328,SP,NULL,152,295
PCT 3329,3329,SP,NULL,131,224
PCT 4001,4001,SP,NULL,239,117
PCT 4002,4002,SP,NULL,350,152
PCT 4003,4003,SP,NULL,516,192
PCT 4004,4004,SP,NULL,410,142
PCT 4005,4005,SP,NULL,325,115
PCT 4006,4006,SP,NULL,465,176
PCT 4007,4007,SP,NULL,245,125
PCT 4008,4008,SP,NULL,254,96
PCT 4009,4009,SP,NULL,333,141
PCT 4010,4010,SP,NULL,315,137
PCT 4011,4011,SP,NULL,506,174
PCT 4012,4012,SP,NULL,549,201
PCT 4013,4013,SP,NULL,326,111
PCT 4014,4014,SP,NULL,193,128
PCT 4015,4015,SP,NULL,238,128
PCT 4016,4016,SP,NULL,338,170
PCT 4017,4017,SP,NULL,368,220
PCT 4018,4018,SP,NULL,222,116
PCT 4019,4019,SP,NULL,233,134
PCT 4020,4020,SP,NULL,350,181
PCT 4021,4021,SP,NULL,335,172
PCT 4022,4022,SP,NULL,285,158
PCT 4023,4023,SP,NULL,130,54
PCT 4024,4024,SP,NULL,246,111
PCT 4025,4025,SP,NULL,329,130
PCT 4026,4026,SP,NULL,318,97
PCT 4027,4027,SP,NULL,317,116
PCT 4028,4028,SP,NULL,441,211
PCT 4029,4029,SP,NULL,292,186
PCT 4030,4030,SP,NULL,209,131
PCT 4031,4031,SP,NULL,290,107
PCT 4032,4032,SP,NULL,203,102
PCT 4033,4033,SP,NULL,262,123
PCT 4034,4034,SP,NULL,257,127
PCT 4035,4035,SP,NULL,254,70
PCT 4200,4200,SP,NULL,192,183
PCT 4201,4201,SP,NULL,111,104
PCT 4300,4300,SP,NULL,282,110
PCT 4301,4301,SP,NULL,193,58
PCT 4302,4302,SP,NULL,319,170
PCT 4303,4303,SP,NULL,396,95
PCT 4304,4304,SP,NULL,216,127
PCT 4305,4305,SP,NULL,229,102
PCT 4306,4306,SP,NULL,365,131
PCT 4307,4307,SP,NULL,68,40
PCT 4400,4400,SP,NULL,275,198
PCT 4401,4401,SP,NULL,319,215
PCT 4402,4402,SP,NULL,244,203
PCT 4403,4403,SP,NULL,302,228
PCT 4404,4404,SP,NULL,350,187
PCT 4405,4405,SP,NULL,309,222
PCT 4406,4406,SP,NULL,239,223
PCT 4407,4407,SP,NULL,283,229
PCT 4408,4408,SP,NULL,458,179
PCT 4409,4409,SP,NULL,466,234
PCT 4410,4410,SP,NULL,352,201
PCT 4411,4411,SP,NULL,353,163
PCT 4412,4412,SP,NULL,260,123
PCT 4413,4413,SP,NULL,270,198
PCT 4414,4414,SP,NULL,365,203
PCT 4415,4415,SP,NULL,248,163
PCT 4416,4416,SP,NULL,275,183
PCT 4417,4417,SP,NULL,165,146
PCT 4418,4418,SP,NULL,294,187
PCT 4419,4419,SP,NULL,331,179
PCT 4420,4420,SP,NULL,126,93
PCT 4421,4421,SP,NULL,226,155
PCT 4422,4422,SP,NULL,296,200
PCT 4423,4423,SP,NULL,413,246
PCT 4424,4424,SP,NULL,303,165
PCT 4425,4425,SP,NULL,242,140
PCT 4426,4426,SP,NULL,177,101
PCT 4427,4427,SP,NULL,385,226
PCT 4428,4428,SP,NULL,216,128
PCT 4429,4429,SP,NULL,365,183
PCT 4430,4430,SP,NULL,319,203
PCT 4431,4431,SP,NULL,248,162
PCT 4432,4432,SP,NULL,311,202
PCT 4433,4433,SP,NULL,216,132
PCT 4434,4434,SP,NULL,487,220
PCT 4435,4435,SP,NULL,372,154
PCT 4436,4436,SP,NULL,510,179
PCT 4437,4437,SP,NULL,313,228
PCT 4438,4438,SP,NULL,457,191
PCT 4439,4439,SP,NULL,298,196
PCT 4440,4440,SP,NULL,338,187
PCT 4441,4441,SP,NULL,240,118
PCT 4442,4442,SP,NULL,214,132
PCT 4443,4443,SP,NULL,201,79
PCT 4444,4444,SP,NULL,348,184
PCT 4445,4445,SP,NULL,285,145
PCT 4446,4446,SP,NULL,163,116
PCT 4447,4447,SP,NULL,134,99
PCT 4448,4448,SP,NULL,230,163
PCT 4449,4449,SP,NULL,151,143
PCT 4450,4450,SP,NULL,140,105
PCT 4451,4451,SP,NULL,225,143
PCT 4452,4452,SP,NULL,264,118
PCT 4453,4453,SP,NULL,347,134
PCT 4454,4454,SP,NULL,180,167
PCT 4455,4455,SP,NULL,256,134
PCT 6000,6000,SP,NULL,245,99
PCT 6001,6001,SP,NULL,285,169
PCT 6002,6002,SP,NULL,85,40
PCT 6003,6003,SP,NULL,402,138
PCT 6004,6004,SP,NULL,208,137
PCT 6005,6005,SP,NULL,261,167
PCT 6006,6006,SP,NULL,293,175
PCT 6007,6007,SP,NULL,247,179
PCT 6008,6008,SP,NULL,233,148
PCT 6009,6009,SP,NULL,211,162
PCT 6010,6010,SP,NULL,47,14
PCT 6011,6011,SP,NULL,283,98
PCT 6012,6012,SP,NULL,210,78
PCT 6013,6013,SP,NULL,218,141
PCT 6014,6014,SP,NULL,168,85
PCT 6015,6015,SP,NULL,158,127
PCT 6016,6016,SP,NULL,209,91
PCT 6017,6017,SP,NULL,507,280
PCT 6018,6018,SP,NULL,424,228
PCT 6019,6019,SP,NULL,383,270
PCT 6020,6020,SP,NULL,370,341
PCT 6021,6021,SP,NULL,271,176
PCT 6022,6022,SP,NULL,306,187
PCT 6023,6023,SP,NULL,195,86
PCT 6024,6024,SP,NULL,192,105
PCT 6025,6025,SP,NULL,235,128
PCT 6026,6026,SP,NULL,435,253
PCT 6027,6027,SP,NULL,292,168
PCT 6028,6028,SP,NULL,246,136
PCT 6029,6029,SP,NULL,308,149
PCT 6030,6030,SP,NULL,446,226
PCT 6031,6031,SP,NULL,224,137
PCT 6032,6032,SP,NULL,238,63
PCT 6033,6033,SP,NULL,488,226
PCT 6034,6034,SP,NULL,395,140
PCT 6035,6035,SP,NULL,201,103
PCT 6036,6036,SP,NULL,201,94
PCT 6037,6037,SP,NULL,204,75
PCT 6100,6100,SP,NULL,158,113
PCT 6101,6101,SP,NULL,242,150
PCT 6102,6102,SP,NULL,243,155
PCT 6103,6103,SP,NULL,80,88
PCT 6104,6104,SP,NULL,154,157
PCT 6105,6105,SP,NULL,207,165
PCT 6106,6106,SP,NULL,278,254
PCT 6107,6107,SP,NULL,166,137
PCT 6108,6108,SP,NULL,171,170
PCT 6109,6109,SP,NULL,151,102
PCT 6200,6200,SP,NULL,288,314
PCT 6201,6201,SP,NULL,240,198
PCT 6202,6202,SP,NULL,240,266
PCT 6203,6203,SP,NULL,203,422
PCT 6204,6204,SP,NULL,271,463
PCT 6205,6205,SP,NULL,229,399
PCT 6206,6206,SP,NULL,245,397
PCT 6207,6207,SP,NULL,368,249
PCT 6208,6208,SP,NULL,273,339
PCT 6209,6209,SP,NULL,184,289
PCT 6210,6210,SP,NULL,332,274
PCT 6211,6211,SP,NULL,185,201
PCT 6212,6212,SP,NULL,141,164
PCT 6213,6213,SP,NULL,303,255
PCT 6214,6214,SP,NULL,237,221
PCT 6215,6215,SP,NULL,253,350
PCT 6216,6216,SP,NULL,274,240
PCT 6217,6217,SP,NULL,272,295
PCT 6218,6218,SP,NULL,293,188
PCT 6219,6219,SP,NULL,325,212
PCT 6220,6220,SP,NULL,365,212
PCT 6221,6221,SP,NULL,387,252
PCT 6222,6222,SP,NULL,322,104
PCT 6223,6223,SP,NULL,377,242
PCT 6224,6224,SP,NULL,244,251
PCT 6225,6225,SP,NULL,313,256
PCT 6300,6300,SP,NULL,486,279
PCT 6301,6301,SP,NULL,487,233
PCT 6302,6302,SP,NULL,218,131
PCT 6303,6303,SP,NULL,424,269
PCT 6304,6304,SP,NULL,401,247
PCT 6305,6305,SP,NULL,241,85
PCT 6306,6306,SP,NULL,319,142
PCT 6307,6307,SP,NULL,193,65
PCT 6308,6308,SP,NULL,180,108
PCT 6309,6309,SP,NULL,305,196
PCT 6310,6310,SP,NULL,240,190
PCT 6311,6311,SP,NULL,253,167
PCT 6312,6312,SP,NULL,254,164
PCT 6313,6313,SP,NULL,272,243
PCT 6314,6314,SP,NULL,259,200
PCT 6315,6315,SP,NULL,148,144
PCT 6316,6316,SP,NULL,129,98
PCT 6317,6317,SP,NULL,218,145
PCT 6318,6318,SP,NULL,268,137
PCT 6400,6400,SP,NULL,223,124
PCT 6401,6401,SP,NULL,120,84
PCT 6402,6402,SP,NULL,282,135
PCT 6500,6500,SP,NULL,73,35
PCT 6600,6600,SP,NULL,242,195
PCT 6601,6601,SP,NULL,279,106
PCT 6602,6602,SP,NULL,306,146
PCT 6700,6700,SP,NULL,250,165
PCT 6701,6701,SP,NULL,212,208
PCT 6702,6702,SP,NULL,157,154
PCT 6703,6703,SP,NULL,198,204
PCT 6704,6704,SP,NULL,271,167
PCT 7000,7000,SP,NULL,499,191
PCT 7001,7001,SP,NULL,266,133
PCT 7002,7002,SP,NULL,276,99
PCT 7003,7003,SP,NULL,373,147
PCT 7004,7004,SP,NULL,389,122
PCT 7005,7005,SP,NULL,494,245
PCT 7006,7006,SP,NULL,372,163
PCT 7007,7007,SP,NULL,308,160
PCT 7008,7008,SP,NULL,428,168
PCT 7009,7009,SP,NULL,469,212
PCT 7010,7010,SP,NULL,304,105
PCT 7011,7011,SP,NULL,239,77
PCT 7012,7012,SP,NULL,335,142
PCT 7013,7013,SP,NULL,374,89
PCT 7014,7014,SP,NULL,301,145
PCT 7015,7015,SP,NULL,337,145
PCT 7016,7016,SP,NULL,457,182
PCT 7017,7017,SP,NULL,383,131
PCT 7018,7018,SP,NULL,389,196
PCT 7019,7019,SP,NULL,323,134
PCT 7020,7020,SP,NULL,378,155
PCT 7021,7021,SP,NULL,195,104
PCT 7022,7022,SP,NULL,251,162
PCT 7023,7023,SP,NULL,237,171
PCT 7024,7024,SP,NULL,459,186
PCT 7025,7025,SP,NULL,307,154
PCT 7026,7026,SP,NULL,350,163
PCT 7027,7027,SP,NULL,234,160
PCT 7028,7028,SP,NULL,470,201
PCT 7029,7029,SP,NULL,258,185
PCT 7030,7030,SP,NULL,355,182
PCT 7031,7031,SP,NULL,276,177
PCT 7032,7032,SP,NULL,287,215
PCT 7033,7033,SP,NULL,197,130
PCT 7034,7034,SP,NULL,169,130
PCT 7035,7035,SP,NULL,210,105
PCT 7036,7036,SP,NULL,226,137
PCT 7300,7300,SP,NULL,282,131
PCT 7301,7301,SP,NULL,226,119
PCT 7302,7302,SP,NULL,222,104
PCT 9000,9000,SP,NULL,358,151
PCT 9001,9001,SP,NULL,255,149
PCT 9002,9002,SP,NULL,285,73
PCT 9003,9003,SP,NULL,190,55
PCT 9004,9004,SP,NULL,355,92
PCT 9005,9005,SP,NULL,144,31
PCT 9006,9006,SP,NULL,404,129
PCT 9007,9007,SP,NULL,103,30
PCT 9008,9008,SP,NULL,66,15
PCT 9300,9300,SP,NULL,61,28
PCT 9400,9400,SP,NULL,30,7
PCT 9500,9500,SP,NULL,109,50
PCT 9600,9600,SP,NULL,47,21
PCT 9700,9700,SP,NULL,113,44
