Row Label,PrecinctCode,County,Registered Voters,Al French,Mary Lou Johnson
PCT 4028,4028,SP,NULL,400,252
PCT 4029,4029,SP,NULL,306,183
PCT 4030,4030,SP,NULL,183,164
PCT 4031,4031,SP,NULL,302,116
PCT 4032,4032,SP,NULL,202,111
PCT 4033,4033,SP,NULL,250,135
PCT 4034,4034,SP,NULL,238,151
PCT 4035,4035,SP,NULL,234,94
PCT 4200,4200,SP,NULL,182,194
PCT 4201,4201,SP,NULL,94,128
PCT 4300,4300,SP,NULL,285,118
PCT 4301,4301,SP,NULL,193,67
PCT 4302,4302,SP,NULL,301,188
PCT 4303,4303,SP,NULL,367,121
PCT 4304,4304,SP,NULL,188,148
PCT 4305,4305,SP,NULL,218,116
PCT 4306,4306,SP,NULL,362,150
PCT 4307,4307,SP,NULL,67,39
PCT 4400,4400,SP,NULL,246,226
PCT 4401,4401,SP,NULL,305,239
PCT 4402,4402,SP,NULL,228,232
PCT 4403,4403,SP,NULL,275,249
PCT 4404,4404,SP,NULL,323,208
PCT 4405,4405,SP,NULL,301,242
PCT 4406,4406,SP,NULL,231,228
PCT 4407,4407,SP,NULL,247,264
PCT 4408,4408,SP,NULL,420,227
PCT 4409,4409,SP,NULL,441,267
PCT 4410,4410,SP,NULL,343,222
PCT 4411,4411,SP,NULL,320,202
PCT 4412,4412,SP,NULL,230,153
PCT 4413,4413,SP,NULL,256,216
PCT 4414,4414,SP,NULL,337,229
PCT 4415,4415,SP,NULL,229,181
PCT 4416,4416,SP,NULL,244,227
PCT 4417,4417,SP,NULL,155,154
PCT 4418,4418,SP,NULL,286,199
PCT 4419,4419,SP,NULL,299,209
PCT 4420,4420,SP,NULL,112,104
PCT 4421,4421,SP,NULL,189,191
PCT 4422,4422,SP,NULL,294,204
PCT 4423,4423,SP,NULL,394,270
PCT 4424,4424,SP,NULL,290,182
PCT 4425,4425,SP,NULL,230,153
PCT 4426,4426,SP,NULL,166,121
PCT 4427,4427,SP,NULL,350,254
PCT 4428,4428,SP,NULL,194,153
PCT 4429,4429,SP,NULL,332,218
PCT 4430,4430,SP,NULL,309,223
PCT 4431,4431,SP,NULL,231,180
PCT 4432,4432,SP,NULL,301,212
PCT 4433,4433,SP,NULL,190,159
PCT 4434,4434,SP,NULL,442,278
PCT 4435,4435,SP,NULL,343,194
PCT 4436,4436,SP,NULL,485,210
PCT 4437,4437,SP,NULL,293,256
PCT 4438,4438,SP,NULL,423,233
PCT 4439,4439,SP,NULL,295,200
PCT 4440,4440,SP,NULL,318,216
PCT 4441,4441,SP,NULL,234,129
PCT 4442,4442,SP,NULL,211,137
PCT 4443,4443,SP,NULL,185,95
PCT 4444,4444,SP,NULL,324,218
PCT 4445,4445,SP,NULL,272,170
PCT 4446,4446,SP,NULL,142,140
PCT 4447,4447,SP,NULL,128,104
PCT 4448,4448,SP,NULL,203,184
PCT 4449,4449,SP,NULL,149,153
PCT 4450,4450,SP,NULL,131,118
PCT 4451,4451,SP,NULL,217,155
PCT 4452,4452,SP,NULL,230,148
PCT 4453,4453,SP,NULL,317,174
PCT 4454,4454,SP,NULL,162,190
PCT 4455,4455,SP,NULL,226,166
PCT 6000,6000,SP,NULL,230,137
PCT 6001,6001,SP,NULL,254,218
PCT 6002,6002,SP,NULL,88,47
PCT 6003,6003,SP,NULL,377,173
PCT 6004,6004,SP,NULL,208,149
PCT 6005,6005,SP,NULL,237,200
PCT 6006,6006,SP,NULL,278,197
PCT 6007,6007,SP,NULL,245,193
PCT 6008,6008,SP,NULL,212,180
PCT 6009,6009,SP,NULL,201,186
PCT 6010,6010,SP,NULL,42,20
PCT 6011,6011,SP,NULL,256,136
PCT 6012,6012,SP,NULL,196,105
PCT 6013,6013,SP,NULL,198,164
PCT 6014,6014,SP,NULL,149,114
PCT 6015,6015,SP,NULL,132,157
PCT 6016,6016,SP,NULL,186,128
PCT 6017,6017,SP,NULL,465,342
PCT 6018,6018,SP,NULL,393,278
PCT 6019,6019,SP,NULL,357,315
PCT 6020,6020,SP,NULL,345,393
PCT 6021,6021,SP,NULL,250,211
PCT 6022,6022,SP,NULL,287,226
PCT 6023,6023,SP,NULL,190,94
PCT 6024,6024,SP,NULL,193,119
PCT 6025,6025,SP,NULL,210,163
PCT 6026,6026,SP,NULL,407,297
PCT 6027,6027,SP,NULL,254,211
PCT 6028,6028,SP,NULL,231,157
PCT 6029,6029,SP,NULL,289,173
PCT 6030,6030,SP,NULL,426,264
PCT 6031,6031,SP,NULL,207,163
PCT 6032,6032,SP,NULL,232,77
PCT 6033,6033,SP,NULL,470,265
PCT 6034,6034,SP,NULL,367,177
PCT 6035,6035,SP,NULL,189,117
PCT 6036,6036,SP,NULL,187,119
PCT 6037,6037,SP,NULL,191,90
PCT 6100,6100,SP,NULL,150,128
PCT 6101,6101,SP,NULL,221,174
PCT 6102,6102,SP,NULL,224,185
PCT 6103,6103,SP,NULL,84,85
PCT 6104,6104,SP,NULL,133,181
PCT 6105,6105,SP,NULL,177,197
PCT 6106,6106,SP,NULL,271,278
PCT 6107,6107,SP,NULL,159,154
PCT 6108,6108,SP,NULL,163,190
PCT 6109,6109,SP,NULL,138,121
PCT 6200,6200,SP,NULL,259,355
PCT 6201,6201,SP,NULL,196,246
PCT 6202,6202,SP,NULL,218,299
PCT 6203,6203,SP,NULL,177,481
PCT 6204,6204,SP,NULL,219,529
PCT 6205,6205,SP,NULL,194,453
PCT 6206,6206,SP,NULL,232,420
PCT 6207,6207,SP,NULL,353,283
PCT 6208,6208,SP,NULL,243,388
PCT 6209,6209,SP,NULL,174,304
PCT 6210,6210,SP,NULL,305,328
PCT 6211,6211,SP,NULL,185,214
PCT 6212,6212,SP,NULL,144,165
PCT 6213,6213,SP,NULL,285,294
PCT 6214,6214,SP,NULL,217,255
PCT 6215,6215,SP,NULL,238,375
PCT 6216,6216,SP,NULL,257,271
PCT 6217,6217,SP,NULL,240,337
PCT 6218,6218,SP,NULL,278,231
PCT 6219,6219,SP,NULL,316,246
PCT 6220,6220,SP,NULL,366,241
PCT 6221,6221,SP,NULL,382,281
PCT 6222,6222,SP,NULL,308,134
PCT 6223,6223,SP,NULL,343,280
PCT 6224,6224,SP,NULL,239,268
PCT 6225,6225,SP,NULL,286,296
PCT 6300,6300,SP,NULL,435,344
PCT 6301,6301,SP,NULL,461,286
PCT 6302,6302,SP,NULL,203,154
PCT 6303,6303,SP,NULL,384,335
PCT 6304,6304,SP,NULL,380,281
PCT 6305,6305,SP,NULL,215,108
PCT 6306,6306,SP,NULL,310,173
PCT 6307,6307,SP,NULL,181,90
PCT 6308,6308,SP,NULL,171,129
PCT 6309,6309,SP,NULL,305,216
PCT 6310,6310,SP,NULL,219,217
PCT 6311,6311,SP,NULL,230,195
PCT 6312,6312,SP,NULL,247,171
PCT 6313,6313,SP,NULL,247,290
PCT 6314,6314,SP,NULL,239,234
PCT 6315,6315,SP,NULL,147,158
PCT 6316,6316,SP,NULL,126,116
PCT 6317,6317,SP,NULL,202,176
PCT 6318,6318,SP,NULL,250,172
PCT 6400,6400,SP,NULL,187,162
PCT 6401,6401,SP,NULL,108,95
PCT 6402,6402,SP,NULL,246,176
PCT 6500,6500,SP,NULL,68,37
PCT 6600,6600,SP,NULL,233,210
PCT 6601,6601,SP,NULL,263,124
PCT 6602,6602,SP,NULL,282,176
PCT 6700,6700,SP,NULL,231,191
PCT 6701,6701,SP,NULL,174,251
PCT 6702,6702,SP,NULL,150,168
PCT 6703,6703,SP,NULL,191,221
PCT 6704,6704,SP,NULL,238,196
PCT 7000,7000,SP,NULL,468,239
PCT 7001,7001,SP,NULL,252,161
PCT 7002,7002,SP,NULL,255,122
PCT 7003,7003,SP,NULL,351,179
PCT 7004,7004,SP,NULL,362,142
PCT 7005,7005,SP,NULL,472,266
PCT 7006,7006,SP,NULL,354,182
PCT 7007,7007,SP,NULL,294,174
PCT 7008,7008,SP,NULL,406,192
PCT 7009,7009,SP,NULL,450,240
PCT 7010,7010,SP,NULL,285,129
PCT 7011,7011,SP,NULL,229,87
PCT 7012,7012,SP,NULL,321,169
PCT 7013,7013,SP,NULL,359,112
PCT 7014,7014,SP,NULL,280,188
PCT 7015,7015,SP,NULL,312,176
PCT 7016,7016,SP,NULL,406,240
PCT 7017,7017,SP,NULL,374,154
PCT 7018,7018,SP,NULL,365,234
PCT 7019,7019,SP,NULL,306,161
PCT 7020,7020,SP,NULL,356,190
PCT 7021,7021,SP,NULL,183,117
PCT 7022,7022,SP,NULL,228,198
PCT 7023,7023,SP,NULL,226,183
PCT 7024,7024,SP,NULL,451,208
PCT 7025,7025,SP,NULL,284,183
PCT 7026,7026,SP,NULL,327,198
PCT 7027,7027,SP,NULL,220,178
PCT 7028,7028,SP,NULL,459,225
PCT 7029,7029,SP,NULL,252,189
PCT 7030,7030,SP,NULL,332,213
PCT 7031,7031,SP,NULL,254,206
PCT 7032,7032,SP,NULL,259,253
PCT 7033,7033,SP,NULL,200,131
PCT 7034,7034,SP,NULL,160,144
PCT 7035,7035,SP,NULL,188,128
PCT 7036,7036,SP,NULL,217,167
PCT 7300,7300,SP,NULL,267,149
PCT 7301,7301,SP,NULL,211,140
PCT 7302,7302,SP,NULL,205,126
PCT 9000,9000,SP,NULL,343,169
PCT 9001,9001,SP,NULL,226,175
PCT 9002,9002,SP,NULL,257,102
PCT 9003,9003,SP,NULL,183,63
PCT 9004,9004,SP,NULL,340,115
PCT 9005,9005,SP,NULL,143,30
PCT 9006,9006,SP,NULL,388,146
PCT 9007,9007,SP,NULL,104,32
PCT 9008,9008,SP,NULL,64,19
PCT 9300,9300,SP,NULL,59,28
PCT 9400,9400,SP,NULL,28,10
PCT 9500,9500,SP,NULL,97,58
PCT 9600,9600,SP,NULL,50,20
PCT 9700,9700,SP,NULL,87,71
