Row Label,PrecinctCode,County,Registered Voters,Linda Enlow,Yvonne L. Pettus
Four Corners,179,TH,NULL,240,147
Stedman,180,TH,NULL,95,95
Munn Lake,182,TH,NULL,90,69
Beach Crest,183,TH,NULL,117,79
Scheller,184,TH,NULL,79,52
Fair Oaks,185,TH,NULL,110,94
Wilderness,186,TH,NULL,189,172
Mullen,187,TH,NULL,154,138
Sleater Kinney,189,TH,NULL,138,112
Lakeside,190,TH,NULL,85,59
Gallagher Cove,191,TH,NULL,220,193
East Olympia,192,TH,NULL,136,109
Berry Valley,193,TH,NULL,113,91
Hartwood,194,TH,NULL,224,203
Libby,195,TH,NULL,127,105
Meadows,196,TH,NULL,118,94
Summerset,197,TH,NULL,230,192
Henness,198,TH,NULL,218,188
Beaver Creek,199,TH,NULL,266,196
Olympia 01,201,TH,NULL,136,107
Olympia 02,202,TH,NULL,159,84
Olympia 03,203,TH,NULL,136,122
Olympia 04,204,TH,NULL,141,92
Olympia 05,205,TH,NULL,127,101
Olympia 06,206,TH,NULL,246,179
Olympia 07,207,TH,NULL,94,50
Olympia 08,208,TH,NULL,121,126
Olympia 09,209,TH,NULL,242,197
Olympia 10,210,TH,NULL,161,143
Olympia 11,211,TH,NULL,142,105
Olympia 12,212,TH,NULL,68,60
Olympia 13,213,TH,NULL,155,119
Olympia 14,214,TH,NULL,137,100
Olympia 15,215,TH,NULL,118,96
Olympia 16,216,TH,NULL,30,18
Olympia 17,217,TH,NULL,81,92
Olympia 18,218,TH,NULL,114,139
Olympia 19,219,TH,NULL,126,93
Olympia 20,220,TH,NULL,76,60
Olympia 21,221,TH,NULL,207,171
Olympia 23,223,TH,NULL,168,138
Olympia 24,224,TH,NULL,152,94
Olympia 25,225,TH,NULL,75,123
Olympia 26,226,TH,NULL,134,117
Olympia 27,227,TH,NULL,79,45
Olympia 28,228,TH,NULL,141,127
Olympia 29,229,TH,NULL,132,168
Olympia 30,230,TH,NULL,117,119
Olympia 31,231,TH,NULL,86,131
Olympia 32,232,TH,NULL,188,136
Olympia 35,235,TH,NULL,235,245
Olympia 36,236,TH,NULL,57,41
Olympia 37,237,TH,NULL,101,78
Olympia 38,238,TH,NULL,45,25
Olympia 39,239,TH,NULL,139,114
Olympia 40,240,TH,NULL,123,108
Olympia 41,241,TH,NULL,151,124
Olympia 42,242,TH,NULL,103,71
Olympia 43,243,TH,NULL,195,132
Olympia 44,244,TH,NULL,63,65
Olympia 45,245,TH,NULL,90,69
Olympia 46,246,TH,NULL,127,106
Olympia 47,247,TH,NULL,157,145
Olympia 48,248,TH,NULL,171,154
Olympia 49,249,TH,NULL,149,144
Olympia 50,250,TH,NULL,113,96
Olympia 51,251,TH,NULL,26,32
Olympia 52,252,TH,NULL,71,77
Olympia 53,253,TH,NULL,132,105
Olympia 54,254,TH,NULL,98,76
Olympia 55,255,TH,NULL,87,52
Olympia 56,256,TH,NULL,126,100
Olympia 57,257,TH,NULL,69,62
Olympia 58,258,TH,NULL,145,100
Olympia 59,259,TH,NULL,118,108
Olympia 60,260,TH,NULL,88,66
Lacey 01,301,TH,NULL,60,45
Lacey 02,302,TH,NULL,105,74
Lacey 03,303,TH,NULL,124,96
Lacey 04,304,TH,NULL,72,52
Lacey 05,305,TH,NULL,100,71
Lacey 06,306,TH,NULL,56,36
Lacey 07,307,TH,NULL,103,102
Lacey 08,308,TH,NULL,75,78
Lacey 09,309,TH,NULL,61,58
Lacey 10,310,TH,NULL,177,137
Lacey 11,311,TH,NULL,137,116
Lacey 13,313,TH,NULL,63,58
Lacey 14,314,TH,NULL,64,29
Lacey 15,315,TH,NULL,133,102
Lacey 16,316,TH,NULL,135,95
Lacey 17,317,TH,NULL,135,89
Lacey 18,318,TH,NULL,158,117
Lacey 19,319,TH,NULL,97,69
Lacey 20,320,TH,NULL,57,41
Lacey 21,321,TH,NULL,77,55
Lacey 22,322,TH,NULL,94,70
Lacey 23,323,TH,NULL,65,44
Lacey 24,324,TH,NULL,192,127
Lacey 27,327,TH,NULL,139,84
Lacey 28,328,TH,NULL,79,81
Lacey 29,329,TH,NULL,170,110
Lacey 30,330,TH,NULL,176,168
Lacey 31,331,TH,NULL,93,83
Lacey 32,332,TH,NULL,159,95
Lacey 33,333,TH,NULL,77,58
Lacey 34,334,TH,NULL,86,55
Lacey 35,335,TH,NULL,50,40
Lacey 36,336,TH,NULL,89,65
Lacey 37,337,TH,NULL,44,33
Lacey 39,339,TH,NULL,238,154
Lacey 40,340,TH,NULL,179,121
Lacey 41,341,TH,NULL,132,92
Lacey 42,342,TH,NULL,52,30
Lacey 43,343,TH,NULL,166,114
Lacey 44,344,TH,NULL,57,47
Lacey 45,345,TH,NULL,83,47
Lacey 46,346,TH,NULL,275,287
Lacey 47,347,TH,NULL,192,237
Lacey 48,348,TH,NULL,96,71
Lacey 49,349,TH,NULL,67,83
Tumwater 01,401,TH,NULL,107,77
Tumwater 02,402,TH,NULL,143,100
Tumwater 03,403,TH,NULL,156,112
Tumwater 04,404,TH,NULL,98,76
Tumwater 05,405,TH,NULL,114,79
Tumwater 06,406,TH,NULL,237,196
Tumwater 07,407,TH,NULL,101,103
Tumwater 08,408,TH,NULL,161,133
Tumwater 09,409,TH,NULL,102,70
Tumwater 10,410,TH,NULL,205,131
Tumwater 11,411,TH,NULL,203,186
Tumwater 12,412,TH,NULL,140,125
Tumwater 13,413,TH,NULL,77,31
Tumwater 14,414,TH,NULL,66,58
Tumwater 15,415,TH,NULL,188,137
Tumwater 24,424,TH,NULL,110,76
Tumwater 27,427,TH,NULL,151,108
Tumwater 28,428,TH,NULL,234,144
Tumwater 29,429,TH,NULL,0,0
Tenino 01,501,TH,NULL,81,82
Tenino 02,502,TH,NULL,89,81
Rainier 01,601,TH,NULL,121,74
Rainier 02,602,TH,NULL,90,52
Yelm 1,701,TH,NULL,142,73
Yelm 2,702,TH,NULL,138,87
Yelm 3,703,TH,NULL,177,77
Yelm 4,704,TH,NULL,162,120
Bucoda,801,TH,NULL,76,40
