Row Label,PrecinctCode,County,Registered Voters,Scott D. Furman,Les V. Stokes
OMAK #5,113,OK,NULL,39,17
OMAK #6,114,OK,NULL,36,13
OMAK #7,115,OK,NULL,39,9
OMAK #8,116,OK,NULL,24,3
OMAK #9,117,OK,NULL,60,14
OROVILLE #1,118,OK,NULL,33,15
OROVILLE #2,119,OK,NULL,20,8
OROVILLE #3,120,OK,NULL,16,14
TONASKET #1,121,OK,NULL,24,8
TONASKET #2,122,OK,NULL,31,13
TONASKET #3,123,OK,NULL,12,10
BREWSTER #1,124,OK,NULL,9,18
BREWSTER #2,125,OK,NULL,33,35
PATEROS #1,126,OK,NULL,15,25
PATEROS #2,127,OK,NULL,16,24
TWISP #1,128,OK,NULL,54,37
TWISP #2,129,OK,NULL,42,28
WINTHROP #1,130,OK,NULL,73,28
CONCONULLY CITY,131,OK,NULL,57,35
COULEE DAM #4,132,OK,NULL,33,9
ELMER CITY,133,OK,NULL,55,23
RIVERSIDE CITY,134,OK,NULL,47,24
TWISP #3,135,OK,NULL,53,28
TWISP #4,136,OK,NULL,21,12
WINTHROP #2,137,OK,NULL,58,14
SHORELINE,138,OK,NULL,18,17
SIMILKAMEEN,139,OK,NULL,16,15
TEAL LAKE,140,OK,NULL,22,17
TONASKET CREEK,141,OK,NULL,11,27
OROVILLE #4,142,OK,NULL,22,19
OROVILLE #5,143,OK,NULL,24,20
OROVILLE #6,144,OK,NULL,15,9
OROVILLE #7,145,OK,NULL,16,14
OROVILLE #8,146,OK,NULL,24,15
OROVILLE #9,147,OK,NULL,23,12
OROVILLE #10,148,OK,NULL,31,15
JENNINGS LOOP,149,OK,NULL,16,10
BLUE LAKE,150,OK,NULL,32,28
AENEAS CREEK,151,OK,NULL,22,32
AENEAS LAKE,152,OK,NULL,28,48
ANTOINE CREEK,153,OK,NULL,24,16
ANTOINE PEAK,154,OK,NULL,18,12
CAPE LABELLE,155,OK,NULL,18,19
CAYUSE MTN,156,OK,NULL,22,8
CHEWILIKEN,157,OK,NULL,21,9
DUFFYS MTN,158,OK,NULL,20,11
FRONTAGE,159,OK,NULL,11,7
GUSTY RIDGE,160,OK,NULL,30,11
LONGANECKER,161,OK,NULL,24,10
NORTH TONASKET,162,OK,NULL,49,31
PICKENS MTN,163,OK,NULL,32,13
RANCHES,164,OK,NULL,19,8
SIWASH CREEK,165,OK,NULL,25,30
SPECTACLE LAKE,166,OK,NULL,21,29
HIGHWAY,167,OK,NULL,16,10
WHISKY MTN,168,OK,NULL,11,8
YARNELL,169,OK,NULL,15,19
TONASKET #4,170,OK,NULL,29,14
TONASKET #5,171,OK,NULL,22,19
TONASKET #6,172,OK,NULL,15,12
TONASKET #7,173,OK,NULL,23,29
LEECHER MTN,174,OK,NULL,42,31
ALTA LAKE,175,OK,NULL,28,28
STARR,176,OK,NULL,7,29
PATEROS #3,177,OK,NULL,14,18
RAT LAKE,178,OK,NULL,10,25
BREWSTER FLAT,179,OK,NULL,29,17
BREWSTER #3,180,OK,NULL,23,18
BREWSTER #4,181,OK,NULL,10,11
BREWSTER #5,182,OK,NULL,15,14
BREWSTER #6,183,OK,NULL,14,7
PIONEER,184,OK,NULL,26,25
COLEMAN BUTTE,185,OK,NULL,43,11
ASTON,186,OK,NULL,28,12
WEST RIVER,187,OK,NULL,22,18
OMAK RIVER,188,OK,NULL,30,25
CHEROKEE,189,OK,NULL,43,27
NICHOLS,190,OK,NULL,18,13
LONE PINE,191,OK,NULL,30,4
OMAK MTN,192,OK,NULL,21,7
OMAK LAKE,193,OK,NULL,29,11
FIKER,194,OK,NULL,28,21
ROSS CANYON,195,OK,NULL,39,16
HENDRICK,196,OK,NULL,53,22
DIXON,197,OK,NULL,40,22
KERMEL,198,OK,NULL,30,26
GLOVER,199,OK,NULL,52,16
FLETCHER,200,OK,NULL,37,17
MOCK,201,OK,NULL,41,14
OMAK #10,202,OK,NULL,34,19
OMAK #11,203,OK,NULL,51,25
OMAK #12,204,OK,NULL,38,21
OMAK #13,205,OK,NULL,29,14
OMAK #14,206,OK,NULL,25,9
OMAK #15,207,OK,NULL,49,23
OMAK #16,208,OK,NULL,45,5
OMAK #17,209,OK,NULL,55,21
OMAK #18,210,OK,NULL,25,7
OMAK #19,211,OK,NULL,25,13
OMAK #20,212,OK,NULL,32,24
OMAK #21,213,OK,NULL,25,5
OMAK #22,214,OK,NULL,35,14
OMAK #23,215,OK,NULL,17,8
OMAK #24,216,OK,NULL,27,10
OKANOGAN #5,217,OK,NULL,50,4
OKANOGAN #6,218,OK,NULL,42,18
OKANOGAN #7,219,OK,NULL,21,4
OKANOGAN #8,220,OK,NULL,31,12
OKANOGAN #9,221,OK,NULL,37,17
OKANOGAN #10,222,OK,NULL,51,15
OKANOGAN #11,223,OK,NULL,45,10
OKANOGAN #12,224,OK,NULL,34,4
OKANOGAN #13,225,OK,NULL,19,10
AVIATION,226,OK,NULL,25,14
SUNSET LAKES,236,OK,NULL,8,11
FLATS,237,OK,NULL,28,15
