Row Label,PrecinctCode,County,Registered Voters,Rob Chase,Amy Biviano
PCT 6223,6223,SP,NULL,312,295
PCT 6224,6224,SP,NULL,252,244
PCT 6225,6225,SP,NULL,302,271
PCT 6300,6300,SP,NULL,454,308
PCT 6301,6301,SP,NULL,454,269
PCT 6302,6302,SP,NULL,206,142
PCT 6303,6303,SP,NULL,392,295
PCT 6304,6304,SP,NULL,377,264
PCT 6305,6305,SP,NULL,206,109
PCT 6306,6306,SP,NULL,312,145
PCT 6307,6307,SP,NULL,185,74
PCT 6308,6308,SP,NULL,176,112
PCT 6309,6309,SP,NULL,294,202
PCT 6310,6310,SP,NULL,226,204
PCT 6311,6311,SP,NULL,236,176
PCT 6312,6312,SP,NULL,236,181
PCT 6313,6313,SP,NULL,264,254
PCT 6314,6314,SP,NULL,252,203
PCT 6315,6315,SP,NULL,148,145
PCT 6316,6316,SP,NULL,112,122
PCT 6317,6317,SP,NULL,212,152
PCT 6318,6318,SP,NULL,250,157
PCT 6400,6400,SP,NULL,206,137
PCT 6401,6401,SP,NULL,118,85
PCT 6402,6402,SP,NULL,252,165
PCT 6500,6500,SP,NULL,79,28
PCT 6600,6600,SP,NULL,241,191
PCT 6601,6601,SP,NULL,275,105
PCT 6602,6602,SP,NULL,291,161
PCT 6700,6700,SP,NULL,234,180
PCT 6701,6701,SP,NULL,191,223
PCT 6702,6702,SP,NULL,142,167
PCT 6703,6703,SP,NULL,179,219
PCT 6704,6704,SP,NULL,241,190
PCT 7000,7000,SP,NULL,478,211
PCT 7001,7001,SP,NULL,258,133
PCT 7002,7002,SP,NULL,272,103
PCT 7003,7003,SP,NULL,380,140
PCT 7004,7004,SP,NULL,374,140
PCT 7005,7005,SP,NULL,492,246
PCT 7006,7006,SP,NULL,358,180
PCT 7007,7007,SP,NULL,301,160
PCT 7008,7008,SP,NULL,412,188
PCT 7009,7009,SP,NULL,459,221
PCT 7010,7010,SP,NULL,292,122
PCT 7011,7011,SP,NULL,238,80
PCT 7012,7012,SP,NULL,333,147
PCT 7013,7013,SP,NULL,351,106
PCT 7014,7014,SP,NULL,289,164
PCT 7015,7015,SP,NULL,316,158
PCT 7016,7016,SP,NULL,402,224
PCT 7017,7017,SP,NULL,357,155
PCT 7018,7018,SP,NULL,370,212
PCT 7019,7019,SP,NULL,296,156
PCT 7020,7020,SP,NULL,360,179
PCT 7021,7021,SP,NULL,193,111
PCT 7022,7022,SP,NULL,232,173
PCT 7023,7023,SP,NULL,227,180
PCT 7024,7024,SP,NULL,430,213
PCT 7025,7025,SP,NULL,304,161
PCT 7026,7026,SP,NULL,323,188
PCT 7027,7027,SP,NULL,241,157
PCT 7028,7028,SP,NULL,458,207
PCT 7029,7029,SP,NULL,256,190
PCT 7030,7030,SP,NULL,337,193
PCT 7031,7031,SP,NULL,273,182
PCT 7032,7032,SP,NULL,278,219
PCT 7033,7033,SP,NULL,189,128
PCT 7034,7034,SP,NULL,173,126
PCT 7035,7035,SP,NULL,203,116
PCT 7036,7036,SP,NULL,205,157
PCT 7300,7300,SP,NULL,285,126
PCT 7301,7301,SP,NULL,231,114
PCT 7302,7302,SP,NULL,220,111
PCT 9000,9000,SP,NULL,353,155
PCT 9001,9001,SP,NULL,245,156
PCT 9002,9002,SP,NULL,277,73
PCT 9003,9003,SP,NULL,190,60
PCT 9004,9004,SP,NULL,326,123
PCT 9005,9005,SP,NULL,144,29
PCT 9006,9006,SP,NULL,401,124
PCT 9007,9007,SP,NULL,113,24
PCT 9008,9008,SP,NULL,69,14
PCT 9300,9300,SP,NULL,68,25
PCT 9400,9400,SP,NULL,27,10
PCT 9500,9500,SP,NULL,106,53
PCT 9600,9600,SP,NULL,52,17
PCT 9700,9700,SP,NULL,98,60
