Row Label,PrecinctCode,County,Registered Voters,John Snaza
Ruth Prairie,127,TH,NULL,132
Weir Prairie,128,TH,NULL,271
College,129,TH,NULL,28
Bald Hills,130,TH,NULL,77
Hunter Point,131,TH,NULL,168
Griffin,132,TH,NULL,231
Schneiders Prairie,133,TH,NULL,207
Cooper Point,134,TH,NULL,240
Butler Cove,135,TH,NULL,240
Broadway,136,TH,NULL,307
Plainview,139,TH,NULL,367
Mud Bay,140,TH,NULL,219
Mclane,141,TH,NULL,182
Bush Prairie,143,TH,NULL,70
Black Lake,144,TH,NULL,328
Delphi,145,TH,NULL,239
South Union,146,TH,NULL,335
Plumb,147,TH,NULL,278
Scatter Creek,148,TH,NULL,195
Mcintosh,149,TH,NULL,442
Violet Prairie,150,TH,NULL,317
Littlerock,151,TH,NULL,418
Rochester 1,153,TH,NULL,335
Rochester 2,154,TH,NULL,262
Scott Lake North,155,TH,NULL,125
Grand Mound,156,TH,NULL,124
Gibson Valley,157,TH,NULL,41
Skookumchuck,158,TH,NULL,268
Johnson Point,160,TH,NULL,328
Wards,161,TH,NULL,109
Thompson,162,TH,NULL,164
Smith Lake,163,TH,NULL,245
Evergreen Shores,164,TH,NULL,221
Sunwood Lakes,165,TH,NULL,388
Eaton Creek,166,TH,NULL,165
Hawks Ridge,167,TH,NULL,106
Holmes,168,TH,NULL,226
Mcallister Creek,169,TH,NULL,220
Rochester 3,170,TH,NULL,274
Waddell Creek,171,TH,NULL,223
Tykle Cove,172,TH,NULL,229
Camelot,173,TH,NULL,162
French,174,TH,NULL,260
Sunset Beach,175,TH,NULL,268
Henderson,176,TH,NULL,356
Pattison,178,TH,NULL,263
Four Corners,179,TH,NULL,413
Stedman,180,TH,NULL,171
Munn Lake,182,TH,NULL,163
Beach Crest,183,TH,NULL,199
Scheller,184,TH,NULL,121
Fair Oaks,185,TH,NULL,174
Wilderness,186,TH,NULL,352
Mullen,187,TH,NULL,305
Sleater Kinney,189,TH,NULL,229
Lakeside,190,TH,NULL,130
Gallagher Cove,191,TH,NULL,388
East Olympia,192,TH,NULL,254
Berry Valley,193,TH,NULL,229
Hartwood,194,TH,NULL,446
Libby,195,TH,NULL,198
Meadows,196,TH,NULL,205
Summerset,197,TH,NULL,433
Henness,198,TH,NULL,471
Beaver Creek,199,TH,NULL,497
Olympia 01,201,TH,NULL,205
Olympia 02,202,TH,NULL,223
Olympia 03,203,TH,NULL,222
Olympia 04,204,TH,NULL,205
Olympia 05,205,TH,NULL,178
Olympia 06,206,TH,NULL,369
Olympia 07,207,TH,NULL,125
Olympia 08,208,TH,NULL,212
Olympia 09,209,TH,NULL,406
Olympia 10,210,TH,NULL,210
Olympia 11,211,TH,NULL,167
Olympia 12,212,TH,NULL,131
Olympia 13,213,TH,NULL,203
Olympia 14,214,TH,NULL,199
Olympia 15,215,TH,NULL,145
Olympia 16,216,TH,NULL,46
Olympia 17,217,TH,NULL,164
Olympia 18,218,TH,NULL,184
Olympia 19,219,TH,NULL,198
Olympia 20,220,TH,NULL,92
Olympia 21,221,TH,NULL,281
Olympia 23,223,TH,NULL,226
Olympia 24,224,TH,NULL,186
Olympia 25,225,TH,NULL,164
Olympia 26,226,TH,NULL,174
Olympia 27,227,TH,NULL,106
Olympia 28,228,TH,NULL,206
Olympia 29,229,TH,NULL,257
Olympia 30,230,TH,NULL,178
Olympia 31,231,TH,NULL,186
Olympia 32,232,TH,NULL,287
Olympia 35,235,TH,NULL,418
Olympia 36,236,TH,NULL,85
Olympia 37,237,TH,NULL,144
Olympia 38,238,TH,NULL,63
Olympia 39,239,TH,NULL,205
Olympia 40,240,TH,NULL,171
Olympia 41,241,TH,NULL,192
Olympia 42,242,TH,NULL,122
Olympia 43,243,TH,NULL,229
Olympia 44,244,TH,NULL,96
Olympia 45,245,TH,NULL,146
Olympia 46,246,TH,NULL,228
Olympia 47,247,TH,NULL,273
Olympia 48,248,TH,NULL,268
Olympia 49,249,TH,NULL,204
Olympia 50,250,TH,NULL,177
Olympia 51,251,TH,NULL,54
Olympia 52,252,TH,NULL,114
Olympia 53,253,TH,NULL,216
Olympia 54,254,TH,NULL,127
Olympia 55,255,TH,NULL,121
Olympia 56,256,TH,NULL,218
Olympia 57,257,TH,NULL,104
Olympia 58,258,TH,NULL,243
Olympia 59,259,TH,NULL,189
Olympia 60,260,TH,NULL,146
Lacey 01,301,TH,NULL,98
Lacey 02,302,TH,NULL,169
Lacey 03,303,TH,NULL,192
Lacey 04,304,TH,NULL,122
Lacey 05,305,TH,NULL,147
Lacey 06,306,TH,NULL,91
Lacey 07,307,TH,NULL,179
Lacey 08,308,TH,NULL,134
Lacey 09,309,TH,NULL,122
Lacey 10,310,TH,NULL,295
Lacey 11,311,TH,NULL,223
Lacey 13,313,TH,NULL,121
Lacey 14,314,TH,NULL,85
Lacey 15,315,TH,NULL,224
Lacey 16,316,TH,NULL,219
Lacey 17,317,TH,NULL,239
Lacey 18,318,TH,NULL,259
Lacey 19,319,TH,NULL,155
Lacey 20,320,TH,NULL,91
Lacey 21,321,TH,NULL,118
Lacey 22,322,TH,NULL,159
Lacey 23,323,TH,NULL,99
Lacey 24,324,TH,NULL,329
Lacey 27,327,TH,NULL,213
Lacey 28,328,TH,NULL,136
Lacey 29,329,TH,NULL,265
Lacey 30,330,TH,NULL,330
Lacey 31,331,TH,NULL,193
Lacey 32,332,TH,NULL,262
Lacey 33,333,TH,NULL,124
Lacey 34,334,TH,NULL,135
Lacey 35,335,TH,NULL,90
Lacey 36,336,TH,NULL,155
Lacey 37,337,TH,NULL,69
Lacey 39,339,TH,NULL,377
Lacey 40,340,TH,NULL,284
Lacey 41,341,TH,NULL,225
Lacey 42,342,TH,NULL,79
Lacey 43,343,TH,NULL,280
Lacey 44,344,TH,NULL,110
Lacey 45,345,TH,NULL,120
Lacey 46,346,TH,NULL,556
Lacey 47,347,TH,NULL,406
Lacey 48,348,TH,NULL,155
Lacey 49,349,TH,NULL,146
Tumwater 01,401,TH,NULL,178
Tumwater 02,402,TH,NULL,222
Tumwater 03,403,TH,NULL,269
Tumwater 04,404,TH,NULL,158
Tumwater 05,405,TH,NULL,171
Tumwater 06,406,TH,NULL,389
Tumwater 07,407,TH,NULL,198
Tumwater 08,408,TH,NULL,267
Tumwater 09,409,TH,NULL,167
Tumwater 10,410,TH,NULL,313
Tumwater 11,411,TH,NULL,345
Tumwater 12,412,TH,NULL,235
Tumwater 13,413,TH,NULL,101
Tumwater 14,414,TH,NULL,114
Tumwater 15,415,TH,NULL,280
Tumwater 24,424,TH,NULL,182
Tumwater 27,427,TH,NULL,245
Tumwater 28,428,TH,NULL,324
Tumwater 29,429,TH,NULL,0
Tenino 01,501,TH,NULL,150
Tenino 02,502,TH,NULL,175
Rainier 01,601,TH,NULL,197
Rainier 02,602,TH,NULL,156
Yelm 1,701,TH,NULL,243
Yelm 2,702,TH,NULL,241
Yelm 3,703,TH,NULL,293
Yelm 4,704,TH,NULL,253
Bucoda,801,TH,NULL,112
