Row Label,PrecinctCode,County,Registered Voters,Greg Sandstrom,Jeff Wallis
RIDGETOP 149,100149,KP,NULL,235,112
MEADOWDALE 150,100150,KP,NULL,279,85
SYMINGTON 151,100151,KP,NULL,186,71
PIONEER 152,100152,KP,NULL,433,153
LARSON 153,100153,KP,NULL,408,168
SEABECK 155,100155,KP,NULL,515,169
LOST HIGHWAY 157,100157,KP,NULL,330,180
HOLLY 158,100158,KP,NULL,84,44
BREMERTON 159,100159,KP,NULL,165,87
SILVERDALE 160,100160,KP,NULL,332,158
MORKEN 161,100161,KP,NULL,427,195
APEX 162,100162,KP,NULL,399,166
ANDERSON CREEK 163,100163,KP,NULL,300,106
EAGLE CREST 164,100164,KP,NULL,433,122
SUTTON 165,100165,KP,NULL,216,90
TRACYTON 170,100170,KP,NULL,243,95
VENA 173,100173,KP,NULL,268,137
FUSON 175,100175,KP,NULL,288,144
PORT ORCHARD 200,100200,KP,NULL,154,74
PORT ORCHARD 201,100201,KP,NULL,285,123
PORT ORCHARD 202,100202,KP,NULL,368,150
PORT ORCHARD 203,100203,KP,NULL,160,79
PORT ORCHARD 204,100204,KP,NULL,256,138
PORT ORCHARD 205,100205,KP,NULL,734,213
PORT ORCHARD 206,100206,KP,NULL,0,0
PORT ORCHARD 207,100207,KP,NULL,291,137
PORT ORCHARD 208,100208,KP,NULL,0,0
PORT ORCHARD 209,100209,KP,NULL,0,0
PORT ORCHARD 210,100210,KP,NULL,206,93
CEDAR 211,100211,KP,NULL,282,146
ANNAPOLIS 212,100212,KP,NULL,443,188
BRASCH 213,100213,KP,NULL,377,124
LAKE HELENA 214,100214,KP,NULL,311,118
PORT ORCHARD 215,100215,KP,NULL,0,0
MINTERBROOK 216,100216,KP,NULL,163,69
SPRING CREEK 217,100217,KP,NULL,263,90
BURLEY 218,100218,KP,NULL,347,167
HUNTER 219,100219,KP,NULL,302,104
ALASKA 221,100221,KP,NULL,416,170
WOODRIDGE 222,100222,KP,NULL,201,77
NEBRASKA 223,100223,KP,NULL,314,135
WHISPERING PINES 227,100227,KP,NULL,360,140
FERNWOOD 230,100230,KP,NULL,417,161
GLENWOOD 232,100232,KP,NULL,486,138
HARPER 240,100240,KP,NULL,313,123
YUKON 241,100241,KP,NULL,272,96
WILSON CREEK 242,100242,KP,NULL,288,133
LONG LAKE 245,100245,KP,NULL,245,86
LOCKER 246,100246,KP,NULL,454,184
EBBERT 247,100247,KP,NULL,385,132
LUNDBERG 250,100250,KP,NULL,334,149
CONVERSE 252,100252,KP,NULL,281,137
MANCHESTER 255,100255,KP,NULL,304,94
EVERGREEN 257,100257,KP,NULL,496,168
WILLOCK 258,100258,KP,NULL,293,133
FRAGARIA 259,100259,KP,NULL,321,122
MULLENIX 260,100260,KP,NULL,390,155
BANDIX 263,100263,KP,NULL,398,143
OLALLA 265,100265,KP,NULL,260,101
CRESCENT VALLEY 266,100266,KP,NULL,347,143
OVERLOOK 267,100267,KP,NULL,253,131
MADRONA 269,100269,KP,NULL,247,94
PARKWOOD 270,100270,KP,NULL,366,165
CONIFER 271,100271,KP,NULL,186,73
SEDGWICK 272,100272,KP,NULL,353,170
SINCLAIR 275,100275,KP,NULL,161,83
SHERMAN HEIGHTS 278,100278,KP,NULL,11,6
BERRY LAKE 279,100279,KP,NULL,222,92
BELFAIR VALLEY 280,100280,KP,NULL,120,48
SUNNYSLOPE 281,100281,KP,NULL,267,122
DICKENSON 282,100282,KP,NULL,353,116
DRIVE-IN 283,100283,KP,NULL,9,3
TWIN LAKES 285,100285,KP,NULL,98,39
LIGHTHOUSE POINT 292,100292,KP,NULL,391,110
BREMERTON 293(*),100293,KP,NULL,0,0
BREMERTON 294,100294,KP,NULL,0,0
WATERMAN 295,100295,KP,NULL,252,66
BREMERTON 296,100296,KP,NULL,0,0
HEINS CREEK 297,100297,KP,NULL,0,0
BLUE HERON 301,100301,KP,NULL,328,298
AZALEA 302,100302,KP,NULL,317,205
WINSLOW 304,100304,KP,NULL,422,319
WING POINT 305,100305,KP,NULL,254,117
BLAKELY 310,100310,KP,NULL,218,172
CRYSTAL SPRINGS 312,100312,KP,NULL,382,225
FINCH 314,100314,KP,NULL,204,140
FERNCLIFF 315,100315,KP,NULL,360,250
EAGLE HARBOR 317,100317,KP,NULL,186,147
FORT WARD 318,100318,KP,NULL,271,181
ISLAND CENTER 320,100320,KP,NULL,241,175
MEADOWMEER 321,100321,KP,NULL,116,87
NEW BROOKLYN 322,100322,KP,NULL,180,103
LIBERTY 325,100325,KP,NULL,241,142
SKIFF POINT 328,100328,KP,NULL,234,149
ROLLING BAY 330,100330,KP,NULL,282,168
LOVGREN 332,100332,KP,NULL,163,106
TOLO 333,100333,KP,NULL,271,133
SEABOLD 335,100335,KP,NULL,326,212
MANZANITA 336,100336,KP,NULL,167,151
PORT MADISON 340,100340,KP,NULL,215,122
TORVANGER 345,100345,KP,NULL,322,218
POULSBO 401,100401,KP,NULL,393,204
POULSBO 403,100403,KP,NULL,295,133
POULSBO 404,100404,KP,NULL,385,140
POULSBO 405,100405,KP,NULL,315,168
POULSBO 406,100406,KP,NULL,405,187
POULSBO 407,100407,KP,NULL,283,115
BREIDABLIK 410,100410,KP,NULL,309,171
VINLAND 412,100412,KP,NULL,418,151
BELLA VISTA 413,100413,KP,NULL,280,116
HANSVILLE 415,100415,KP,NULL,228,104
POINT NO POINT 416,100416,KP,NULL,481,238
TWIN SPITS 417,100417,KP,NULL,379,172
S&#39;KLALLAM 418,100418,KP,NULL,12,27
POINT JEFFERSON 419,100419,KP,NULL,248,148
INDIANOLA 420,100420,KP,NULL,353,235
ORCA 421,100421,KP,NULL,191,151
APPLE TREE 422,100422,KP,NULL,342,191
HIGHLAND 423,100423,KP,NULL,215,72
KEYPORT 425,100425,KP,NULL,430,145
EVERGREEN RIDGE 426,100426,KP,NULL,133,54
ISLAND LAKE 427,100427,KP,NULL,307,126
KINGSTON 430,100430,KP,NULL,450,246
LEMOLO 435,100435,KP,NULL,274,121
LINCOLN 440,100440,KP,NULL,296,131
BIG VALLEY 441,100441,KP,NULL,250,117
LOFALL 442,100442,KP,NULL,486,174
PEARSON 445,100445,KP,NULL,453,193
PORT GAMBLE 450,100450,KP,NULL,295,174
STRIEBEL 453,100453,KP,NULL,312,166
GAMBLEWOOD 454,100454,KP,NULL,204,115
SCANDIA 455,100455,KP,NULL,345,150
MILLER BAY 458,100458,KP,NULL,382,194
SUQUAMISH 460,100460,KP,NULL,186,164
AUGUSTA 461,100461,KP,NULL,139,141
TOTTEN 463,100463,KP,NULL,227,155
SANDY HOOK 464,100464,KP,NULL,202,137
