Row Label,PrecinctCode,County,Registered Voters,Dave Rodriguez,Gary V. Reams
LONGANECKER,161,OK,NULL,25,5
NORTH TONASKET,162,OK,NULL,42,29
PICKENS MTN,163,OK,NULL,28,11
RANCHES,164,OK,NULL,10,17
SIWASH CREEK,165,OK,NULL,33,18
SPECTACLE LAKE,166,OK,NULL,41,7
HIGHWAY,167,OK,NULL,19,7
WHISKY MTN,168,OK,NULL,15,3
YARNELL,169,OK,NULL,22,9
TONASKET #4,170,OK,NULL,33,8
TONASKET #5,171,OK,NULL,24,15
TONASKET #6,172,OK,NULL,17,8
TONASKET #7,173,OK,NULL,37,10
LEECHER MTN,174,OK,NULL,52,18
ALTA LAKE,175,OK,NULL,31,13
STARR,176,OK,NULL,25,5
PATEROS #3,177,OK,NULL,13,8
RAT LAKE,178,OK,NULL,26,7
BREWSTER FLAT,179,OK,NULL,33,11
BREWSTER #3,180,OK,NULL,32,8
BREWSTER #4,181,OK,NULL,15,5
BREWSTER #5,182,OK,NULL,21,9
BREWSTER #6,183,OK,NULL,18,3
PIONEER,184,OK,NULL,48,4
COLEMAN BUTTE,185,OK,NULL,40,13
ASTON,186,OK,NULL,29,12
WEST RIVER,187,OK,NULL,22,17
OMAK RIVER,188,OK,NULL,42,14
CHEROKEE,189,OK,NULL,53,17
NICHOLS,190,OK,NULL,22,7
LONE PINE,191,OK,NULL,12,20
OMAK MTN,192,OK,NULL,14,12
OMAK LAKE,193,OK,NULL,21,12
FIKER,194,OK,NULL,25,23
ROSS CANYON,195,OK,NULL,48,7
HENDRICK,196,OK,NULL,52,22
DIXON,197,OK,NULL,47,16
KERMEL,198,OK,NULL,40,20
GLOVER,199,OK,NULL,48,18
FLETCHER,200,OK,NULL,45,13
MOCK,201,OK,NULL,34,24
OMAK #10,202,OK,NULL,29,21
OMAK #11,203,OK,NULL,57,14
OMAK #12,204,OK,NULL,42,15
OMAK #13,205,OK,NULL,23,17
OMAK #14,206,OK,NULL,25,8
OMAK #15,207,OK,NULL,50,22
OMAK #16,208,OK,NULL,31,15
OMAK #17,209,OK,NULL,36,37
OMAK #18,210,OK,NULL,18,15
OMAK #19,211,OK,NULL,20,15
OMAK #20,212,OK,NULL,42,16
OMAK #21,213,OK,NULL,22,10
OMAK #22,214,OK,NULL,33,15
OMAK #23,215,OK,NULL,15,10
OMAK #24,216,OK,NULL,15,20
OKANOGAN #5,217,OK,NULL,41,10
OKANOGAN #6,218,OK,NULL,46,8
OKANOGAN #7,219,OK,NULL,17,5
OKANOGAN #8,220,OK,NULL,32,10
OKANOGAN #9,221,OK,NULL,43,8
OKANOGAN #10,222,OK,NULL,53,11
OKANOGAN #11,223,OK,NULL,39,12
OKANOGAN #12,224,OK,NULL,28,9
OKANOGAN #13,225,OK,NULL,21,7
AVIATION,226,OK,NULL,36,2
SUNSET LAKES,236,OK,NULL,15,5
FLATS,237,OK,NULL,38,8
