Row Label,PrecinctCode,County,Registered Voters,Brian Dansel,Tony Booth
NICHOLS,190,OK,NULL,26,2
OMAK #10,202,OK,NULL,39,8
OMAK #11,203,OK,NULL,52,14
OMAK #12,204,OK,NULL,43,10
OMAK #13,205,OK,NULL,24,11
OMAK #14,206,OK,NULL,20,7
OMAK #15,207,OK,NULL,46,13
OMAK #16,208,OK,NULL,31,6
OMAK #17,209,OK,NULL,49,22
OMAK #18,210,OK,NULL,16,10
OMAK #19,211,OK,NULL,24,8
OMAK #20,212,OK,NULL,42,11
OMAK #21,213,OK,NULL,21,8
OMAK #22,214,OK,NULL,29,12
OMAK #23,215,OK,NULL,15,8
OMAK #24,216,OK,NULL,24,12
OKANOGAN #5,217,OK,NULL,31,11
OKANOGAN #6,218,OK,NULL,38,12
OKANOGAN #7,219,OK,NULL,19,4
OKANOGAN #8,220,OK,NULL,24,12
OKANOGAN #9,221,OK,NULL,31,16
OKANOGAN #10,222,OK,NULL,42,18
OKANOGAN #11,223,OK,NULL,34,11
OKANOGAN #12,224,OK,NULL,20,5
OKANOGAN #13,225,OK,NULL,24,2
