Row Label,PrecinctCode,County,Registered Voters,Anthony E. Howard,Remy Stephanson Leonard
EVERETT   9,23821396,SN,NULL,190,186
EVERETT  10,23821397,SN,NULL,110,74
EVERETT  23,23821398,SN,NULL,27,21
EVERETT  30,23821399,SN,NULL,171,122
EVERETT  46,23821401,SN,NULL,97,83
EVERETT  47,23821402,SN,NULL,151,87
EVERETT  58,23821403,SN,NULL,15,14
EVERETT  59,23821404,SN,NULL,96,98
EVERETT  68,23821408,SN,NULL,199,124
EVERETT  70(*),23821409,SN,NULL,0,0
EVERETT  71,23821410,SN,NULL,84,48
EVERETT  72,23821411,SN,NULL,67,57
EVERETT  74,23821412,SN,NULL,72,76
EVERETT  80,23821413,SN,NULL,136,149
EVERETT  81,23821414,SN,NULL,69,59
TULALIP 4,23821440,SN,NULL,158,99
EVERETT  85,23821449,SN,NULL,99,81
EVERETT  87,23821450,SN,NULL,84,74
EVERETT  88,23821451,SN,NULL,106,143
EVERETT  89,23821452,SN,NULL,117,72
EVERETT  90,23821453,SN,NULL,42,31
TULALIP 5,23821510,SN,NULL,112,51
TULALIP 6,23821558,SN,NULL,66,50
EVERETT  62,23821617,SN,NULL,92,80
EVERETT  63,23821618,SN,NULL,117,67
EVERETT  75,23821619,SN,NULL,85,83
EVERETT  78,23821620,SN,NULL,68,50
EVERETT  86,23821623,SN,NULL,128,89
EVERETT  77,23821645,SN,NULL,92,103
EVERETT  82,23821662,SN,NULL,81,99
EVERETT  93,23821695,SN,NULL,86,64
EVERETT  94,23821696,SN,NULL,76,65
PRIEST POINT,23824098,SN,NULL,86,70
HAT ISLAND,23824267,SN,NULL,15,10
SHELTON,23824269,SN,NULL,196,123
TYEE,23824441,SN,NULL,149,94
BOEING,23824445,SN,NULL,121,80
COHO,23824561,SN,NULL,83,22
SPENCER(*),23824593,SN,NULL,0,0
CHATHAM,23824752,SN,NULL,23,27
SYLVAN,23854756,SN,NULL,5,9
MARYSVILLE 18,23911468,SN,NULL,188,117
MARYSVILLE 33,23911680,SN,NULL,2,2
MARYSVILLE 44,23911737,SN,NULL,211,128
MARYSVILLE 45,23911738,SN,NULL,204,124
MARYSVILLE 52,23911745,SN,NULL,197,117
MARYSVILLE 53,23911746,SN,NULL,101,64
MARYSVILLE 54,23911747,SN,NULL,179,105
ALMA,23914151,SN,NULL,16,11
MARYSVILLE  5,24411428,SN,NULL,194,131
MARYSVILLE 16,24411466,SN,NULL,204,98
MARYSVILLE 19,24411494,SN,NULL,125,98
MARYSVILLE 21,24411540,SN,NULL,221,160
MARYSVILLE 22,24411541,SN,NULL,203,140
MARYSVILLE 23,24411542,SN,NULL,200,147
MARYSVILLE 24,24411543,SN,NULL,141,84
MARYSVILLE 14,24411628,SN,NULL,191,144
MARYSVILLE 12,24411676,SN,NULL,172,96
MARYSVILLE 30,24411677,SN,NULL,167,114
MARYSVILLE 31,24411678,SN,NULL,222,145
MARYSVILLE 34,24411701,SN,NULL,123,84
MARYSVILLE 55,24411748,SN,NULL,113,59
EBEY,24424001,SN,NULL,17,11
WHALEBACK,24424019,SN,NULL,15,3
EASTMONT,24424126,SN,NULL,106,90
FIRGROVE,24424528,SN,NULL,100,87
HILTONS LAKE,24454086,SN,NULL,142,123
RIVERCREST,24454172,SN,NULL,107,77
TOWER,24454197,SN,NULL,154,96
VILLE,24454198,SN,NULL,55,39
JORDAN,24454295,SN,NULL,235,158
LANTERN,24454341,SN,NULL,139,117
SLIVER(*),24454591,SN,NULL,0,0
