Row Label,PrecinctCode,County,Registered Voters,James P. Swanger
571,571,CR,NULL,381
572,572,CR,NULL,500
573,573,CR,NULL,485
574,574,CR,NULL,16
575,575,CR,NULL,117
576,576,CR,NULL,4
577,577,CR,NULL,495
578,578,CR,NULL,34
579,579,CR,NULL,15
580,580,CR,NULL,256
581,581,CR,NULL,190
582,582,CR,NULL,313
583,583,CR,NULL,304
584,584,CR,NULL,358
585,585,CR,NULL,455
586,586,CR,NULL,347
587,587,CR,NULL,312
588,588,CR,NULL,233
590,590,CR,NULL,505
591,591,CR,NULL,478
592,592,CR,NULL,459
593,593,CR,NULL,391
594,594,CR,NULL,13
595,595,CR,NULL,210
596,596,CR,NULL,0
597,597,CR,NULL,36
598,598,CR,NULL,11
600,600,CR,NULL,201
603,603,CR,NULL,208
605,605,CR,NULL,352
606,606,CR,NULL,67
610,610,CR,NULL,506
613,613,CR,NULL,165
615,615,CR,NULL,170
617,617,CR,NULL,391
618,618,CR,NULL,399
620,620,CR,NULL,420
624,624,CR,NULL,96
625,625,CR,NULL,397
626,626,CR,NULL,382
627,627,CR,NULL,388
628,628,CR,NULL,443
629,629,CR,NULL,356
630,630,CR,NULL,319
631,631,CR,NULL,452
632,632,CR,NULL,205
633,633,CR,NULL,375
634,634,CR,NULL,351
635,635,CR,NULL,310
636,636,CR,NULL,328
638,638,CR,NULL,354
639,639,CR,NULL,352
640,640,CR,NULL,406
641,641,CR,NULL,153
642,642,CR,NULL,177
643,643,CR,NULL,378
644,644,CR,NULL,397
645,645,CR,NULL,474
646,646,CR,NULL,193
647,647,CR,NULL,255
648,648,CR,NULL,323
649,649,CR,NULL,338
650,650,CR,NULL,391
651,651,CR,NULL,267
652,652,CR,NULL,362
653,653,CR,NULL,343
654,654,CR,NULL,279
655,655,CR,NULL,385
656,656,CR,NULL,194
658,658,CR,NULL,340
659,659,CR,NULL,386
660,660,CR,NULL,418
662,662,CR,NULL,404
663,663,CR,NULL,279
664,664,CR,NULL,399
667,667,CR,NULL,306
668,668,CR,NULL,373
669,669,CR,NULL,340
670,670,CR,NULL,403
672,672,CR,NULL,335
673,673,CR,NULL,433
674,674,CR,NULL,344
675,675,CR,NULL,244
677,677,CR,NULL,375
678,678,CR,NULL,292
679,679,CR,NULL,272
680,680,CR,NULL,308
681,681,CR,NULL,325
682,682,CR,NULL,352
683,683,CR,NULL,349
685,685,CR,NULL,102
686,686,CR,NULL,294
687,687,CR,NULL,376
688,688,CR,NULL,326
689,689,CR,NULL,413
690,690,CR,NULL,385
691,691,CR,NULL,391
692,692,CR,NULL,417
693,693,CR,NULL,243
694,694,CR,NULL,154
695,695,CR,NULL,416
696,696,CR,NULL,442
697,697,CR,NULL,501
698,698,CR,NULL,348
699,699,CR,NULL,335
700,700,CR,NULL,70
710,710,CR,NULL,186
720,720,CR,NULL,299
900,900,CR,NULL,349
903,903,CR,NULL,393
905,905,CR,NULL,402
910,910,CR,NULL,371
912,912,CR,NULL,335
913,913,CR,NULL,422
914,914,CR,NULL,405
917,917,CR,NULL,268
920,920,CR,NULL,314
925,925,CR,NULL,336
930,930,CR,NULL,355
935,935,CR,NULL,381
940,940,CR,NULL,335
947,947,CR,NULL,310
950,950,CR,NULL,377
951,951,CR,NULL,317
953,953,CR,NULL,177
957,957,CR,NULL,75
958,958,CR,NULL,69
959,959,CR,NULL,17
960,960,CR,NULL,438
961,961,CR,NULL,74
962,962,CR,NULL,276
963,963,CR,NULL,309
964,964,CR,NULL,401
965,965,CR,NULL,338
966,966,CR,NULL,233
967,967,CR,NULL,222
968,968,CR,NULL,336
969,969,CR,NULL,220
985,985,CR,NULL,314
