Row Label,PrecinctCode,County,Registered Voters,Frank Rogers
TWIN LAKES,75,OK,NULL,71
VALLEY,76,OK,NULL,38
WANNACUT,77,OK,NULL,62
WEST CHEWUCH,78,OK,NULL,53
CANAL,79,OK,NULL,41
AIRPORT,81,OK,NULL,53
BALKY HILL,82,OK,NULL,40
BRIDGE CREEK,83,OK,NULL,35
CROSSROADS,84,OK,NULL,38
DAVIS LAKE,85,OK,NULL,49
GREENACRES,86,OK,NULL,30
JOHNSON CREEK,87,OK,NULL,49
LEWIS BUTTE,88,OK,NULL,66
LIME BELT,89,OK,NULL,24
MCCLURE MTN,90,OK,NULL,64
MOCCASIN LAKE,91,OK,NULL,60
NORTH MALOTT,92,OK,NULL,59
PATTERSON LAKE,93,OK,NULL,72
PEARRYGIN LAKE,94,OK,NULL,40
BOUNDARY,95,OK,NULL,42
BUCKHORN MTN,96,OK,NULL,48
EDER,97,OK,NULL,47
HORSESHOE LAKE,98,OK,NULL,36
LAKE ANDREWS,99,OK,NULL,39
MYERS CREEK,100,OK,NULL,19
COULEE DAM #1,101,OK,NULL,51
COULEE DAM #2,102,OK,NULL,43
COULEE DAM #3,103,OK,NULL,38
NESPELEM CITY,104,OK,NULL,16
OKANOGAN #1,105,OK,NULL,30
OKANOGAN #2,106,OK,NULL,48
OKANOGAN #3,107,OK,NULL,24
OKANOGAN #4,108,OK,NULL,41
OMAK #1,109,OK,NULL,26
OMAK #2,110,OK,NULL,47
OMAK #3,111,OK,NULL,17
OMAK #4,112,OK,NULL,32
OMAK #5,113,OK,NULL,44
OMAK #6,114,OK,NULL,38
OMAK #7,115,OK,NULL,37
OMAK #8,116,OK,NULL,20
OMAK #9,117,OK,NULL,70
OROVILLE #1,118,OK,NULL,33
OROVILLE #2,119,OK,NULL,26
OROVILLE #3,120,OK,NULL,23
TONASKET #1,121,OK,NULL,27
TONASKET #2,122,OK,NULL,37
TONASKET #3,123,OK,NULL,22
BREWSTER #1,124,OK,NULL,25
BREWSTER #2,125,OK,NULL,56
PATEROS #1,126,OK,NULL,36
PATEROS #2,127,OK,NULL,33
TWISP #1,128,OK,NULL,69
TWISP #2,129,OK,NULL,51
WINTHROP #1,130,OK,NULL,66
CONCONULLY CITY,131,OK,NULL,73
COULEE DAM #4,132,OK,NULL,31
ELMER CITY,133,OK,NULL,63
RIVERSIDE CITY,134,OK,NULL,64
TWISP #3,135,OK,NULL,62
TWISP #4,136,OK,NULL,21
WINTHROP #2,137,OK,NULL,49
SHORELINE,138,OK,NULL,28
SIMILKAMEEN,139,OK,NULL,23
TEAL LAKE,140,OK,NULL,34
TONASKET CREEK,141,OK,NULL,26
OROVILLE #4,142,OK,NULL,35
OROVILLE #5,143,OK,NULL,39
OROVILLE #6,144,OK,NULL,18
OROVILLE #7,145,OK,NULL,32
OROVILLE #8,146,OK,NULL,33
OROVILLE #9,147,OK,NULL,29
OROVILLE #10,148,OK,NULL,35
JENNINGS LOOP,149,OK,NULL,27
BLUE LAKE,150,OK,NULL,46
AENEAS CREEK,151,OK,NULL,44
AENEAS LAKE,152,OK,NULL,66
ANTOINE CREEK,153,OK,NULL,30
ANTOINE PEAK,154,OK,NULL,26
CAPE LABELLE,155,OK,NULL,29
CAYUSE MTN,156,OK,NULL,28
CHEWILIKEN,157,OK,NULL,22
DUFFYS MTN,158,OK,NULL,29
FRONTAGE,159,OK,NULL,18
GUSTY RIDGE,160,OK,NULL,35
LONGANECKER,161,OK,NULL,32
NORTH TONASKET,162,OK,NULL,65
PICKENS MTN,163,OK,NULL,31
RANCHES,164,OK,NULL,20
SIWASH CREEK,165,OK,NULL,44
SPECTACLE LAKE,166,OK,NULL,39
HIGHWAY,167,OK,NULL,20
WHISKY MTN,168,OK,NULL,15
YARNELL,169,OK,NULL,29
TONASKET #4,170,OK,NULL,35
TONASKET #5,171,OK,NULL,29
TONASKET #6,172,OK,NULL,24
TONASKET #7,173,OK,NULL,43
LEECHER MTN,174,OK,NULL,56
ALTA LAKE,175,OK,NULL,40
STARR,176,OK,NULL,26
PATEROS #3,177,OK,NULL,22
RAT LAKE,178,OK,NULL,30
BREWSTER FLAT,179,OK,NULL,38
BREWSTER #3,180,OK,NULL,35
BREWSTER #4,181,OK,NULL,15
BREWSTER #5,182,OK,NULL,26
BREWSTER #6,183,OK,NULL,20
PIONEER,184,OK,NULL,44
COLEMAN BUTTE,185,OK,NULL,45
ASTON,186,OK,NULL,37
WEST RIVER,187,OK,NULL,25
OMAK RIVER,188,OK,NULL,44
CHEROKEE,189,OK,NULL,57
NICHOLS,190,OK,NULL,27
LONE PINE,191,OK,NULL,22
OMAK MTN,192,OK,NULL,22
OMAK LAKE,193,OK,NULL,26
FIKER,194,OK,NULL,41
ROSS CANYON,195,OK,NULL,48
HENDRICK,196,OK,NULL,70
DIXON,197,OK,NULL,47
KERMEL,198,OK,NULL,45
GLOVER,199,OK,NULL,57
FLETCHER,200,OK,NULL,49
MOCK,201,OK,NULL,45
OMAK #10,202,OK,NULL,46
OMAK #11,203,OK,NULL,67
OMAK #12,204,OK,NULL,48
OMAK #13,205,OK,NULL,33
OMAK #14,206,OK,NULL,32
OMAK #15,207,OK,NULL,52
OMAK #16,208,OK,NULL,43
OMAK #17,209,OK,NULL,61
OMAK #18,210,OK,NULL,29
OMAK #19,211,OK,NULL,30
OMAK #20,212,OK,NULL,47
OMAK #21,213,OK,NULL,31
OMAK #22,214,OK,NULL,43
OMAK #23,215,OK,NULL,23
OMAK #24,216,OK,NULL,33
OKANOGAN #5,217,OK,NULL,44
OKANOGAN #6,218,OK,NULL,46
OKANOGAN #7,219,OK,NULL,20
OKANOGAN #8,220,OK,NULL,35
OKANOGAN #9,221,OK,NULL,41
OKANOGAN #10,222,OK,NULL,54
OKANOGAN #11,223,OK,NULL,44
OKANOGAN #12,224,OK,NULL,31
OKANOGAN #13,225,OK,NULL,25
AVIATION,226,OK,NULL,26
SUNSET LAKES,236,OK,NULL,18
FLATS,237,OK,NULL,40
