Row Label,PrecinctCode,County,Registered Voters,Brett Buckley
Skookumchuck,158,TH,NULL,215
Johnson Point,160,TH,NULL,263
Wards,161,TH,NULL,98
Thompson,162,TH,NULL,145
Smith Lake,163,TH,NULL,217
Evergreen Shores,164,TH,NULL,185
Sunwood Lakes,165,TH,NULL,326
Eaton Creek,166,TH,NULL,134
Hawks Ridge,167,TH,NULL,102
Holmes,168,TH,NULL,190
Mcallister Creek,169,TH,NULL,195
Rochester 3,170,TH,NULL,222
Waddell Creek,171,TH,NULL,172
Tykle Cove,172,TH,NULL,209
Camelot,173,TH,NULL,140
French,174,TH,NULL,224
Sunset Beach,175,TH,NULL,253
Henderson,176,TH,NULL,300
Pattison,178,TH,NULL,225
Four Corners,179,TH,NULL,312
Stedman,180,TH,NULL,131
Munn Lake,182,TH,NULL,122
Beach Crest,183,TH,NULL,177
Scheller,184,TH,NULL,97
Fair Oaks,185,TH,NULL,142
Wilderness,186,TH,NULL,298
Mullen,187,TH,NULL,258
Sleater Kinney,189,TH,NULL,196
Lakeside,190,TH,NULL,114
Gallagher Cove,191,TH,NULL,315
East Olympia,192,TH,NULL,200
Berry Valley,193,TH,NULL,176
Hartwood,194,TH,NULL,368
Libby,195,TH,NULL,174
Meadows,196,TH,NULL,173
Summerset,197,TH,NULL,333
Henness,198,TH,NULL,320
Beaver Creek,199,TH,NULL,390
Olympia 01,201,TH,NULL,189
Olympia 02,202,TH,NULL,202
Olympia 03,203,TH,NULL,204
Olympia 04,204,TH,NULL,198
Olympia 05,205,TH,NULL,182
Olympia 06,206,TH,NULL,320
Olympia 07,207,TH,NULL,116
Olympia 08,208,TH,NULL,196
Olympia 09,209,TH,NULL,362
Olympia 10,210,TH,NULL,223
Olympia 11,211,TH,NULL,175
Olympia 12,212,TH,NULL,120
Olympia 13,213,TH,NULL,198
Olympia 14,214,TH,NULL,192
Olympia 15,215,TH,NULL,142
Olympia 16,216,TH,NULL,43
Olympia 17,217,TH,NULL,152
Olympia 18,218,TH,NULL,180
Olympia 19,219,TH,NULL,179
Olympia 20,220,TH,NULL,95
Olympia 21,221,TH,NULL,292
Olympia 23,223,TH,NULL,220
Olympia 24,224,TH,NULL,193
Olympia 25,225,TH,NULL,163
Olympia 26,226,TH,NULL,156
Olympia 27,227,TH,NULL,99
Olympia 28,228,TH,NULL,183
Olympia 29,229,TH,NULL,222
Olympia 30,230,TH,NULL,167
Olympia 31,231,TH,NULL,154
Olympia 32,232,TH,NULL,258
Olympia 35,235,TH,NULL,389
Olympia 36,236,TH,NULL,80
Olympia 37,237,TH,NULL,137
Olympia 38,238,TH,NULL,59
Olympia 39,239,TH,NULL,192
Olympia 40,240,TH,NULL,173
Olympia 41,241,TH,NULL,189
Olympia 42,242,TH,NULL,124
Olympia 43,243,TH,NULL,213
Olympia 44,244,TH,NULL,101
Olympia 45,245,TH,NULL,130
Olympia 46,246,TH,NULL,197
Olympia 47,247,TH,NULL,240
Olympia 48,248,TH,NULL,246
Olympia 49,249,TH,NULL,199
Olympia 50,250,TH,NULL,163
Olympia 51,251,TH,NULL,48
Olympia 52,252,TH,NULL,106
Olympia 53,253,TH,NULL,193
Olympia 54,254,TH,NULL,124
Olympia 55,255,TH,NULL,113
Olympia 56,256,TH,NULL,196
Olympia 57,257,TH,NULL,93
Olympia 58,258,TH,NULL,212
Olympia 59,259,TH,NULL,179
Olympia 60,260,TH,NULL,128
Lacey 01,301,TH,NULL,85
Lacey 02,302,TH,NULL,147
Lacey 03,303,TH,NULL,172
Lacey 04,304,TH,NULL,107
Lacey 05,305,TH,NULL,127
Lacey 06,306,TH,NULL,82
Lacey 07,307,TH,NULL,167
Lacey 08,308,TH,NULL,126
Lacey 09,309,TH,NULL,110
Lacey 10,310,TH,NULL,257
Lacey 11,311,TH,NULL,203
Lacey 13,313,TH,NULL,109
Lacey 14,314,TH,NULL,74
Lacey 15,315,TH,NULL,191
Lacey 16,316,TH,NULL,194
Lacey 17,317,TH,NULL,200
Lacey 18,318,TH,NULL,229
Lacey 19,319,TH,NULL,134
Lacey 20,320,TH,NULL,85
Lacey 21,321,TH,NULL,108
Lacey 22,322,TH,NULL,140
Lacey 23,323,TH,NULL,88
Lacey 24,324,TH,NULL,280
Lacey 27,327,TH,NULL,186
Lacey 28,328,TH,NULL,119
Lacey 29,329,TH,NULL,251
Lacey 30,330,TH,NULL,289
Lacey 31,331,TH,NULL,162
Lacey 32,332,TH,NULL,218
Lacey 33,333,TH,NULL,108
Lacey 34,334,TH,NULL,131
Lacey 35,335,TH,NULL,74
Lacey 36,336,TH,NULL,130
Lacey 37,337,TH,NULL,66
Lacey 39,339,TH,NULL,336
Lacey 40,340,TH,NULL,263
Lacey 41,341,TH,NULL,188
Lacey 42,342,TH,NULL,69
Lacey 43,343,TH,NULL,255
Lacey 44,344,TH,NULL,97
Lacey 45,345,TH,NULL,108
Lacey 46,346,TH,NULL,462
Lacey 47,347,TH,NULL,339
Lacey 48,348,TH,NULL,138
Lacey 49,349,TH,NULL,117
Tumwater 01,401,TH,NULL,153
Tumwater 02,402,TH,NULL,200
Tumwater 03,403,TH,NULL,242
Tumwater 04,404,TH,NULL,144
Tumwater 05,405,TH,NULL,149
Tumwater 06,406,TH,NULL,342
Tumwater 07,407,TH,NULL,166
Tumwater 08,408,TH,NULL,231
Tumwater 09,409,TH,NULL,143
Tumwater 10,410,TH,NULL,279
Tumwater 11,411,TH,NULL,288
Tumwater 12,412,TH,NULL,207
Tumwater 13,413,TH,NULL,87
Tumwater 14,414,TH,NULL,98
Tumwater 15,415,TH,NULL,240
Tumwater 24,424,TH,NULL,146
Tumwater 27,427,TH,NULL,213
Tumwater 28,428,TH,NULL,289
Tumwater 29,429,TH,NULL,0
Tenino 01,501,TH,NULL,130
Tenino 02,502,TH,NULL,138
Rainier 01,601,TH,NULL,150
Rainier 02,602,TH,NULL,124
Yelm 1,701,TH,NULL,193
Yelm 2,702,TH,NULL,212
Yelm 3,703,TH,NULL,251
Yelm 4,704,TH,NULL,231
Bucoda,801,TH,NULL,96
