Row Label,PrecinctCode,County,Registered Voters,Lillian Ortiz-Self,Jeff Scherrer
MARINER,22134427,SN,NULL,142,91
POST,22134434,SN,NULL,164,113
HAMPTON,22134456,SN,NULL,187,121
HIPOINT,22134459,SN,NULL,132,58
JEFF,22134460,SN,NULL,122,91
MADISON,22134463,SN,NULL,230,163
WOODGATE,22134489,SN,NULL,77,84
FAIRWOOD,22134492,SN,NULL,73,64
STONE GATE,22134497,SN,NULL,161,72
HILLMAN,22134501,SN,NULL,140,121
BEVERLY,22134520,SN,NULL,177,102
ADMIRALTY,22134642,SN,NULL,143,67
AVALON,22134688,SN,NULL,96,48
DALE,22134692,SN,NULL,168,123
JEFFERSON,22134699,SN,NULL,128,76
LUNDS GULCH,22134758,SN,NULL,73,37
MARTHA LAKE,22144081,SN,NULL,155,150
EAST SHORE,22144131,SN,NULL,158,130
FREEWAY,22144166,SN,NULL,159,141
ROYAL,22144209,SN,NULL,205,216
CASCADIAN,22144279,SN,NULL,195,167
CLOVER,22144280,SN,NULL,115,120
KENTISH,22144297,SN,NULL,134,93
WALNUT,22144331,SN,NULL,114,93
EVERGREEN,22144415,SN,NULL,114,77
FOREST,22144455,SN,NULL,184,131
NORTHROAD,22144476,SN,NULL,211,158
RHODY RIDGE,22144481,SN,NULL,119,85
FILBERT,22144527,SN,NULL,206,155
MEADOWCREST,22144546,SN,NULL,165,118
TERRACE,22144556,SN,NULL,41,24
ELFIN,22144578,SN,NULL,82,76
BUTTERNUT,22144689,SN,NULL,159,126
POPPY,22144707,SN,NULL,104,87
EDMONDS  1,72131101,SN,NULL,177,151
EDMONDS  2,72131102,SN,NULL,195,156
EDMONDS  3,72131103,SN,NULL,247,135
EDMONDS  4,72131104,SN,NULL,202,105
EDMONDS  5,72131105,SN,NULL,133,80
EDMONDS  7,72131107,SN,NULL,281,136
EDMONDS  8,72131108,SN,NULL,270,175
EDMONDS  9,72131109,SN,NULL,141,93
EDMONDS 10,72131110,SN,NULL,237,152
EDMONDS 13,72131111,SN,NULL,278,133
EDMONDS 17,72131127,SN,NULL,190,98
EDMONDS 22,72131147,SN,NULL,197,130
EDMONDS 23,72131148,SN,NULL,211,201
EDMONDS 28,72131155,SN,NULL,192,130
EDMONDS 29,72131156,SN,NULL,246,99
EDMONDS 30,72131157,SN,NULL,167,96
EDMONDS 31,72131158,SN,NULL,220,132
EDMONDS 32,72131159,SN,NULL,201,112
EDMONDS 33,72131160,SN,NULL,176,109
EDMONDS 34,72131161,SN,NULL,223,120
EDMONDS 35,72131162,SN,NULL,150,126
EDMONDS 36,72131163,SN,NULL,195,123
EDMONDS 37,72131164,SN,NULL,203,107
EDMONDS 21,72131390,SN,NULL,230,200
EDMONDS 24,72131391,SN,NULL,147,92
EDMONDS 26,72131392,SN,NULL,150,97
EDMONDS 38,72131393,SN,NULL,191,157
EDMONDS 39,72131447,SN,NULL,228,199
EDMONDS 46,72131524,SN,NULL,310,236
EDMONDS 51,72131565,SN,NULL,195,113
EDMONDS 11,72131694,SN,NULL,231,155
