Row Label,PrecinctCode,County,Registered Voters,Kevin McCann
31-897,31897,PI,NULL,128
31-898,31898,PI,NULL,289
31-899,31899,PI,NULL,158
31-900,31900,PI,NULL,191
31-901,31901,PI,NULL,38
31-902,31902,PI,NULL,393
31-903,31903,PI,NULL,3
31-904,31904,PI,NULL,50
31-905,31905,PI,NULL,260
31-906,31906,PI,NULL,163
31-907,31907,PI,NULL,243
31-908,31908,PI,NULL,204
31-909,31909,PI,NULL,233
31-910,31910,PI,NULL,230
31-911,31911,PI,NULL,158
31-912,31912,PI,NULL,198
31-913,31913,PI,NULL,103
31-914,31914,PI,NULL,205
31-915,31915,PI,NULL,50
31-916,31916,PI,NULL,247
31-917,31917,PI,NULL,348
31-919,31919,PI,NULL,262
31-920,31920,PI,NULL,207
31-921,31921,PI,NULL,216
31-923,31923,PI,NULL,165
31-924,31924,PI,NULL,164
31-925,31925,PI,NULL,72
31-926,31926,PI,NULL,7
31-927,31927,PI,NULL,227
